"mode","peel","Year","recruit_male"
"standard",0,1982,815584.34466685
"standard",0,1983,1209329.10580369
"standard",0,1984,2577651.27757852
"standard",0,1985,1603417.96317154
"standard",0,1986,282548.3778235
"standard",0,1987,662559.89152983
"standard",0,1988,336465.94422703
"standard",0,1989,311421.17841245
"standard",0,1990,2591034.08413733
"standard",0,1991,1628647.65096092
"standard",0,1992,210053.0894849
"standard",0,1993,173793.93403862
"standard",0,1994,140018.31642633
"standard",0,1995,137696.52720271
"standard",0,1996,204418.17181735
"standard",0,1997,221350.36258292
"standard",0,1998,315859.52282086
"standard",0,1999,144906.10759258
"standard",0,2000,91185.12266488
"standard",0,2001,813204.88695859
"standard",0,2002,620977.34545946
"standard",0,2003,601607.31972167
"standard",0,2004,894073.63532345
"standard",0,2005,203673.82858648
"standard",0,2006,150881.8692632
"standard",0,2007,591994.85931425
"standard",0,2008,620512.49334803
"standard",0,2009,154123.76104314
"standard",0,2010,157656.50228978
"standard",0,2011,162553.97162274
"standard",0,2012,312674.76171095
"standard",0,2013,326052.18912653
"standard",0,2014,3104334.89118818
"standard",0,2015,648440.489816
"standard",0,2016,249386.37266533
"standard",0,2017,136958.56308668
"standard",0,2018,122038.25534664
"standard",0,2019,79570.48528061
"standard",0,2020,900313.24158034
"standard",0,2021,1154087.015513
"standard",0,2022,2116621.67124916
"standard",0,2023,495153.8182377
"standard",0,2024,323177.5957285
"standard",0,2025,357501.62744807
"standard",1,1982,860344.9432445
"standard",1,1983,1203241.95795057
"standard",1,1984,2548072.02660345
"standard",1,1985,1622742.99792945
"standard",1,1986,286412.39478184
"standard",1,1987,653026.51910379
"standard",1,1988,339794.55644738
"standard",1,1989,319047.23074962
"standard",1,1990,2552317.9587478
"standard",1,1991,1639659.95739282
"standard",1,1992,214260.17968568
"standard",1,1993,175319.45324053
"standard",1,1994,138201.40209625
"standard",1,1995,136273.81073961
"standard",1,1996,207607.87975991
"standard",1,1997,220076.87752961
"standard",1,1998,312839.81190564
"standard",1,1999,146505.48632413
"standard",1,2000,93181.4893781
"standard",1,2001,792513.6897738
"standard",1,2002,636456.81816742
"standard",1,2003,590590.84114796
"standard",1,2004,886529.17997632
"standard",1,2005,204355.69069467
"standard",1,2006,152066.09874569
"standard",1,2007,585392.3611566
"standard",1,2008,622438.66167982
"standard",1,2009,154376.77909875
"standard",1,2010,157520.70843988
"standard",1,2011,159103.05763554
"standard",1,2012,311033.91688754
"standard",1,2013,359209.92420248
"standard",1,2014,2873152.5465619
"standard",1,2015,800812.73764388
"standard",1,2016,319557.57981928
"standard",1,2017,160335.75367623
"standard",1,2018,164842.20470502
"standard",1,2019,456340.10858274
"standard",1,2020,701570.05389496
"standard",1,2021,1076175.24397677
"standard",1,2022,2056709.34141691
"standard",1,2023,567957.09244975
"standard",1,2024,407340.87078904
"standard",2,1982,869832.20500888
"standard",2,1983,1202330.11161442
"standard",2,1984,2541359.64409713
"standard",2,1985,1649806.0730793
"standard",2,1986,285191.63861091
"standard",2,1987,653720.44632913
"standard",2,1988,346333.74290116
"standard",2,1989,320542.14893511
"standard",2,1990,2495223.88302812
