"mode","peel","label","ok","terminal_year","echo_end_year","last_survey_year","npar","nll","max_grad","converged","BMSY","OFL_tot","elapsed_sec","problems","warnings"
"drop_survey",0,"drop_survey/0",TRUE,2019,2019,2019,386,-19740.5096858426,0.00188608952996829,FALSE,161.28609819,147.27745263,364.2,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00189 > 1e-03"
"drop_survey",1,"drop_survey/1",TRUE,2018,2018,2018,381,-18972.5492201869,0.000138987314313386,TRUE,NA,NA,85.8,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",2,"drop_survey/2",TRUE,2017,2017,2017,376,-18178.5795860627,2.42505231630148e-05,TRUE,NA,NA,78.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",3,"drop_survey/3",TRUE,2016,2016,2016,371,-17429.0767203853,8.46160748023094e-05,TRUE,NA,NA,76.5,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",4,"drop_survey/4",TRUE,2015,2015,2015,366,-16654.4856908202,0.000595252784215285,TRUE,NA,NA,72.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",5,"drop_survey/5",TRUE,2014,2014,2014,361,-15933.8741598822,0.00130819277072832,FALSE,NA,NA,70.2,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00131 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",6,"drop_survey/6",TRUE,2013,2013,2013,356,-15174.7398865308,0.00018293228255391,TRUE,NA,NA,66.2,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",7,"drop_survey/7",TRUE,2012,2012,2012,351,-14421.0369692019,0.00382547632525077,FALSE,NA,NA,63.7,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00383 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",8,"drop_survey/8",TRUE,2011,2011,2011,346,-13653.7784796799,0.0018187384226738,FALSE,NA,NA,60,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00182 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"drop_survey",9,"drop_survey/9",TRUE,2010,2010,2010,341,-12922.052873827,0.000285349360503276,TRUE,NA,NA,56.7,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"drop_survey",10,"drop_survey/10",TRUE,2009,2009,2009,336,-12203.7913887934,0.000452660544430403,TRUE,NA,NA,54.3,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",0,"standard/0",TRUE,2019,2019,2019,386,-19740.5096858426,0.00188608952996829,FALSE,161.28609819,147.27745263,366.8,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00189 > 1e-03"
"standard",1,"standard/1",TRUE,2018,2018,2019,381,-19284.7199995066,8.58825894370087e-06,TRUE,NA,NA,83.1,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",2,"standard/2",TRUE,2017,2017,2018,376,-18529.0207425166,0.00197908082000726,FALSE,NA,NA,79.3,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00198 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",3,"standard/3",TRUE,2016,2016,2017,371,-17783.5950924958,0.00474868893314463,FALSE,NA,NA,77.5,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00475 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",4,"standard/4",TRUE,2015,2015,2016,366,-17010.6768441698,0.000742584409920018,TRUE,NA,NA,73.3,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",5,"standard/5",TRUE,2014,2014,2015,361,-16275.6742821703,0.000449347680704204,TRUE,NA,NA,71.6,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",6,"standard/6",TRUE,2013,2013,2014,356,-15524.9641616707,0.000782493435366032,TRUE,NA,NA,68.5,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",7,"standard/7",TRUE,2012,2012,2013,351,-14762.3829943769,0.00138458510075568,FALSE,NA,NA,66,"","exit status 134 -- macOS FP teardown abort, outputs complete; max gradient 0.00138 > 1e-03; no reference points (GMACS does not compute them for a peel)"
"standard",8,"standard/8",TRUE,2011,2011,2012,346,-13998.6908811218,0.000892170389109556,TRUE,NA,NA,62.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",9,"standard/9",TRUE,2010,2010,2011,341,-13248.4200854976,0.000963226516577909,TRUE,NA,NA,59.4,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
"standard",10,"standard/10",TRUE,2009,2009,2010,336,-12530.2156350503,0.000335375037799785,TRUE,NA,NA,55,"","exit status 134 -- macOS FP teardown abort, outputs complete; no reference points (GMACS does not compute them for a peel)"
