"mode","peel","Year","recruit_male"
"standard",5,1996,301743.71491397
"standard",5,1997,192798.1120895
"standard",5,1998,405835.23643043
"standard",5,1999,255319.31072026
"standard",5,2000,28299.02490779
"standard",5,2001,1211976.60488751
"standard",5,2002,730595.98564164
"standard",5,2003,510108.58502531
"standard",5,2004,1601265.74340476
"standard",5,2005,376530.11222472
"standard",5,2006,364581.25040987
"standard",5,2007,716969.64539786
"standard",5,2008,1314205.80803942
"standard",5,2009,422824.44922578
"standard",5,2010,698811.4845815
"standard",5,2011,691090.69791009
"standard",5,2012,904353.83205081
"standard",5,2013,1365525.96115066
"standard",5,2014,4580214.97094063
"standard",6,1982,1793790.58608279
"standard",6,1983,1830795.0497712
"standard",6,1984,3186350.56153745
"standard",6,1985,3517698.98010418
"standard",6,1986,142770.08707601
"standard",6,1987,1123682.66439939
"standard",6,1988,443812.31039083
"standard",6,1989,613929.25016998
"standard",6,1990,2767602.15787472
"standard",6,1991,3557680.77570453
"standard",6,1992,82292.49582347
"standard",6,1993,80787.43179548
"standard",6,1994,381369.9307802
"standard",6,1995,176336.76161665
"standard",6,1996,278389.06171741
"standard",6,1997,214617.1208859
"standard",6,1998,378993.47667819
"standard",6,1999,266327.97023774
"standard",6,2000,28766.96092437
"standard",6,2001,1192935.22884911
"standard",6,2002,771521.45470502
"standard",6,2003,460097.57113506
"standard",6,2004,1514532.73910325
"standard",6,2005,479930.50677661
"standard",6,2006,357830.94098722
"standard",6,2007,726130.47825265
"standard",6,2008,2127247.8488558
"standard",6,2009,591461.29901244
"standard",6,2010,1084895.20167569
"standard",6,2011,1472817.85911183
"standard",6,2012,1244830.89553213
"standard",6,2013,1444577.80970739
"standard",7,1982,1749551.89212274
"standard",7,1983,1763515.26257466
"standard",7,1984,3101645.85183554
"standard",7,1985,3428947.73568856
"standard",7,1986,141072.95968711
"standard",7,1987,1094580.18864602
"standard",7,1988,431210.02179624
"standard",7,1989,598502.24634845
"standard",7,1990,2667535.11143279
"standard",7,1991,3473906.33155525
"standard",7,1992,79865.68317572
"standard",7,1993,76715.38869235
"standard",7,1994,367925.65226764
"standard",7,1995,174315.22344202
"standard",7,1996,269480.99700658
"standard",7,1997,209222.53276936
"standard",7,1998,358983.68462983
"standard",7,1999,261806.80303949
"standard",7,2000,27859.49925513
"standard",7,2001,1151653.5001943
"standard",7,2002,754518.80205596
"standard",7,2003,427185.08300476
"standard",7,2004,1482465.17094852
"standard",7,2005,468410.30819336
"standard",7,2006,414621.75888847
"standard",7,2007,1189801.55904215
"standard",7,2008,1999818.62406269
"standard",7,2009,695029.53820199
"standard",7,2010,1177400.49917212
"standard",7,2011,1673394.01936392
"standard",7,2012,1943688.56852463
"standard",8,1982,1888426.01591585
"standard",8,1983,1894242.95422122
"standard",8,1984,3282956.86330159
"standard",8,1985,3729333.10796153
"standard",8,1986,158831.7643897
"standard",8,1987,1173795.41330308
"standard",8,1988,461538.06272294
"standard",8,1989,649255.7038606
"standard",8,1990,2786549.46158276
