"mode","peel","terminal_year","base_mmb","peel_mmb","rel_diff_mmb","rel_diff_recruit"
"standard",1,2018,146.43707377,148.7754488,0.0159684632436232,-0.0494594497331421
"standard",2,2017,148.68578823,139.67761792,-0.0605852813321029,0.108146927736122
"standard",3,2016,102.58006037,108.28085835,0.0555741336029397,3.64224238633443
"standard",4,2015,108.87372325,120.43888848,0.106225495783254,-0.457840396384061
"standard",5,2014,124.61261652,143.63495603,0.152651794346578,0.047443472728054
"standard",6,2013,149.12200144,191.71649746,0.285635222225328,0.175339849935379
"standard",7,2012,159.07918938,191.25015713,0.202232409376639,1.34736846859117
"standard",8,2011,171.81391468,192.32479734,0.119378472332704,25.2036387655245
"standard",9,2010,171.67521997,149.47767677,-0.129299634530126,4.71006266415574
"standard",10,2009,174.14972168,140.36413856,-0.194003084208662,11.3240675241919
"drop_survey",1,2018,146.43707377,151.87899061,0.037162152314975,0.1216954969158
"drop_survey",2,2017,148.68578823,112.65112551,-0.242354451955142,0.66277051121512
"drop_survey",3,2016,102.58006037,109.77528581,0.0701425346607056,3.65925431187591
"drop_survey",4,2015,108.87372325,125.4125211,0.151908076221688,-0.722456593164804
"drop_survey",5,2014,124.61261652,162.72879207,0.305877339024355,-0.601804257094674
"drop_survey",6,2013,149.12200144,183.43223382,0.230081624768193,0.533034872562796
"drop_survey",7,2012,159.07918938,225.32982744,0.416463261588189,1.60559512233176
"drop_survey",8,2011,171.81391468,206.07588869,0.199413266811435,17.4704328305626
"drop_survey",9,2010,171.67521997,137.37407953,-0.199802513408715,3.66724202129273
"drop_survey",10,2009,174.14972168,123.53399895,-0.290644867196551,9.06922037134659
