"mode","peel","terminal_year","base_mmb","peel_mmb","rel_diff_mmb","rel_diff_recruit"
"standard",1,2024,91.38156296,104.12461879,0.139448871492578,0.393873848383087
"standard",2,2023,71.00980145,66.43626952,-0.0644070513733284,0.565269431647942
"standard",3,2022,81.97423588,66.56048322,-0.188031672324019,0.072393975862187
"standard",4,2021,94.58519613,68.43422896,-0.276480551291108,-0.480488450648197
"standard",5,2020,114.3828881,76.50941979,-0.331111313406328,-0.922347968201104
"standard",6,2019,171.26752064,86.904607,-0.492579756656422,32.0271732892585
"standard",7,2018,163.80215247,149.22374423,-0.0890001017701524,18.1469539627103
"standard",8,2017,129.49107216,140.1305946,0.0821641389056826,21.8699999219789
"standard",9,2016,101.54958898,108.8329974,0.0717226774934013,6.40141246866212
"standard",10,2015,112.18887952,119.13382379,0.0619040345149531,0.856954911138339
"drop_survey",1,2024,91.38156296,97.25302816,0.0642521862158354,1.37937983371419
"drop_survey",2,2023,71.00980145,60.51102025,-0.147849747297104,0.536209539211717
"drop_survey",3,2022,81.97423588,79.26366567,-0.0330661235313975,-0.567104570676847
"drop_survey",4,2021,94.58519613,76.52548733,-0.190935892073199,-0.235586415938218
"drop_survey",5,2020,114.3828881,79.76053922,-0.302688185751449,0.514356035964253
"drop_survey",6,2019,171.26752064,86.904607,-0.492579756656422,32.0271732892585
"drop_survey",7,2018,163.80215247,152.49547103,-0.0690264521528238,21.8371390072984
"drop_survey",8,2017,129.49107216,112.87999592,-0.128279702707807,33.1478039734716
"drop_survey",9,2016,101.54958898,109.76969322,0.0809467012379433,6.41264081643412
"drop_survey",10,2015,112.18887952,125.43338913,0.118055458497015,0.0276338535175269
