"mode","peel","Year","ssb","recruit_male"
"standard",3,1994,360.90821289,253759.9731103
"standard",3,1995,329.23682491,189027.37416329
"standard",3,1996,343.63509182,452199.72959772
"standard",3,1997,321.24621545,380213.13501614
"standard",3,1998,226.74846988,598856.0467243
"standard",3,1999,194.054573,314130.88878211
"standard",3,2000,160.13846494,56096.22921968
"standard",3,2001,133.59953345,1547254.89620203
"standard",3,2002,115.39316245,1158071.64688764
"standard",3,2003,111.14013154,1138968.35114654
"standard",3,2004,105.4397834,1795606.22019778
"standard",3,2005,121.67090991,274654.05166918
"standard",3,2006,152.82710237,373794.52591428
"standard",3,2007,173.6893538,873753.89610381
"standard",3,2008,194.67854003,1401271.00079619
"standard",3,2009,215.52063638,150547.32202557
"standard",3,2010,201.8320188,413005.91806246
"standard",3,2011,186.61486802,171420.18942269
"standard",3,2012,163.96376101,928174.79847953
"standard",3,2013,150.80736045,1138152.98639445
"standard",3,2014,125.6972242,5411090.6848009
"standard",3,2015,111.55003386,3710416.50681516
"standard",3,2016,107.40432841,1881204.2826607
"standard",3,2017,157.90622521,152853.69925198
"standard",3,2018,130.0412925,142733.55832909
"standard",3,2019,73.42839382,71702.05162696
"standard",3,2020,51.72888206,1034868.31494576
"standard",3,2021,58.54785137,1036618.19402874
"standard",3,2022,66.56048486,4589428.14239586
"standard",4,1982,203.84893887,2322332.59599517
"standard",4,1983,267.02557632,2193152.67609701
"standard",4,1984,310.74533733,3823311.37268867
"standard",4,1985,325.13571001,3854371.86384233
"standard",4,1986,340.26647005,148839.24884546
"standard",4,1987,371.44632518,1339159.94591383
"standard",4,1988,430.2092652,552489.48439328
"standard",4,1989,489.68010565,669695.08846136
"standard",4,1990,436.98195408,3639973.58900925
"standard",4,1991,391.6540551,3851904.51053026
"standard",4,1992,307.23149809,167041.17036399
"standard",4,1993,278.08527776,397634.81440023
"standard",4,1994,354.26056641,244146.84534586
"standard",4,1995,323.14769195,181561.47348967
"standard",4,1996,337.71567982,430244.17099041
"standard",4,1997,316.11119807,360443.5610219
"standard",4,1998,222.77958104,575564.05288191
"standard",4,1999,190.85911894,291441.06939455
"standard",4,2000,157.59386394,52068.06070398
"standard",4,2001,131.39449773,1491025.66909861
"standard",4,2002,113.40481907,1101608.32133093
"standard",4,2003,109.26240988,1080710.21120117
"standard",4,2004,103.68470098,1739012.02778133
"standard",4,2005,119.59284474,222711.59200722
"standard",4,2006,150.20490829,389622.01449247
"standard",4,2007,170.88229095,824947.51884352
"standard",4,2008,191.69093713,1350315.17650958
"standard",4,2009,212.57541465,141624.20603204
"standard",4,2010,199.26261045,396369.69796779
"standard",4,2011,184.1058023,163100.35497585
"standard",4,2012,161.79136705,923750.36163457
"standard",4,2013,148.90213849,1143005.32616357
"standard",4,2014,124.17795447,4806913.7734437
"standard",4,2015,110.44035779,4256355.09160257
"standard",4,2016,106.46969322,2316491.37643819
"standard",4,2017,155.56371883,164256.34987405
"standard",4,2018,121.85210568,157991.34042294
"standard",4,2019,72.97359008,74340.84190338
"standard",4,2020,57.38755307,1121917.67855046
"standard",4,2021,68.43422816,1223779.48324484
"standard",5,1982,219.2694868,2837741.44375032
"standard",5,1983,244.85363223,2860773.43781954
"standard",5,1984,270.97471933,4610439.52996238
"standard",5,1985,287.75533721,5798898.42634998
"standard",5,1986,315.73566631,218698.25806235
"standard",5,1987,359.69302299,1754201.51383251
"standard",5,1988,427.09655926,662400.82535509
"standard",5,1989,494.05234014,1065788.95311033
"standard",5,1990,449.40263871,3693660.75313764
"standard",5,1991,409.37131256,5856191.76364922
"standard",5,1992,325.31055887,169650.39427324
"standard",5,1993,296.97837304,167768.37848831
"standard",5,1994,375.12647718,531668.92971308
"standard",5,1995,341.78307896,307453.30528199
"standard",5,1996,351.97351658,438971.82236173
"standard",5,1997,326.92718134,322261.31301296
"standard",5,1998,233.34982581,599424.32650061
"standard",5,1999,194.33199387,432535.32042628
"standard",5,2000,160.74325636,46220.74241606
"standard",5,2001,133.98682996,1747792.24217812
"standard",5,2002,111.8003242,1131082.95468876
"standard",5,2003,101.80502386,942797.73433645
"standard",5,2004,93.18466464,2314594.39267025
"standard",5,2005,107.61822245,695163.57610738
"standard",5,2006,134.6698338,549665.70577796
"standard",5,2007,150.62702,1097440.67378596
"standard",5,2008,167.22497382,1780773.15011851
"standard",5,2009,187.78878538,213116.88032854
"standard",5,2010,183.62477757,500672.24713694
"standard",5,2011,183.32697646,141344.84568905
"standard",5,2012,169.92242874,1081716.08226174
"standard",5,2013,159.15582905,1623383.48166258
"standard",5,2014,133.18566411,4939074.04431203
"standard",5,2015,117.34020127,9331230.95395451
"standard",5,2016,111.7629938,525463.6339614
"standard",5,2017,163.76364025,137775.34420101
"standard",5,2018,144.59891132,122465.13250155
"standard",5,2019,87.12059405,34964.54027933
"standard",5,2020,76.50942305,128459.87781624
"standard",6,1982,218.22991081,2320287.87773341
"standard",6,1983,237.44178373,2307184.08403119
"standard",6,1984,259.41682607,3885105.11785121
"standard",6,1985,273.74645923,4534434.36468241
"standard",6,1986,299.40606534,170904.58041106
"standard",6,1987,340.08861655,1419679.77549295
"standard",6,1988,403.34658278,526634.30272523
"standard",6,1989,467.41697458,853528.00134924
"standard",6,1990,423.5268302,3164479.23657894
"standard",6,1991,386.66030027,4601458.09529472
"standard",6,1992,306.45401206,107470.46935037
"standard",6,1993,278.37289388,112150.03070292
"standard",6,1994,349.67845502,444049.08681301
"standard",6,1995,318.46963907,255921.11904931
"standard",6,1996,328.97967677,354267.97708298
"standard",6,1997,306.77020772,247931.98545722
"standard",6,1998,218.05079933,486519.47166627
"standard",6,1999,181.69444261,341405.72375355
"standard",6,2000,150.57855908,34513.22839326
"standard",6,2001,125.56871196,1432615.15213712
"standard",6,2002,104.47762045,975131.50845271
"standard",6,2003,94.98312509,543922.74203139
"standard",6,2004,86.83216726,2059437.13807193
"standard",6,2005,100.45447803,478557.39629713
"standard",6,2006,125.17941365,450063.3691185
"standard",6,2007,139.79351099,929886.9580594
"standard",6,2008,154.45056874,1424276.12349855
"standard",6,2009,173.95480968,155323.87954824
"standard",6,2010,171.51766081,405463.04533984
"standard",6,2011,171.75799448,120814.60642788
"standard",6,2012,159.09371928,826129.12133072
"standard",6,2013,149.15132664,1232607.62828944
"standard",6,2014,124.63929962,4392201.08160132
"standard",6,2015,108.91036612,7397188.11283659
"standard",6,2016,102.63931692,425559.79184283
"standard",6,2017,148.8885684,1241051.24958801
"standard",6,2018,146.58246583,1756482.1814831
"standard",6,2019,86.90459454,2130586.24280268
"standard",7,1982,217.95529766,2407016.33737619
"standard",7,1983,237.66932172,2407029.52167965
"standard",7,1984,260.09797108,4022875.58495459
"standard",7,1985,275.18331746,4754875.10951166
"standard",7,1986,301.79713385,181787.25277118
"standard",7,1987,343.45796534,1474650.44862404
"standard",7,1988,407.57686428,551365.50792292
"standard",7,1989,472.26538435,892904.66077646
"standard",7,1990,428.42115808,3254567.41952092
"standard",7,1991,390.80380338,4821532.08381086
"standard",7,1992,309.8326197,117065.63467838
"standard",7,1993,281.64321857,119318.60309412
"standard",7,1994,354.14015047,459646.64479753
"standard",7,1995,322.56200301,269964.81241477
"standard",7,1996,332.97223079,366148.81115822
"standard",7,1997,310.11571615,260477.75875626
"standard",7,1998,220.51334906,501107.23947723
"standard",7,1999,183.66275835,361512.84770836
"standard",7,2000,152.20166875,37236.58117258
"standard",7,2001,126.94733482,1477398.31015512
"standard",7,2002,105.62245282,1023750.88646491
"standard",7,2003,95.96362355,564646.8136257
"standard",7,2004,87.69228254,2126011.61420292
"standard",7,2005,101.48253108,515567.2417815
"standard",7,2006,126.52576341,474581.77164275
"standard",7,2007,141.24567755,956526.78077721
"standard",7,2008,156.00512165,1485969.59754246
"standard",7,2009,175.49093363,165803.18582717
"standard",7,2010,172.96222573,421935.13361907
"standard",7,2011,173.4563151,127074.92327904
"standard",7,2012,160.88143329,853362.87242472
"standard",7,2013,150.80498387,1266335.89413309
"standard",7,2014,126.02329118,4638235.26299121
"standard",7,2015,110.17330048,7424013.84879579
"standard",7,2016,103.9100208,444001.14663221
"standard",7,2017,151.07037349,1229823.64964284
"standard",7,2018,149.22370632,1675908.97667783
"standard",8,1982,217.83641246,2411877.65973393
"standard",8,1983,237.0047799,2428118.22676047
"standard",8,1984,259.22494365,4067996.49014075
"standard",8,1985,274.71911571,4783737.12146208
"standard",8,1986,301.9473948,185208.01966787
"standard",8,1987,344.11254855,1479500.99143943
"standard",8,1988,408.46365329,556055.68154747
"standard",8,1989,473.33610212,899519.73205118
"standard",8,1990,429.60540913,3278241.08424905
"standard",8,1991,391.58004626,4843232.47222816
"standard",8,1992,310.34579658,118837.98898155
"standard",8,1993,282.00739324,119760.94973471
"standard",8,1994,354.5703033,457224.25961108
"standard",8,1995,322.91394829,286632.5608892
"standard",8,1996,333.15765193,357235.67174917
"standard",8,1997,310.02689868,266472.48180202
"standard",8,1998,220.35697171,497567.73050841
"standard",8,1999,183.47574732,369783.1308786
"standard",8,2000,152.12255571,38901.38850434
"standard",8,2001,126.95200541,1482026.83714496
"standard",8,2002,105.55441337,1033120.14483195
"standard",8,2003,95.82845677,557239.31366491
"standard",8,2004,87.54004456,2135689.54906784
"standard",8,2005,101.4248629,516798.75614088
"standard",8,2006,126.47404907,504966.1994325
"standard",8,2007,141.08341255,945156.30877345
"standard",8,2008,155.6706906,1498225.51493757
"standard",8,2009,174.99361971,160663.07852349
"standard",8,2010,172.57246224,427799.60718082
"standard",8,2011,173.43407351,141649.88667057
"standard",8,2012,161.08064838,749631.42733249
"standard",8,2013,150.84773629,1209557.94961222
"standard",8,2014,125.9292335,3872535.92386767
"standard",8,2015,109.49726498,6336713.25336212
"standard",8,2016,101.70455062,1174329.4488769
"standard",8,2017,140.1305729,1382435.2027864
"standard",9,1982,215.75602678,1993848.69279421
