"mode","peel","Year","recruit_male"
"standard",4,2005,222711.63252501
"standard",4,2006,389622.05896772
"standard",4,2007,824947.60388458
"standard",4,2008,1350315.31811498
"standard",4,2009,141624.24365769
"standard",4,2010,396369.734947
"standard",4,2011,163100.3479999
"standard",4,2012,923750.44047218
"standard",4,2013,1143005.48070855
"standard",4,2014,4806914.58248234
"standard",4,2015,4256355.52692851
"standard",4,2016,2316491.90359512
"standard",4,2017,164256.37818634
"standard",4,2018,157991.37944638
"standard",4,2019,74340.84747423
"standard",4,2020,1121917.80415185
"standard",4,2021,1223779.66374409
"standard",5,1982,2837741.17990253
"standard",5,1983,2860772.89896951
"standard",5,1984,4610438.87794886
"standard",5,1985,5798897.42240848
"standard",5,1986,218698.3062901
"standard",5,1987,1754200.97815379
"standard",5,1988,662401.07173216
"standard",5,1989,1065788.48477639
"standard",5,1990,3693660.45719511
"standard",5,1991,5856190.73880502
"standard",5,1992,169650.53955055
"standard",5,1993,167768.10087811
"standard",5,1994,531668.9232272
"standard",5,1995,307453.3678949
"standard",5,1996,438971.58234108
"standard",5,1997,322261.39147003
"standard",5,1998,599424.1917404
"standard",5,1999,432535.23409946
"standard",5,2000,46220.74842972
"standard",5,2001,1747791.90569305
"standard",5,2002,1131082.90377114
"standard",5,2003,942797.63782267
"standard",5,2004,2314593.77902596
"standard",5,2005,695163.54350133
"standard",5,2006,549665.57170446
"standard",5,2007,1097440.46049398
"standard",5,2008,1780772.93122881
"standard",5,2009,213116.80190895
"standard",5,2010,500672.18589354
"standard",5,2011,141344.84128296
"standard",5,2012,1081715.87866667
"standard",5,2013,1623383.37502021
"standard",5,2014,4939073.80201861
"standard",5,2015,9331230.93647042
"standard",5,2016,525463.65985033
"standard",5,2017,137775.34619484
"standard",5,2018,122465.1529621
"standard",5,2019,34964.53601089
"standard",5,2020,128459.88813175
"standard",6,1982,2320288.31881255
"standard",6,1983,2307184.46867006
"standard",6,1984,3885105.67123928
"standard",6,1985,4534435.24900464
"standard",6,1986,170904.54190984
"standard",6,1987,1419680.07591232
"standard",6,1988,526634.39479028
"standard",6,1989,853528.08109219
"standard",6,1990,3164479.67009233
"standard",6,1991,4601459.04780043
"standard",6,1992,107470.46443867
"standard",6,1993,112150.00075477
"standard",6,1994,444049.30630783
"standard",6,1995,255920.90043779
"standard",6,1996,354268.27340131
"standard",6,1997,247931.86247803
"standard",6,1998,486519.64546684
"standard",6,1999,341405.76443117
"standard",6,2000,34513.21591726
"standard",6,2001,1432615.37004183
"standard",6,2002,975131.71464468
"standard",6,2003,543922.74610155
"standard",6,2004,2059437.62378554
"standard",6,2005,478557.45678486
"standard",6,2006,450063.37187427
"standard",6,2007,929887.11048187
"standard",6,2008,1424276.3831489
"standard",6,2009,155323.83632035
"standard",6,2010,405463.20363632
"standard",6,2011,120814.53016494
"standard",6,2012,826129.2077253
"standard",6,2013,1232607.41264001
"standard",6,2014,4392201.16219343
"standard",6,2015,7397187.7800367
"standard",6,2016,425559.72558972
"standard",6,2017,1241051.39866124
"standard",6,2018,1756482.30899985
"standard",6,2019,2130586.65846947
"standard",7,1982,2407017.59296661
"standard",7,1983,2407030.9211701
"standard",7,1984,4022877.38431613
"standard",7,1985,4754878.07345019
"standard",7,1986,181787.34054782
"standard",7,1987,1474651.18773847
"standard",7,1988,551365.85664438
"standard",7,1989,892905.13199042
"standard",7,1990,3254568.87820545
"standard",7,1991,4821534.8732817
"standard",7,1992,117065.74991452
"standard",7,1993,119318.86160827
"standard",7,1994,459646.73735598
"standard",7,1995,269965.0622343
"standard",7,1996,366148.93237663
"standard",7,1997,260477.93606597
"standard",7,1998,501107.48215767
"standard",7,1999,361513.09760333
"standard",7,2000,37236.60592
"standard",7,2001,1477398.95498079
"standard",7,2002,1023751.60833761
"standard",7,2003,564646.94553585
"standard",7,2004,2126012.8795051
"standard",7,2005,515567.44671811
"standard",7,2006,474582.13286982
"standard",7,2007,956527.05078701
"standard",7,2008,1485970.7583576
"standard",7,2009,165802.99052587
"standard",7,2010,421935.58635648
"standard",7,2011,127074.97659687
"standard",7,2012,853363.07561899
"standard",7,2013,1266336.51982833
"standard",7,2014,4638237.23090896
"standard",7,2015,7424017.54849682
"standard",7,2016,444001.41598385
"standard",7,2017,1229824.26240271
"standard",7,2018,1675909.62148112
"standard",8,1982,2411878.72315443
"standard",8,1983,2428119.28324719
"standard",8,1984,4067998.05678854
"standard",8,1985,4783739.55494963
"standard",8,1986,185208.06238343
"standard",8,1987,1479501.67564852
"standard",8,1988,556055.90368962
"standard",8,1989,899520.15170162
"standard",8,1990,3278242.29305007
"standard",8,1991,4843234.80065876
"standard",8,1992,118838.09526605
"standard",8,1993,119761.07051824
"standard",8,1994,457224.38974339
"standard",8,1995,286632.75954323
"standard",8,1996,357235.69989713
"standard",8,1997,266472.7045296
"standard",8,1998,497567.83884368
"standard",8,1999,369783.34590772
"standard",8,2000,38901.39510434
"standard",8,2001,1482027.40604731
"standard",8,2002,1033120.70948335
"standard",8,2003,557239.4843406
"standard",8,2004,2135690.36148943
"standard",8,2005,516799.17940915
"standard",8,2006,504966.37340509
"standard",8,2007,945156.68021497
"standard",8,2008,1498226.26277407
"standard",8,2009,160663.10698822
"standard",8,2010,427799.82851582
"standard",8,2011,141649.9400366
"standard",8,2012,749631.68199417
"standard",8,2013,1209558.43422243
"standard",8,2014,3872537.42491414
"standard",8,2015,6336715.94861494
"standard",8,2016,1174329.94744618
"standard",8,2017,1382435.91469674
"standard",9,1982,1993848.05397779
"standard",9,1983,1994753.29941699
"standard",9,1984,3474758.3029308
"standard",9,1985,3830073.5442429
"standard",9,1986,151977.14296716
"standard",9,1987,1244448.02588474
"standard",9,1988,444826.26716119
"standard",9,1989,732802.45822754
"standard",9,1990,2897144.40919062
"standard",9,1991,3872521.87464237
"standard",9,1992,96983.49213302
"standard",9,1993,107173.0655726
"standard",9,1994,386158.70646214
"standard",9,1995,202349.22885661
"standard",9,1996,328579.55265609
"standard",9,1997,201838.46279136
"standard",9,1998,445984.74011524
"standard",9,1999,277779.95307818
"standard",9,2000,30404.15284437
"standard",9,2001,1302489.00210488
"standard",9,2002,787128.70310489
"standard",9,2003,542255.16440818
"standard",9,2004,1798027.04155952
"standard",9,2005,355350.89018806
"standard",9,2006,408162.54813587
"standard",9,2007,815800.57886701
"standard",9,2008,1227409.42655535
"standard",9,2009,100423.33773657
"standard",9,2010,391891.18146034
"standard",9,2011,531857.92385413
"standard",9,2012,588420.08804269
"standard",9,2013,856424.57154831
"standard",9,2014,2971511.6548445
"standard",9,2015,3229593.82292076
"standard",9,2016,1972201.18644738
"standard",10,1982,1939197.67707802
"standard",10,1983,1936112.35364283
"standard",10,1984,3382767.72052567
"standard",10,1985,3723187.32344764
"standard",10,1986,150830.49485236
"standard",10,1987,1203753.7280704
"standard",10,1988,447114.13562348
"standard",10,1989,694482.98454114
"standard",10,1990,2856162.55341726
"standard",10,1991,3757934.79410798
"standard",10,1992,96462.5936035
"standard",10,1993,106226.73302036
"standard",10,1994,380360.41498912
"standard",10,1995,185090.92348735
"standard",10,1996,327184.92863939
"standard",10,1997,197692.07763692
"standard",10,1998,435365.92027607
"standard",10,1999,270393.95906758
"standard",10,2000,30754.80824042
"standard",10,2001,1267126.0261908
"standard",10,2002,778166.17939468
"standard",10,2003,537098.30138256
"standard",10,2004,1725516.84549798
"standard",10,2005,367560.53579269
"standard",10,2006,366132.51368866
"standard",10,2007,822761.2689865
"standard",10,2008,1180765.96507993
"standard",10,2009,105239.80887543
"standard",10,2010,587028.45999897
"standard",10,2011,522286.46452774
"standard",10,2012,651563.84741191
"standard",10,2013,995980.89356824
"standard",10,2014,3686437.20642502
"standard",10,2015,3701967.54438651
"drop_survey",0,1982,2454115.01266891
"drop_survey",0,1983,2298105.21501918
"drop_survey",0,1984,4003238.05907606
"drop_survey",0,1985,4069530.51362738
"drop_survey",0,1986,156476.87245864
"drop_survey",0,1987,1410343.72737641
"drop_survey",0,1988,572615.70935577
"drop_survey",0,1989,689173.68775706
"drop_survey",0,1990,3901021.47730926
"drop_survey",0,1991,4002423.5009959
"drop_survey",0,1992,180216.69434512
"drop_survey",0,1993,415533.29551012
"drop_survey",0,1994,256447.84722869
"drop_survey",0,1995,189544.66369269
"drop_survey",0,1996,451433.7744903
"drop_survey",0,1997,378536.346652
"drop_survey",0,1998,614044.37684662
"drop_survey",0,1999,305301.71354642
"drop_survey",0,2000,50850.69425043
"drop_survey",0,2001,1595421.32776727
"drop_survey",0,2002,1137927.44571054
"drop_survey",0,2003,1138776.87408396
"drop_survey",0,2004,1828215.70886262
"drop_survey",0,2005,284460.76321836
"drop_survey",0,2006,360450.83685413
"drop_survey",0,2007,900774.31811445
"drop_survey",0,2008,1384163.30813929
"drop_survey",0,2009,150094.70678816
"drop_survey",0,2010,410178.95737835
"drop_survey",0,2011,179599.88895746
"drop_survey",0,2012,657409.48063085
"drop_survey",0,2013,499692.70331296
"drop_survey",0,2014,4688057.5921132
"drop_survey",0,2015,2107964.72869111
"drop_survey",0,2016,266344.04915044
"drop_survey",0,2017,61216.47680114
"drop_survey",0,2018,91105.54159922
"drop_survey",0,2019,75182.27694033
"drop_survey",0,2020,1903267.48035353
"drop_survey",0,2021,2646795.02357643
"drop_survey",0,2022,3893684.35065965
"drop_survey",0,2023,1724150.8352618
"drop_survey",0,2024,1326386.82674312
"drop_survey",0,2025,1926753.81908678
"drop_survey",1,1982,2411015.6334149
"drop_survey",1,1983,2249427.77659604
"drop_survey",1,1984,3908990.69186361
"drop_survey",1,1985,3849757.0903056
"drop_survey",1,1986,156181.20844882
"drop_survey",1,1987,1368377.8808036
"drop_survey",1,1988,534632.80959311
"drop_survey",1,1989,679870.36562102
"drop_survey",1,1990,3950581.55929277
"drop_survey",1,1991,3732015.40920581
"drop_survey",1,1992,190946.86103782
"drop_survey",1,1993,447795.18294928
"drop_survey",1,1994,221542.56806947
"drop_survey",1,1995,173766.19558246
"drop_survey",1,1996,449791.59744648
"drop_survey",1,1997,441514.7982931
"drop_survey",1,1998,584335.18320324
"drop_survey",1,1999,305740.37137432
"drop_survey",1,2000,54771.26176633
"drop_survey",1,2001,1595376.54979189
"drop_survey",1,2002,1148141.41462056
"drop_survey",1,2003,1163703.02128166
"drop_survey",1,2004,1717779.40377254
"drop_survey",1,2005,242836.30973835
"drop_survey",1,2006,340991.192084
"drop_survey",1,2007,855450.97987628
"drop_survey",1,2008,1339453.5372018
"drop_survey",1,2009,150591.0140031
"drop_survey",1,2010,395704.79797176
"drop_survey",1,2011,198207.0100447
"drop_survey",1,2012,868684.18471134
"drop_survey",1,2013,805257.62592274
"drop_survey",1,2014,5123521.00249634
"drop_survey",1,2015,3699666.8063242
"drop_survey",1,2016,376970.36609368
"drop_survey",1,2017,72732.37565521
"drop_survey",1,2018,110112.61330512
"drop_survey",1,2019,831086.3363099
"drop_survey",1,2020,1294608.3806753
"drop_survey",1,2021,1769922.59409885
"drop_survey",1,2022,4186359.19369448
"drop_survey",1,2023,2019117.96605929
"drop_survey",1,2024,2207282.55865007
"drop_survey",2,1982,2306667.32505763
"drop_survey",2,1983,2169197.14844023
"drop_survey",2,1984,3793409.47321186
"drop_survey",2,1985,3822853.41339586
"drop_survey",2,1986,146812.92361242
"drop_survey",2,1987,1323864.44757925
"drop_survey",2,1988,545699.35112193
"drop_survey",2,1989,663547.31902823
"drop_survey",2,1990,3652375.86533801
"drop_survey",2,1991,3780673.46582401
"drop_survey",2,1992,165042.93015145
"drop_survey",2,1993,394341.47020823
"drop_survey",2,1994,240650.69597872
"drop_survey",2,1995,174853.99761037
"drop_survey",2,1996,434402.70397971
"drop_survey",2,1997,356867.71813462
"drop_survey",2,1998,569621.45130163
"drop_survey",2,1999,293446.27391102
"drop_survey",2,2000,51207.41051612
"drop_survey",2,2001,1480762.86698334
"drop_survey",2,2002,1077657.14712194
"drop_survey",2,2003,1089444.13749599
"drop_survey",2,2004,1689554.57692711
"drop_survey",2,2005,260027.82959873
"drop_survey",2,2006,345918.17099005
"drop_survey",2,2007,839311.6070943
"drop_survey",2,2008,1319641.74144158
"drop_survey",2,2009,137858.51615738
"drop_survey",2,2010,390746.27706812
"drop_survey",2,2011,162193.94164777
"drop_survey",2,2012,870705.93532184
"drop_survey",2,2013,1038592.80008788
"drop_survey",2,2014,5109881.15263871
"drop_survey",2,2015,3465035.17597256
"drop_survey",2,2016,1602169.43397815
"drop_survey",2,2017,138808.05900957
"drop_survey",2,2018,133157.9883488
"drop_survey",2,2019,77681.72035114
"drop_survey",2,2020,1055021.45460983
"drop_survey",2,2021,997879.18547134
"drop_survey",2,2022,3974715.38109662
"drop_survey",2,2023,2285513.194623
"drop_survey",3,1982,2281252.55267806
"drop_survey",3,1983,2150363.22544209
"drop_survey",3,1984,3766411.13522813
"drop_survey",3,1985,3763775.58367813
"drop_survey",3,1986,146646.46631514
"drop_survey",3,1987,1316395.35511024
"drop_survey",3,1988,538547.19451744
"drop_survey",3,1989,660266.31864059
"drop_survey",3,1990,3599031.41522546
"drop_survey",3,1991,3760115.28223744
"drop_survey",3,1992,163393.8589415
"drop_survey",3,1993,390558.14025212
"drop_survey",3,1994,238477.94604584
"drop_survey",3,1995,176445.64675958
"drop_survey",3,1996,425389.53915609
"drop_survey",3,1997,354095.49772167
"drop_survey",3,1998,568023.52989753
"drop_survey",3,1999,284449.93246004
"drop_survey",3,2000,51184.83105328
"drop_survey",3,2001,1470728.32930918
"drop_survey",3,2002,1077456.84707446
"drop_survey",3,2003,1070549.89837963
"drop_survey",3,2004,1686194.30892748
"drop_survey",3,2005,241758.56659024
"drop_survey",3,2006,350762.8048442
