"mode","peel","terminal_year","base_mmb","peel_mmb","rel_diff_mmb","rel_diff_recruit"
"standard",1,2023,110.65150759,106.50594135,-0.037465067853939,0.655967823939502
"standard",2,2022,120.23552767,113.46041287,-0.0563486926975117,-0.316183834498485
"standard",3,2021,148.41397148,182.81625333,0.231799482939084,-0.209437542581584
"standard",4,2020,180.24920047,77.33547317,-0.570952475970225,-0.45936561996953
"standard",5,2019,265.83533822,92.2822388,-0.652859400040979,35.6535029382527
"standard",6,2018,180.74806911,169.31075099,-0.0632776780206678,-0.0710629148017893
"standard",7,2017,168.47364952,129.6181748,-0.230632356043236,3.43950353994114
"standard",8,2016,110.82036278,109.96798929,-0.00769148799568648,0.939847376573476
"standard",9,2015,107.86984561,111.94151294,0.0377461125208335,-0.187504720444683
"standard",10,2014,127.99705005,142.3590816,0.11220595743722,-0.279697163319223
"drop_survey",1,2023,110.65150759,66.31108728,-0.400721339236477,0.416169488296525
"drop_survey",2,2022,120.23552767,86.75894952,-0.278425011298493,-0.609602770649794
"drop_survey",3,2021,148.41397148,82.95079835,-0.441084976550349,-0.0244898235799948
"drop_survey",4,2020,180.24920047,81.9191799,-0.545522644836173,0.255615819499793
"drop_survey",5,2019,265.83533822,92.68932259,-0.651328061909917,37.788163009094
"drop_survey",6,2018,180.74806911,171.61612723,-0.0505230397478961,0.220073421160305
"drop_survey",7,2017,168.47364952,122.50440496,-0.272857177908661,7.65349854822616
"drop_survey",8,2016,110.82036278,117.5848637,0.0610402343965328,1.00903302258821
"drop_survey",9,2015,107.86984561,137.11425076,0.271108250731462,-0.473465246264416
"drop_survey",10,2014,127.99705005,171.4896845,0.339794037698606,-0.76878769989367
