"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
19,-23540.2318875907,0.00465923275035067,20260840,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/019",411,NA,NA,85.05076853,84.8372424,0.21352613,66.25952528,66.25952528,FALSE,144.84455366,1061993.69603892,2025,20260840,134,47.9,TRUE,"",TRUE,FALSE,"B"
20,-23540.2318875898,0.0162610574991054,20260841,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/020",411,NA,NA,85.05076642,84.83724045,0.21352597,66.25966489,66.25966489,FALSE,144.84459929,1061994.36174913,2025,20260841,134,47.8,TRUE,"",FALSE,FALSE,NA
21,-23535.2863035641,0.00779416943652242,20260842,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/021",411,NA,NA,87.59730443,87.38974792,0.20755651,72.56520101,72.56520101,FALSE,150.21466069,1147306.37600654,2025,20260842,134,49.6,TRUE,"",TRUE,FALSE,"J"
22,-23542.4723523761,0.00166015134460261,20260843,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/022",411,NA,NA,83.92846449,83.71500657,0.21345792,66.23891155,66.23891155,FALSE,143.16670707,1019773.35857138,2025,20260843,134,48.5,TRUE,"",TRUE,FALSE,"minor"
23,-23540.6034961508,0.0118707519594527,20260844,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/023",411,NA,NA,83.91258228,83.69546662,0.21711566,64.11003233,64.11003233,FALSE,142.56947344,1023615.47075341,2025,20260844,134,47.8,TRUE,"",FALSE,FALSE,NA
24,-23535.3676641707,0.0078268579304605,20260845,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/024",411,NA,NA,87.33452542,87.12486448,0.20966094,70.70914893,70.70914893,FALSE,149.3638389,1125261.63858895,2025,20260845,134,47.9,TRUE,"",TRUE,FALSE,"I"
25,-23540.6142390118,0.00361607289256306,20260846,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/025",411,NA,NA,86.83975458,86.62865626,0.21109832,67.68779849,67.68779849,FALSE,148.80574963,1073147.88122003,2025,20260846,134,47.7,TRUE,"",TRUE,FALSE,"minor"
26,-23535.7032698827,0.00640777198143797,20260847,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/026",411,NA,NA,85.88416145,85.66914613,0.21501532,66.88936054,66.88936054,FALSE,146.22681231,1065898.62463442,2025,20260847,134,46.8,TRUE,"",TRUE,FALSE,"minor"
27,-23535.3676641707,0.00785298708326738,20260848,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/027",411,NA,NA,87.33454776,87.12488678,0.20966098,70.70917526,70.70917526,FALSE,149.36387283,1125262.05115342,2025,20260848,134,48,TRUE,"",TRUE,FALSE,"I"
28,-23535.2863035643,0.00542200247996929,20260849,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/028",411,NA,NA,87.59730137,87.38974482,0.20755655,72.56519147,72.56519147,FALSE,150.21464659,1147306.25999636,2025,20260849,134,49.9,TRUE,"",TRUE,FALSE,"J"
29,-23538.1977233398,0.00482712843039212,20260850,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/029",411,NA,NA,87.46848572,87.24172268,0.22676304,58.94543813,58.94543813,FALSE,146.64814061,999278.47352763,2025,20260850,134,46.9,TRUE,"",TRUE,FALSE,"E"
30,-23537.4710033142,0.00478904300752076,20260851,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/030",411,NA,NA,85.40120596,85.19102228,0.21018368,69.02057876,69.02057876,FALSE,146.06379081,1093334.17533782,2025,20260851,134,48.7,TRUE,"",TRUE,FALSE,"F"
31,-23536.5393800611,0.00468288335900689,20260852,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/031",411,NA,NA,85.69231187,85.46532183,0.22699004,59.21312825,59.21312825,FALSE,143.55750524,980462.95261565,2025,20260852,134,47,TRUE,"",TRUE,FALSE,"G"
32,-23534.3938839412,0.0102607737119126,20260853,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/032",411,NA,NA,87.03747299,86.82644046,0.21103253,69.71158322,69.71158322,FALSE,148.6850558,1110002.0374432,2025,20260853,134,46.3,TRUE,"",FALSE,FALSE,NA
33,-23536.5393800611,0.00999802818800273,20260854,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/033",411,NA,NA,85.69232949,85.46533947,0.22699002,59.21317148,59.21317148,FALSE,143.55754452,980463.51950653,2025,20260854,134,46.9,TRUE,"",TRUE,FALSE,"G"
34,-23538.6361984696,0.00633222100275453,20260855,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/034",411,NA,NA,85.77135904,85.57032524,0.2010338,76.19663956,76.19663956,FALSE,148.66230547,1170574.3269939,2025,20260855,134,49,TRUE,"",TRUE,FALSE,"D"
35,-23536.5393800606,0.011651574058837,20260856,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/035",411,NA,NA,85.69234047,85.46535042,0.22699005,59.21317638,59.21317638,FALSE,143.55755729,980463.79937193,2025,20260856,134,46.3,TRUE,"",FALSE,FALSE,NA
36,-23540.1880292082,0.00991045973051633,20260857,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/036",411,NA,NA,85.12563535,84.91312739,0.21250796,67.06092028,67.06092028,FALSE,145.15604936,1069582.11542993,2025,20260857,134,47.1,TRUE,"",TRUE,FALSE,"minor"
37,-23368.4847733715,0.00157522334836492,20260858,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/037",411,NA,NA,83.39658587,83.10960536,0.28698051,33.1436659,33.1436659,FALSE,131.33003686,636798.04978709,2025,20260858,134,51.1,TRUE,"",TRUE,FALSE,"minor"
38,-23540.7471763973,0.00888099949528463,20260859,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/038",411,NA,NA,83.66522811,83.44625583,0.21897228,62.69695976,62.69695976,FALSE,141.83888963,1006147.53961829,2025,20260859,134,46.1,TRUE,"",TRUE,FALSE,"minor"
39,-23539.471846183,0.00381359463784676,20260860,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/039",411,NA,NA,85.11415269,84.90120496,0.21294773,66.94731088,66.94731088,FALSE,145.12133256,1070833.54658079,2025,20260860,134,47,TRUE,"",TRUE,FALSE,"minor"
40,-23540.6034961514,0.00748215253362945,20260861,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/040",411,NA,NA,83.91258553,83.69547,0.21711553,64.11012948,64.11012948,FALSE,142.56948573,1023616.34390162,2025,20260861,134,46.6,TRUE,"",TRUE,FALSE,"minor"
41,-23538.6361984697,0.00328734840884553,20260862,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/041",411,NA,NA,85.77135806,85.57032426,0.2010338,76.19662701,76.19662701,FALSE,148.66228904,1170574.00732346,2025,20260862,134,46.5,TRUE,"",TRUE,FALSE,"D"
42,-23535.2863035643,0.00509913725511792,20260863,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/042",411,NA,NA,87.59729431,87.38973781,0.2075565,72.56521799,72.56521799,FALSE,150.21464906,1147306.4470048,2025,20260863,134,48.4,TRUE,"",TRUE,FALSE,"J"
43,-23535.977271664,0.00596720852823335,20260864,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/043",411,NA,NA,87.10678337,86.88544353,0.22133984,62.61780014,62.61780014,FALSE,146.60480087,1035153.54333515,2025,20260864,134,47.8,TRUE,"",TRUE,FALSE,"H"
44,-23535.2863035639,0.00469308878620284,20260865,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/044",411,NA,NA,87.59727772,87.38972124,0.20755648,72.56524282,72.56524282,FALSE,150.21462792,1147306.44348323,2025,20260865,134,46,TRUE,"",TRUE,FALSE,"J"
45,-23539.8303579973,0.00262697434102917,20260866,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/045",411,NA,NA,85.0030864,84.78966453,0.21342187,66.29932278,66.29932278,FALSE,144.77762571,1059278.56489388,2025,20260866,134,46.8,TRUE,"",TRUE,FALSE,"minor"
46,-23541.699168461,0.00409100009906871,20260867,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/046",411,NA,NA,85.40784449,85.20027853,0.20756596,70.82829163,70.82829163,FALSE,146.52663888,1083445.70475744,2025,20260867,134,47.6,TRUE,"",TRUE,FALSE,"minor"
