"mode","peel","terminal_year","base_mmb","peel_mmb","rel_diff_mmb","rel_diff_recruit"
"standard",1,2024,89.53619638,102.104833,0.140374922413026,0.402359881370892
"standard",2,2023,70.4397625,65.65153625,-0.0679761839060714,0.593201325361407
"standard",3,2022,81.62796193,66.56048486,-0.184587201661621,0.101298993301287
"standard",4,2021,94.42667427,68.43422816,-0.275265927884722,-0.465110461296218
"standard",5,2020,114.35300717,76.50942305,-0.330936501422659,-0.91958014698828
"standard",6,2019,171.50039015,86.90459454,-0.493268823097193,33.2057057504984
"standard",7,2018,164.90076699,149.22370632,-0.0950696649637215,18.4729099097344
"standard",8,2017,129.55186253,140.1305729,0.0816561812652468,22.0688219157413
"standard",9,2016,101.71459055,108.83300946,0.069984245834434,6.47181987781536
"standard",10,2015,112.42164215,119.1338193,0.0597053825369691,0.885223445168939
"drop_survey",1,2024,89.53619638,97.25703305,0.0862314570213821,1.45437524874322
"drop_survey",2,2023,70.4397625,60.51102032,-0.140953657815073,0.570410506078624
"drop_survey",3,2022,81.62796193,79.26366276,-0.0289643293070026,-0.555436576107917
"drop_survey",4,2021,94.42667427,76.52548823,-0.18957763977596,-0.212958954730668
"drop_survey",5,2020,114.35300717,79.76056876,-0.302505716868241,0.568346041146997
"drop_survey",6,2019,171.50039015,86.90459454,-0.493268823097193,33.2057057504984
"drop_survey",7,2018,164.90076699,152.49549166,-0.075228730323324,22.2259292569735
"drop_survey",8,2017,129.55186253,112.88000899,-0.128688644180159,33.4446991877572
"drop_survey",9,2016,101.71459055,109.76968967,0.0791931528843972,6.4831524299118
"drop_survey",10,2015,112.42164215,125.43340775,0.115740753747743,0.0432786519313024
