#========================================================================================================																													
#	Gmacs	Main	Data	File	Version	1.1:	BBRKC	Example																					
#	GEAR_INDEX	DESCRIPTION																											
#	1	:	Pot	fishery	retained	catch.																							
#	1	:	Pot	fishery	with	discarded	catch.																						
#	2	:	Trawl	bycatch																									
#	3	:	Trawl	survey																									
#	Fisheries:	1	Pot	"Fishery,"	2	Pot	"Discard,"	3	Trawl	"by-catch,"	4	Tanner bycatch 5 fixed gear																	
#	Surveys:	6	NMFS	Trawl	"Survey,"	7	BSFRF	Survey																					
#========================================================================================================																													
1982	# Start	year																											
2019	# End	year																											
3	# Number of seasons																												
4	# Number of fleets (fishing fleets and surveys)																												
2	# Number of sexes																												
1	# Number of shell condition types																												
2	# Number of maturity types																												
22	# Number of size-classes in the	model																											
3	# Season recruitment occurs																												
3	# Season molting and growth occurs																												
3	# Season to calculate SSB																												
1	# Season for N output																												
# maximum size-class (males then females)																													
22 22																													
#	size_breaks (a	vector	giving	the	break	points	between	size	"intervals,"	dim=nclass+1)																			
25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135							
#	Natural	mortality	per	season	input	type	(1	=	vector	by	"season,"	2	=	matrix	by	season/year)													
1																													
#	Proportion of the total	natural	mortality to be	applied	each	season																							
#0.625 0.00 0.375																													
0.62 0.01 0.37																													
# Fishing fleet	names (delimited with spaces; no spaces in names)																												
Pot_Fishery Trawl_Bycatch																													
# Survey names (delimited with spaces; no spaces in names)																													
NMFS_Trawl_1982 NMFS_Trawl_1989																													
# Are the seasons instantaneous (0) or continuous (1)																													
1 1 1																													
# Input catch data format (0: old; 1:new)																													
0																													
# Number of catch data frames																													
4																													
# Number of rows in each data frame																													
38	38	38	38
##		##																											
##	CATCH	DATA																											
##	Type of	"catch: 1 = retained, 2"	"= discard, 0 ="	total																									
##	Units of catch:	"1 = biomass, 2 = numbers"																											
##	for snow Units	are in 1000 mt	for landed & discards.																										
##		##																											
##	Male	retained	pot	fishery	(tonnes)																								
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
2014	2	1	1	30.817760330504	0.04	1	1	1	0	0.3
2015	2	1	1	18.421027014032	0.04	1	1	1	0	0.3
2016	2	1	1	9.78439447668	0.04	1	1	1	0	0.3
2017	2	1	1	8.601679645016	0.04	1	1	1	0	0.3
2018	2	1	1	12.509270852448	0.04	1	1	1	0	0.3
2019	2	1	1	15.433265044376	0.04	1	1	1	0	0.3
##	Male	discard	pot	fishery																									
#year	seas	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality																			
1982	2	1	1	1.2665			0.07	2	1	1	0	0.3																	
1983	2	1	1	1.23826			0.07	2	1	1	0	0.3																	
1984	2	1	1	2.75873			0.07	2	1	1	0	0.3																	
1985	2	1	1	4.01467			0.07	2	1	1	0	0.3																	
1986	2	1	1	4.24531			0.07	2	1	1	0	0.3																	
1987	2	1	1	5.52241			0.07	2	1	1	0	0.3																	
1988	2	1	1	5.81669			0.07	2	1	1	0	0.3																	
1989	2	1	1	6.68474			0.07	2	1	1	0	0.3																	
1990	2	1	1	35.5465562095417	0.07	2	1	1	0	0.3
1991	2	1	1	9.02779563294146	0.07	2	1	1	0	0.3
1992	2	1	1	21.1834415760531	0.07	2	1	1	0	0.3
1993	2	1	1	22.2701583523816	0.07	2	1	1	0	0.3
1994	2	1	1	7.78206439591139	0.07	2	1	1	0	0.3
1995	2	1	1	14.7306237864452	0.07	2	1	1	0	0.3
1996	2	1	1	23.2300353821624	0.07	2	1	1	0	0.3
1997	2	1	1	7.10251374427153	0.07	2	1	1	0	0.3
1998	2	1	1	19.9104358073479	0.07	2	1	1	0	0.3
1999	2	1	1	4.12991982661068	0.07	2	1	1	0	0.3
2000	2	1	1	3.25339876525434	0.07	2	1	1	0	0.3
2001	2	1	1	3.98488712651814	0.07	2	1	1	0	0.3
2002	2	1	1	4.50081981059033	0.07	2	1	1	0	0.3
2003	2	1	1	2.45292246349378	0.07	2	1	1	0	0.3
2004	2	1	1	3.58488762871696	0.07	2	1	1	0	0.3
2005	2	1	1	0.622698696502844	0.07	2	1	1	0	0.3
