crab_year,fishery,size,shell,total,target_stock
1992,QO93,123,new,4689,BSSC
1992,QO93,123,old,273,BSSC
1992,QO93,124,new,3860,BSSC
1992,QO93,124,old,242,BSSC
1992,QO93,125,new,3000,BSSC
1992,QO93,125,old,187,BSSC
1992,QO93,126,new,2277,BSSC
1992,QO93,126,old,127,BSSC
1992,QO93,127,new,1904,BSSC
1992,QO93,127,old,105,BSSC
1992,QO93,128,new,1451,BSSC
1992,QO93,128,old,101,BSSC
1992,QO93,129,new,1030,BSSC
1992,QO93,129,old,66,BSSC
1992,QO93,130,new,825,BSSC
1992,QO93,130,old,66,BSSC
1992,QO93,131,new,549,BSSC
1992,QO93,131,old,27,BSSC
1992,QO93,132,new,466,BSSC
1992,QO93,132,old,28,BSSC
1992,QO93,133,new,266,BSSC
1992,QO93,133,old,29,BSSC
1992,QO93,134,new,214,BSSC
1992,QO93,134,old,19,BSSC
1992,QO93,135,new,125,BSSC
1992,QO93,135,old,12,BSSC
1992,QO93,136,new,93,BSSC
1992,QO93,136,old,6,BSSC
1992,QO93,137,new,58,BSSC
1992,QO93,137,old,7,BSSC
1992,QO93,138,new,34,BSSC
1992,QO93,138,old,3,BSSC
1992,QO93,139,new,23,BSSC
1992,QO93,139,old,1,BSSC
1992,QO93,140,new,19,BSSC
1992,QO93,140,old,2,BSSC
1992,QO93,141,new,7,BSSC
1992,QO93,141,old,5,BSSC
1992,QO93,142,new,7,BSSC
1992,QO93,143,new,5,BSSC
1992,QO93,143,old,1,BSSC
1992,QO93,144,new,5,BSSC
1992,QO93,144,old,2,BSSC
1992,QO93,145,new,1,BSSC
1992,QO93,146,new,1,BSSC
1992,QO93,149,old,1,BSSC
1993,QO92,11,new,14,BSSC
1993,QO92,12,new,18,BSSC
1993,QO92,12,old,1,BSSC
1993,QO92,15,new,2,BSSC
1993,QO92,17,new,3,BSSC
1993,QO92,59,new,1,BSSC
1993,QO92,62,old,1,BSSC
1993,QO92,67,new,1,BSSC
1993,QO92,69,new,1,BSSC
1993,QO92,69,old,1,BSSC
1993,QO92,70,new,3,BSSC
1993,QO92,71,new,5,BSSC
1993,QO92,71,old,2,BSSC
1993,QO92,72,new,10,BSSC
1993,QO92,72,old,3,BSSC
1993,QO92,73,new,6,BSSC
1993,QO92,73,old,1,BSSC
1993,QO92,74,new,13,BSSC
1993,QO92,74,old,1,BSSC
1993,QO92,75,new,9,BSSC
1993,QO92,75,old,2,BSSC
1993,QO92,76,new,13,BSSC
1993,QO92,76,old,1,BSSC
1993,QO92,77,new,20,BSSC
1993,QO92,78,new,24,BSSC
1993,QO92,78,old,6,BSSC
1993,QO92,79,new,26,BSSC
1993,QO92,79,old,4,BSSC
1993,QO92,80,new,46,BSSC
1993,QO92,80,old,7,BSSC
1993,QO92,81,new,46,BSSC
1993,QO92,81,old,4,BSSC
1993,QO92,82,new,67,BSSC
1993,QO92,82,old,7,BSSC
1993,QO92,83,new,61,BSSC
1993,QO92,83,old,5,BSSC
1993,QO92,84,new,95,BSSC
1993,QO92,84,old,8,BSSC
1993,QO92,85,new,110,BSSC
1993,QO92,85,old,7,BSSC
1993,QO92,86,new,140,BSSC
1993,QO92,86,old,10,BSSC
1993,QO92,87,new,129,BSSC
1993,QO92,87,old,17,BSSC
1993,QO92,88,new,160,BSSC
1993,QO92,88,old,16,BSSC
1993,QO92,89,new,194,BSSC
1993,QO92,89,old,10,BSSC
1993,QO92,90,new,349,BSSC
1993,QO92,90,old,18,BSSC
1993,QO92,91,new,375,BSSC
1993,QO92,91,old,26,BSSC
1993,QO92,92,new,479,BSSC
1993,QO92,92,old,25,BSSC
1993,QO92,93,new,598,BSSC
1993,QO92,93,old,40,BSSC
1993,QO92,94,new,765,BSSC
1993,QO92,94,old,26,BSSC
1993,QO92,95,new,987,BSSC
1993,QO92,95,old,55,BSSC
1993,QO92,96,new,1224,BSSC
1993,QO92,96,old,61,BSSC
1993,QO92,97,new,1555,BSSC
1993,QO92,97,old,69,BSSC
1993,QO92,98,new,1875,BSSC
1993,QO92,98,old,78,BSSC
1993,QO92,99,new,2063,BSSC
1993,QO92,99,old,100,BSSC
1993,QO92,100,new,3243,BSSC
1993,QO92,100,old,136,BSSC
1993,QO92,101,new,3143,BSSC
1993,QO92,101,old,141,BSSC
1993,QO92,102,new,4154,BSSC
1993,QO92,102,old,166,BSSC
1993,QO92,103,new,4772,BSSC
1993,QO92,103,old,180,BSSC
1993,QO92,104,new,5707,BSSC
1993,QO92,104,old,189,BSSC
1993,QO92,105,new,6008,BSSC
1993,QO92,105,old,173,BSSC
1993,QO92,106,new,6284,BSSC
1993,QO92,106,old,188,BSSC
1993,QO92,107,new,6633,BSSC
1993,QO92,107,old,157,BSSC
1993,QO92,108,new,7332,BSSC
1993,QO92,108,old,166,BSSC
1993,QO92,109,new,7050,BSSC
1993,QO92,109,old,196,BSSC
1993,QO92,110,new,8459,BSSC
1993,QO92,110,old,204,BSSC
1993,QO92,111,new,7622,BSSC
1993,QO92,111,old,161,BSSC
1993,QO92,112,new,8459,BSSC
1993,QO92,112,old,161,BSSC
1993,QO92,113,new,8039,BSSC
1993,QO92,113,old,178,BSSC
1993,QO92,114,new,7835,BSSC
1993,QO92,114,old,154,BSSC
1993,QO92,115,new,8258,BSSC
1993,QO92,115,old,168,BSSC
1993,QO92,116,new,7212,BSSC
1993,QO92,116,old,125,BSSC
1993,QO92,117,new,7283,BSSC
1993,QO92,117,old,134,BSSC
1993,QO92,118,new,6744,BSSC
1993,QO92,118,old,104,BSSC
1993,QO92,119,new,5963,BSSC
1993,QO92,119,old,94,BSSC
1993,QO92,120,new,6235,BSSC
1993,QO92,120,old,124,BSSC
1993,QO92,121,new,4886,BSSC
1993,QO92,121,old,86,BSSC
1993,QO92,122,new,4698,BSSC
1993,QO92,122,old,105,BSSC
1993,QO92,123,new,3959,BSSC
1993,QO92,123,old,61,BSSC
1993,QO92,124,new,3395,BSSC
1993,QO92,124,old,47,BSSC
1993,QO92,125,new,2953,BSSC
1993,QO92,125,old,63,BSSC
1993,QO92,126,new,2414,BSSC
1993,QO92,126,old,33,BSSC
1993,QO92,127,new,2043,BSSC
1993,QO92,127,old,32,BSSC
1993,QO92,128,new,1544,BSSC
1993,QO92,128,old,23,BSSC
1993,QO92,129,new,1229,BSSC
1993,QO92,129,old,18,BSSC
1993,QO92,130,new,1088,BSSC
1993,QO92,130,old,15,BSSC
1993,QO92,131,new,736,BSSC
1993,QO92,131,old,8,BSSC
1993,QO92,132,new,637,BSSC
1993,QO92,132,old,9,BSSC
1993,QO92,133,new,450,BSSC
1993,QO92,133,old,2,BSSC
1993,QO92,134,new,317,BSSC
1993,QO92,134,old,9,BSSC
1993,QO92,135,new,227,BSSC
1993,QO92,136,new,165,BSSC
1993,QO92,136,old,4,BSSC
1993,QO92,137,new,97,BSSC
1993,QO92,138,new,80,BSSC
1993,QO92,139,new,39,BSSC
1993,QO92,139,old,1,BSSC
1993,QO92,140,new,35,BSSC
1993,QO92,141,new,15,BSSC
1993,QO92,142,new,9,BSSC
1993,QO92,143,new,4,BSSC
1993,QO92,144,new,2,BSSC
1993,QO92,145,new,4,BSSC
1993,QO92,147,new,1,BSSC
1993,QO94,56,new,1,BSSC
1993,QO94,58,new,1,BSSC
1993,QO94,64,new,2,BSSC
1993,QO94,66,new,1,BSSC
1993,QO94,67,new,1,BSSC
1993,QO94,67,old,1,BSSC
1993,QO94,68,new,5,BSSC
1993,QO94,69,new,6,BSSC
1993,QO94,69,old,1,BSSC
1993,QO94,70,new,17,BSSC
1993,QO94,71,new,9,BSSC
1993,QO94,72,new,13,BSSC
1993,QO94,73,new,8,BSSC
1993,QO94,74,new,21,BSSC
1993,QO94,75,new,27,BSSC
1993,QO94,76,new,32,BSSC
1993,QO94,76,old,1,BSSC
1993,QO94,77,new,39,BSSC
1993,QO94,77,old,2,BSSC
1993,QO94,78,new,46,BSSC
1993,QO94,78,old,1,BSSC
1993,QO94,79,new,63,BSSC
1993,QO94,79,old,2,BSSC
1993,QO94,80,new,115,BSSC
1993,QO94,80,old,2,BSSC
1993,QO94,81,new,99,BSSC
1993,QO94,81,old,5,BSSC
1993,QO94,82,new,104,BSSC
1993,QO94,82,old,6,BSSC
1993,QO94,83,new,122,BSSC
1993,QO94,83,old,4,BSSC
1993,QO94,84,new,149,BSSC
1993,QO94,84,old,14,BSSC
1993,QO94,85,new,190,BSSC
1993,QO94,85,old,5,BSSC
1993,QO94,86,new,194,BSSC
1993,QO94,86,old,10,BSSC
1993,QO94,87,new,196,BSSC
1993,QO94,87,old,22,BSSC
1993,QO94,88,new,282,BSSC
1993,QO94,88,old,26,BSSC
1993,QO94,89,new,290,BSSC
1993,QO94,89,old,21,BSSC
1993,QO94,90,new,428,BSSC
1993,QO94,90,old,30,BSSC
1993,QO94,91,new,452,BSSC
1993,QO94,91,old,46,BSSC
1993,QO94,92,new,633,BSSC
1993,QO94,92,old,49,BSSC
1993,QO94,93,new,771,BSSC
1993,QO94,93,old,76,BSSC
1993,QO94,94,new,925,BSSC
1993,QO94,94,old,60,BSSC
1993,QO94,95,new,1222,BSSC
1993,QO94,95,old,99,BSSC
1993,QO94,96,new,1544,BSSC
1993,QO94,96,old,119,BSSC
1993,QO94,97,new,1781,BSSC
1993,QO94,97,old,157,BSSC
1993,QO94,98,new,2570,BSSC
1993,QO94,98,old,258,BSSC
1993,QO94,99,new,2515,BSSC
1993,QO94,99,old,284,BSSC
1993,QO94,100,new,3870,BSSC
1993,QO94,100,old,337,BSSC
1993,QO94,101,new,3796,BSSC
1993,QO94,101,old,372,BSSC
1993,QO94,102,new,4670,BSSC
1993,QO94,102,old,460,BSSC
1993,QO94,103,new,5191,BSSC
1993,QO94,103,old,484,BSSC
1993,QO94,104,new,6293,BSSC
1993,QO94,104,old,609,BSSC
1993,QO94,105,new,6667,BSSC
1993,QO94,105,old,553,BSSC
