crab_year,fishery,size,sex,shell,total,target_stock
1990,QP90,80,1,new,2,SMBKC_PIBKC
1990,QP90,95,1,new,1,SMBKC_PIBKC
1990,QP90,113,1,old,1,SMBKC_PIBKC
1990,TR90,89,1,old,1,BBRKC
1990,TR90,101,1,new,1,BBRKC
1990,TR90,124,1,new,1,BBRKC
1991,QB92,116,1,new,1,PIGKC
1991,QB92,117,1,new,1,PIGKC
1991,QB92,118,1,new,1,PIGKC
1991,QB92,119,1,new,2,PIGKC
1991,QB92,120,1,new,1,PIGKC
1991,QB92,122,1,new,1,PIGKC
1991,QB92,124,1,new,1,PIGKC
1991,QP91,73,1,new,1,SMBKC_PIBKC
1991,QP91,80,1,new,2,SMBKC_PIBKC
1991,QP91,88,1,new,3,SMBKC_PIBKC
1991,QP91,89,1,new,1,SMBKC_PIBKC
1991,QP91,90,1,new,1,SMBKC_PIBKC
1991,QP91,91,1,new,1,SMBKC_PIBKC
1991,QP91,93,1,new,1,SMBKC_PIBKC
1991,QP91,93,1,old,1,SMBKC_PIBKC
1991,QP91,94,1,new,1,SMBKC_PIBKC
1991,QP91,95,1,new,1,SMBKC_PIBKC
1991,QP91,97,1,new,1,SMBKC_PIBKC
1991,QP91,99,1,new,1,SMBKC_PIBKC
1991,QP91,100,1,old,1,SMBKC_PIBKC
1991,QP91,101,1,new,1,SMBKC_PIBKC
1991,QP91,102,1,new,1,SMBKC_PIBKC
1991,QP91,104,1,new,1,SMBKC_PIBKC
1991,QP91,110,1,new,1,SMBKC_PIBKC
1991,QP91,112,1,new,2,SMBKC_PIBKC
1991,QP91,113,1,new,2,SMBKC_PIBKC
1991,QP91,114,1,new,1,SMBKC_PIBKC
1991,QP91,115,1,new,1,SMBKC_PIBKC
1991,QP91,116,1,new,1,SMBKC_PIBKC
1991,QP91,120,1,old,1,SMBKC_PIBKC
1991,QP91,124,1,new,1,SMBKC_PIBKC
1991,QP91,132,1,new,1,SMBKC_PIBKC
1991,QP91,140,1,old,1,SMBKC_PIBKC
1991,QP91,143,1,new,1,SMBKC_PIBKC
1991,QP91,148,1,new,1,SMBKC_PIBKC
1991,QP91,149,1,new,1,SMBKC_PIBKC
