crab_year,fishery,group,count,obs_effort,ft_effort,cpue,avg_wt,total_catch_n,total_catch_wt,target_stock
1990,QO91,female,29026,2308,1382908,12.576256499133448,8.755040637624624e-5,17391805.72270364,1522.6596586394285,BSSC
1990,QO91,sublegal_male,12497,2308,1382908,5.414644714038128,2.1319513783642384e-4,7487955.49220104,1596.3957032728076,BSSC
1990,QO91,legal_male,629660,2308,1382908,272.8162911611785,4.851103225270173e-4,377279831.57712305,183022.34077931693,BSSC
1990,QP90,female,0,10,26264,0,7.068729797710487e-5,0,0,SMBKC_PIBKC
1990,QP90,sublegal_male,1,10,26264,0.1,2.8290690534405144e-4,2626.4,0.7430266961956167,SMBKC_PIBKC
1990,QP90,legal_male,3,10,26264,0.3,4.097320176137411e-4,7879.2,3.2283605131821886,SMBKC_PIBKC
1990,TR90,female,0,140,262761,0,2.606128456723377e-4,0,0,BBRKC
1990,TR90,sublegal_male,0,140,262761,0,2.540044799270552e-4,0,0,BBRKC
1990,TR90,legal_male,3,140,262761,0.02142857142857143,5.118979435066526e-4,5630.592857142858,2.882288904294676,BBRKC
1991,QB92,female,0,9,478,0,1.2709921329813478e-4,0,0,PIGKC
1991,QB92,sublegal_male,0,9,478,0,1.5394862405409404e-4,0,0,PIGKC
1991,QB92,legal_male,8,9,478,0.8888888888888888,7.241554311584599e-4,424.88888888888886,0.3076855965277723,PIGKC
1991,QO92,female,1628,1216,1278502,1.3388157894736843,1.1680030403285487e-4,1711678.6644736843,199.9245884170773,BSSC
1991,QO92,sublegal_male,1663,1216,1278502,1.3675986842105263,1.8968681288943168e-4,1748477.6529605263,331.663153398476,BSSC
1991,QO92,legal_male,256416,1216,1278502,210.8684210526316,5.627486409521737e-4,269595698.0526316,151714.61268567102,BSSC
1991,QP91,female,0,125,37104,0,7.068729797710487e-5,0,0,SMBKC_PIBKC
1991,QP91,sublegal_male,14,125,37104,0.112,4.212174574423679e-4,4155.648,1.7504314845854612,SMBKC_PIBKC
1991,QP91,legal_male,8,125,37104,0.064,9.646699211732541e-4,2374.656,2.290759216333595,SMBKC_PIBKC
1991,QT91,female,95,176,140050,0.5397727272727273,1.1807082557509979e-4,75595.17045454546,8.925584185058574,WBT
1991,QT91,sublegal_male,109,176,140050,0.6193181818181818,2.6716507140821797e-4,86735.51136363635,23.17269908709421,WBT
1991,QT91,legal_male,20352,176,140050,115.63636363636364,6.085946645221159e-4,16194872.727272728,9856.11313443291,WBT
1991,TR91,female,0,272,227555,0,2.606128456723377e-4,0,0,BBRKC
1991,TR91,sublegal_male,4,272,227555,0.014705882352941176,4.337462911909267e-4,3346.3970588235293,1.4514873131169312,BBRKC
1991,TR91,legal_male,12,272,227555,0.04411764705882353,6.454745383980199e-4,10039.19117647059,6.480042290521828,BBRKC
