"currency","Bmsy","B_curr","B_curr_lci","B_curr_uci","B_curr_cv","status","M","Fofl","OFL","Fofl_lci","Fofl_uci","OFL_lci","OFL_uci","Fofl_flat","OFL_flat","Fofl_ramp","OFL_ramp","OFL_flat_linear","OFL_flat_baranov","OFL_linear","OFL_ramp_linear","OFL_baranov","OFL_ramp_baranov"
"morphometric",146.559256893605,113.94392443811,85.3631407015059,152.093957762834,0.1481489571264,0.777459758279396,0.27,0.203237927483819,18.4492480201951,0.144734389033118,0.27,10.1132738478198,31.7307348399496,0.27,23.7716508015837,0.203237927483819,18.4492480201951,30.7648595982897,23.7716508015837,30.7648595982897,23.1577270521743,23.7716508015837,18.4492480201951
">101 mm",64.4842225009308,17.0024944341293,13.2812200957217,21.7664352295253,0.126529420829929,0.263669061589195,0.27,0.0491007184767585,0.714742614589433,0,0.0712640040556174,0,1.31419068543207,0.27,3.54716025832098,0.0491007184767585,0.714742614589433,4.59067349721491,3.54716025832098,4.59067349721491,0.834834692612835,3.54716025832098,0.714742614589433
">95 mm",85.2822193741118,24.519969593765,19.4151012580802,30.9670756225874,0.119526172469987,0.287515613145597,0.27,0.056254683943679,1.1769492611171,0,0.078933875724115,0,2.06345304252224,0.27,5.11550008236755,0.056254683943679,1.1769492611171,6.62039179031656,5.11550008236755,6.62039179031656,1.37936313980587,5.11550008236755,1.1769492611171
