crab_year,fishery,sex,total_catch_n,total_catch_wt,retained_n,retained_wt,discard_n,discard_wt,discard_mortality_n,discard_mortality_wt,total_mortality_n,total_mortality_wt,target_stock
1989,QO90,1,0,0,128859645,73326.05205676,-128859645,-73326.05205676,-0,-0,128859645,73326.05205676,BSSC
1990,QO91,1,384767787.0693241,184618.73648258974,265124637,149072.180273048,119643150.06932408,35546.55620954174,35892945.02079722,10663.966862862522,301017582.02079725,159736.14713591052,BSSC
1990,QO91,2,17391805.72270364,1522.6596586394285,0,0,17391805.72270364,1522.6596586394285,5217541.716811092,456.79789759182853,5217541.716811092,456.79789759182853,BSSC
1990,QP90,1,10505.6,3.9713872093778053,0,0,10505.6,3.9713872093778053,3151.68,1.1914161628133415,3151.68,1.1914161628133415,SMBKC_PIBKC
1990,QP90,2,0,0,0,0,0,0,0,0,0,0,SMBKC_PIBKC
1990,TR90,1,5630.592857142858,2.882288904294676,0,0,5630.592857142858,2.882288904294676,1689.1778571428572,0.8646866712884028,1689.1778571428572,0.8646866712884028,BBRKC
1990,TR90,2,0,0,0,0,0,0,0,0,0,0,BBRKC
1991,QB92,1,424.88888888888886,0.3076855965277723,0,0,424.88888888888886,0.3076855965277723,127.46666666666665,0.09230567895833168,127.46666666666665,0.09230567895833168,PIGKC
1991,QB92,2,0,0,0,0,0,0,0,0,0,0,PIGKC
1991,QO92,1,271344175.70559216,152046.27583906948,227376582,143018.480206128,43967593.705592155,9027.795632941474,13190278.111677647,2708.338689882442,240566860.11167765,145726.81889601046,BSSC
1991,QO92,2,1711678.6644736843,199.9245884170773,0,0,1711678.6644736843,199.9245884170773,513503.59934210527,59.97737652512319,513503.59934210527,59.97737652512319,BSSC
1991,QP91,1,6530.304,4.041190700919056,0,0,6530.304,4.041190700919056,1959.0911999999998,1.212357210275717,1959.0911999999998,1.212357210275717,SMBKC_PIBKC
1991,QP91,2,0,0,0,0,0,0,0,0,0,0,SMBKC_PIBKC
1991,QT91,1,16281608.238636365,9879.285833520004,0,0,16281608.238636365,9879.285833520004,4884482.471590909,2963.785750056001,4884482.471590909,2963.785750056001,WBT
1991,QT91,2,75595.17045454546,8.925584185058574,0,0,75595.17045454546,8.925584185058574,22678.551136363636,2.677675255517572,22678.551136363636,2.677675255517572,WBT
1991,TR91,1,13385.588235294119,7.93152960363876,0,0,13385.588235294119,7.93152960363876,4015.6764705882356,2.3794588810916277,4015.6764705882356,2.3794588810916277,BBRKC
1991,TR91,2,0,0,0,0,0,0,0,0,0,0,BBRKC
1991,TT91,1,2241792,1450.0450704609993,0,0,2241792,1450.0450704609993,672537.6,435.0135211382998,672537.6,435.0135211382998,EBT
1991,TT91,2,39312,8.079289329954129,0,0,39312,8.079289329954129,11793.6,2.4237867989862387,11793.6,2.4237867989862387,EBT
1992,QB92,1,0,0,0,0,0,0,0,0,0,0,PIGKC
1992,QB92,2,0,0,0,0,0,0,0,0,0,0,PIGKC
1992,QO93,1,230633849.38053867,125851.67571489312,169531168,104668.23413884,61102681.38053867,21183.441576053126,18330804.4141616,6355.032472815938,187861972.4141616,111023.26661165593,BSSC
1992,QO93,2,2464704.381407472,278.2956224213992,0,0,2464704.381407472,278.2956224213992,739411.3144222415,83.48868672641974,739411.3144222415,83.48868672641974,BSSC
1992,QP92,1,29511.408450704224,11.98466277966506,0,0,29511.408450704224,11.98466277966506,8853.422535211266,3.5953988338995178,8853.422535211266,3.5953988338995178,SMBKC_PIBKC
