"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
18,-23544.9255327628,0.00124877275391194,20260839,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/018",412,NA,NA,81.65375543,81.43326281,0.22049262,60.32812676,60.32812676,FALSE,138.56303538,1048592.100111,2025,20260839,134,49.7,TRUE,"",TRUE,FALSE,"A"
19,-23542.0944260494,0.00319720242291215,20260840,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/019",412,NA,NA,80.51640397,80.29185931,0.22454466,58.20046337,58.20046337,FALSE,136.26375875,1006192.61756652,2025,20260840,134,45.8,TRUE,"",TRUE,FALSE,"minor"
20,-23544.5610072109,0.000870336944652622,20260841,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/020",412,NA,NA,81.43596091,81.21388034,0.22208057,59.18141532,59.18141532,FALSE,137.92520349,1030765.51736257,2025,20260841,134,50,TRUE,"",TRUE,TRUE,"C"
21,-23542.0944260283,0.0150393265315228,20260842,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/021",412,NA,NA,80.51640836,80.29186355,0.22454481,58.20037345,58.20037345,FALSE,136.26373412,1006191.80036108,2025,20260842,134,50.5,TRUE,"",FALSE,FALSE,NA
22,-23543.5896621492,0.00245126464209484,20260843,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/022",412,NA,NA,81.45312842,81.22941598,0.22371244,58.1116047,58.1116047,FALSE,137.56151988,996355.98688199,2025,20260843,134,47.4,TRUE,"",TRUE,FALSE,"minor"
23,-23544.9233497143,0.0192811204777424,20260844,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/023",412,NA,NA,80.18759265,79.96030606,0.22728659,56.34370219,56.34370219,FALSE,135.2592192,977077.30023817,2025,20260844,134,51,TRUE,"",FALSE,FALSE,NA
24,-23537.981524627,0.00295873558358722,20260845,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/024",412,NA,NA,82.97730175,82.75238212,0.22491963,58.91683161,58.91683161,FALSE,139.99423642,1051772.69184345,2025,20260845,134,57.1,TRUE,"",TRUE,FALSE,"minor"
25,-23544.5610072108,0.00265778539104309,20260846,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/025",412,NA,NA,81.43595625,81.2138757,0.22208055,59.18141866,59.18141866,FALSE,137.92519756,1030765.44637139,2025,20260846,134,47.6,TRUE,"",TRUE,FALSE,"C"
26,-23534.1211043754,0.00792517099314847,20260847,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/026",412,NA,NA,81.54097698,81.32072055,0.22025643,62.20158302,62.20158302,FALSE,138.91285802,1084122.45569341,2025,20260847,134,46.4,TRUE,"",TRUE,FALSE,"minor"
27,-23535.9769609653,0.00149241427178636,20260848,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/027",412,NA,NA,81.38012693,81.16261922,0.21750771,63.28270511,63.28270511,FALSE,139.50606692,1088304.7574899,2025,20260848,134,48,TRUE,"",TRUE,FALSE,"minor"
28,-23542.1467877537,0.0126202501144676,20260849,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/028",412,NA,NA,81.18358002,80.97540857,0.20817145,68.51022449,68.51022449,FALSE,140.76682291,1141037.04936329,2025,20260849,134,51.9,TRUE,"",FALSE,FALSE,NA
29,-23544.4903758963,0.00704742715476948,20260850,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/029",412,NA,NA,81.51262072,81.2915869,0.22103382,59.88404783,59.88404783,FALSE,138.2366728,1039434.79770644,2025,20260850,134,46.5,TRUE,"",TRUE,FALSE,"D"
