"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
19,-14010.6635839267,0.00648972605885559,20260840,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/019",234,NA,NA,76.99558825,76.6636983,0.33188995,20.54474799,20.54474799,FALSE,115.90185806,363549.76287149,2025,20260840,NA,NA,TRUE,"",TRUE,FALSE,"A"
20,-14005.0344487359,0.00973273431618663,20260841,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/020",234,NA,NA,75.25549703,74.92780976,0.32768727,19.98020799,19.98020799,FALSE,114.8035859,378956.14798845,2025,20260841,NA,NA,TRUE,"",TRUE,FALSE,"F"
21,-14010.6635839269,0.00117546187752213,20260842,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/021",234,NA,NA,76.99559616,76.66370618,0.33188998,20.54474515,20.54474515,FALSE,115.90186675,363549.79710795,2025,20260842,NA,NA,TRUE,"",TRUE,FALSE,"A"
22,-14010.6635839266,0.0109900295155807,20260843,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/022",234,NA,NA,76.99559584,76.66370585,0.33188999,20.54474484,20.54474484,FALSE,115.90186275,363549.79132591,2025,20260843,NA,NA,TRUE,"",FALSE,FALSE,NA
23,-14005.3015538185,0.00294976409903226,20260844,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/023",234,NA,NA,78.18895217,77.85301422,0.33593795,20.03676289,20.03676289,FALSE,117.11497937,369696.58282742,2025,20260844,NA,NA,TRUE,"",TRUE,FALSE,"D"
24,-14005.3015538174,0.00373764957790929,20260845,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/024",234,NA,NA,78.18895362,77.85301566,0.33593796,20.0367605,20.0367605,FALSE,117.11497535,369696.54949983,2025,20260845,NA,NA,TRUE,"",TRUE,FALSE,"D"
25,-14010.3631618185,0.00703365854538131,20260846,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/025",234,NA,NA,73.99842719,73.67499212,0.32343507,20.50082786,20.50082786,FALSE,113.52170112,372497.19759506,2025,20260846,NA,NA,TRUE,"",TRUE,FALSE,"B"
26,-14010.3631618205,0.00516277054079993,20260847,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/026",234,NA,NA,73.99839716,73.6749622,0.32343496,20.50083307,20.50083307,FALSE,113.52166634,372497.15895802,2025,20260847,NA,NA,TRUE,"",TRUE,FALSE,"B"
27,-14005.0344487356,0.00311033144704139,20260848,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/027",234,NA,NA,75.25547596,74.92778876,0.3276872,19.98021026,19.98021026,FALSE,114.8035623,378956.09216148,2025,20260848,NA,NA,TRUE,"",TRUE,FALSE,"F"
28,-14010.6635839266,0.00330794263615236,20260849,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/028",234,NA,NA,76.99559537,76.66370541,0.33188996,20.54474483,20.54474483,FALSE,115.90186289,363549.82940365,2025,20260849,NA,NA,TRUE,"",TRUE,FALSE,"A"
