"mode","peel","terminal_year","base_mmb","peel_mmb","rel_diff_mmb","rel_diff_recruit"
"standard",1,2024,73.65274518,84.44335701,0.146506580353914,0.260424225481414
"standard",2,2023,59.60113197,59.73442642,0.002236441584148,0.31770262847292
"standard",3,2022,67.70017518,60.97763753,-0.0992986743701362,-0.297445103560483
"standard",4,2021,76.27879561,61.51935947,-0.193493303374406,-0.669499796603237
"standard",5,2020,91.81389393,64.03503752,-0.302556129807314,-0.761889349910155
"standard",6,2019,143.87118417,74.72760078,-0.480593690730307,3.85977839075843
"standard",7,2018,133.27770896,122.58852599,-0.0802023313081418,1.23969476391745
"standard",8,2017,107.4771158,102.2079873,-0.0490255852213705,1.49555882087486
"standard",9,2016,82.71993662,88.22275117,0.0665234376965121,1.56327222735995
"standard",10,2015,90.73613144,98.69211009,0.0876825860187897,0.599175309055328
"drop_survey",1,2024,73.65274518,76.59570754,0.0399572663966252,0.396581508880095
"drop_survey",2,2023,59.60113197,57.29658961,-0.0386660837441809,0.0474356575298074
"drop_survey",3,2022,67.70017518,75.70705631,0.118269725428501,-0.802660069391135
"drop_survey",4,2021,76.27879561,70.01974426,-0.0820549315172912,-0.623214554613363
"drop_survey",5,2020,91.81389393,65.44289326,-0.287222331405588,-0.549838393650346
"drop_survey",6,2019,143.87118417,74.72760078,-0.480593690730307,3.85977839075843
"drop_survey",7,2018,133.27770896,121.95548347,-0.0849521317431867,2.2745248412108
"drop_survey",8,2017,107.4771158,88.8120309,-0.173665666044976,2.04220941581113
"drop_survey",9,2016,82.71993662,88.13827865,0.0655022507438667,0.798140830405372
"drop_survey",10,2015,90.73613144,101.23751658,0.115735429462784,-0.247823960354881
