"mode","peel","Year","recruit_male"
"standard",4,2008,636308.92058366
"standard",4,2009,155894.48546143
"standard",4,2010,158609.16098689
"standard",4,2011,163844.96641503
"standard",4,2012,443193.72719509
"standard",4,2013,604778.91561957
"standard",4,2014,2682950.74796634
"standard",4,2015,2040861.20986541
"standard",4,2016,1026627.05041539
"standard",4,2017,220452.39931499
"standard",4,2018,182970.29951272
"standard",4,2019,256873.80097112
"standard",4,2020,432217.86563296
"standard",4,2021,381425.91737983
"standard",5,1982,759553.69615588
"standard",5,1983,1200120.00508879
"standard",5,1984,2391814.12961265
"standard",5,1985,1884458.91861383
"standard",5,1986,287212.25612605
"standard",5,1987,623101.38789725
"standard",5,1988,347952.69459357
"standard",5,1989,347150.29390713
"standard",5,1990,2110801.67646819
"standard",5,1991,1897517.08435479
"standard",5,1992,132331.42573614
"standard",5,1993,101323.60041414
"standard",5,1994,165800.77557109
"standard",5,1995,197392.85800245
"standard",5,1996,137714.24983824
"standard",5,1997,151847.13913923
"standard",5,1998,252735.99841514
"standard",5,1999,142393.67867869
"standard",5,2000,76685.17473497
"standard",5,2001,734258.26072367
"standard",5,2002,486391.17580271
"standard",5,2003,321493.9092063
"standard",5,2004,998075.93367367
"standard",5,2005,285149.61850783
"standard",5,2006,181895.67494241
"standard",5,2007,597052.98657107
"standard",5,2008,634064.04378787
"standard",5,2009,153951.90457956
"standard",5,2010,146046.40479498
"standard",5,2011,131402.8028232
"standard",5,2012,411785.79369989
"standard",5,2013,748225.32024985
"standard",5,2014,2523396.5275334
"standard",5,2015,4060149.67959881
"standard",5,2016,383215.77646104
"standard",5,2017,188421.82160414
"standard",5,2018,165458.33377201
"standard",5,2019,217315.93225268
"standard",5,2020,214374.1337468
"standard",6,1982,782568.26559007
"standard",6,1983,1200905.26669591
"standard",6,1984,2407514.492061
"standard",6,1985,1875258.55843213
"standard",6,1986,291589.59382962
"standard",6,1987,617624.52751165
"standard",6,1988,346427.32572977
"standard",6,1989,353748.01751738
"standard",6,1990,2118038.71695329
"standard",6,1991,1878901.68171832
"standard",6,1992,131384.02964481
"standard",6,1993,100509.53390611
"standard",6,1994,167118.33924488
"standard",6,1995,199577.8072249
"standard",6,1996,137033.89062322
"standard",6,1997,148921.32647099
"standard",6,1998,253562.06991644
"standard",6,1999,144275.29633749
"standard",6,2000,76967.57819494
"standard",6,2001,736776.52762165
"standard",6,2002,478693.78946918
"standard",6,2003,321075.15764666
"standard",6,2004,997721.63133668
"standard",6,2005,291448.67364855
"standard",6,2006,183441.9232946
"standard",6,2007,599212.6440586
"standard",6,2008,626352.98141988
"standard",6,2009,153232.058806
"standard",6,2010,148134.14073327
"standard",6,2011,134459.0279338
"standard",6,2012,356420.03667191
"standard",6,2013,608782.24203752
"standard",6,2014,2376065.05111185
"standard",6,2015,3063995.32158739
"standard",6,2016,418387.51074147
"standard",6,2017,294569.50707136
"standard",6,2018,290419.49509642
"standard",6,2019,386694.92128545
"standard",7,1982,771608.49802855
"standard",7,1983,1211848.03166539
"standard",7,1984,2416274.99141918
"standard",7,1985,1883606.22376133
"standard",7,1986,294807.34987113
"standard",7,1987,613878.0192422
"standard",7,1988,344072.74493189
"standard",7,1989,357891.59208523
"standard",7,1990,2104697.68034359
"standard",7,1991,1878007.95624676
"standard",7,1992,126668.22343844
"standard",7,1993,96257.88078011
"standard",7,1994,169862.57620242
"standard",7,1995,204212.06626817
"standard",7,1996,134435.07794248
"standard",7,1997,145228.55356815
"standard",7,1998,247348.06633677
"standard",7,1999,147386.6376702
"standard",7,2000,76206.23109897
"standard",7,2001,736113.93949779
"standard",7,2002,469139.8073187
"standard",7,2003,301486.86429748
"standard",7,2004,986857.06354156
"standard",7,2005,311825.70321267
"standard",7,2006,187076.59798337
"standard",7,2007,596425.50566481
"standard",7,2008,627111.94571202
"standard",7,2009,152831.81809073
"standard",7,2010,148458.01131236
"standard",7,2011,134048.68928336
"standard",7,2012,350075.17898934
"standard",7,2013,615249.90193945
"standard",7,2014,2527141.62795578
"standard",7,2015,2835178.40862188
"standard",7,2016,409181.91310958
"standard",7,2017,283158.40177429
"standard",7,2018,273328.44193191
"standard",8,1982,770867.9646029
"standard",8,1983,1214244.63364261
"standard",8,1984,2429879.22397373
"standard",8,1985,1881595.91386695
"standard",8,1986,296634.03042975
"standard",8,1987,612354.02787715
"standard",8,1988,342367.89909204
"standard",8,1989,360509.90060981
"standard",8,1990,2098505.10692644
"standard",8,1991,1874809.59487817
"standard",8,1992,126075.93110935
"standard",8,1993,95593.63857488
"standard",8,1994,170419.13384121
"standard",8,1995,205162.15866415
"standard",8,1996,134738.47575866
"standard",8,1997,142916.20890163
"standard",8,1998,245679.55262895
"standard",8,1999,149270.62108667
"standard",8,2000,75994.73613332
"standard",8,2001,735023.05192826
"standard",8,2002,466290.14862997
"standard",8,2003,296047.18942892
"standard",8,2004,979626.88581914
"standard",8,2005,320398.015813
"standard",8,2006,187635.32084077
"standard",8,2007,596627.56340609
"standard",8,2008,623328.21026779
"standard",8,2009,151302.27719661
"standard",8,2010,150914.48550045
"standard",8,2011,135988.71203413
"standard",8,2012,303715.55412857
"standard",8,2013,580616.38378399
"standard",8,2014,2001640.16202325
"standard",8,2015,2461298.11752663
"standard",8,2016,551361.38753526
"standard",8,2017,341788.1611282
"standard",9,1982,788824.97125168
"standard",9,1983,1198341.07132952
"standard",9,1984,2412748.06255851
"standard",9,1985,1884556.63106878
"standard",9,1986,293236.53556703
"standard",9,1987,621354.05419309
"standard",9,1988,339688.21612027
"standard",9,1989,357653.60999119
"standard",9,1990,2115785.40422421
"standard",9,1991,1878659.13709663
"standard",9,1992,134793.57374845
"standard",9,1993,103171.62748193
"standard",9,1994,166590.89570668
"standard",9,1995,194325.70305229
"standard",9,1996,145137.70744954
"standard",9,1997,141303.39424406
"standard",9,1998,258837.11332402
"standard",9,1999,142172.44313453
"standard",9,2000,73373.50736501
"standard",9,2001,753752.25277788
"standard",9,2002,459276.58047382
"standard",9,2003,337862.40093114
"standard",9,2004,993027.06929299
"standard",9,2005,288782.40096553
"standard",9,2006,177927.02543117
"standard",9,2007,612006.21013132
"standard",9,2008,607780.57743259
"standard",9,2009,138917.64457016
"standard",9,2010,194524.20548328
"standard",9,2011,324167.40476561
"standard",9,2012,272852.06731204
"standard",9,2013,464773.6391229
"standard",9,2014,1665136.1984123
"standard",9,2015,1546105.11406854
"standard",9,2016,639245.16660261
"standard",10,1982,783746.44966731
"standard",10,1983,1198121.23986272
"standard",10,1984,2404801.74888674
"standard",10,1985,1895164.21586306
"standard",10,1986,293396.92969034
"standard",10,1987,619127.51320414
"standard",10,1988,340465.52917621
"standard",10,1989,354289.59732355
"standard",10,1990,2115580.99270275
"standard",10,1991,1881116.27187522
"standard",10,1992,132861.36183792
"standard",10,1993,101274.41788907
"standard",10,1994,168796.14674255
"standard",10,1995,195190.17995649
"standard",10,1996,142004.92180301
"standard",10,1997,142863.30507069
"standard",10,1998,254347.00476527
"standard",10,1999,144233.47234436
"standard",10,2000,73461.64463226
"standard",10,2001,752163.96803367
"standard",10,2002,460256.47323003
"standard",10,2003,331418.37382241
"standard",10,2004,980906.46717531
"standard",10,2005,299144.05681158
"standard",10,2006,179535.45312126
"standard",10,2007,612718.04769281
"standard",10,2008,604795.16254823
"standard",10,2009,156919.32300362
"standard",10,2010,292827.59825557
"standard",10,2011,330082.57943498
"standard",10,2012,278995.42148367
"standard",10,2013,480116.54417932
"standard",10,2014,1875142.19660161
"standard",10,2015,1036970.02343296
"drop_survey",0,1982,841592.56674333
"drop_survey",0,1983,1209405.26394505
"drop_survey",0,1984,2572883.41709947
"drop_survey",0,1985,1598033.98065841
"drop_survey",0,1986,285952.9482679
"drop_survey",0,1987,659613.39907789
"drop_survey",0,1988,335944.85746992
"drop_survey",0,1989,314493.50246495
"drop_survey",0,1990,2616603.88175093
"drop_survey",0,1991,1606146.52398718
"drop_survey",0,1992,216139.18978708
"drop_survey",0,1993,177536.05991948
"drop_survey",0,1994,138540.92175274
"drop_survey",0,1995,136811.86357988
"drop_survey",0,1996,207703.55546897
"drop_survey",0,1997,224768.29488473
"drop_survey",0,1998,317877.09262928
"drop_survey",0,1999,145364.60312354
"drop_survey",0,2000,92009.49050825
"drop_survey",0,2001,820724.90896575
"drop_survey",0,2002,625629.3389748
"drop_survey",0,2003,614205.17863328
"drop_survey",0,2004,880825.01568372
"drop_survey",0,2005,203436.21249897
"drop_survey",0,2006,150576.82998503
"drop_survey",0,2007,590218.3892153
"drop_survey",0,2008,620348.93028974
"drop_survey",0,2009,154628.58180616
"drop_survey",0,2010,158255.63734105
"drop_survey",0,2011,165799.82631251
"drop_survey",0,2012,323889.99276437
"drop_survey",0,2013,331398.16212324
"drop_survey",0,2014,3102358.17117458
"drop_survey",0,2015,721331.65084078
"drop_survey",0,2016,272592.11386871
"drop_survey",0,2017,147950.39140817
"drop_survey",0,2018,131340.00921539
"drop_survey",0,2019,92110.7317732
"drop_survey",0,2020,1145553.3726528
"drop_survey",0,2021,1398130.08671113
"drop_survey",0,2022,2090489.75700427
"drop_survey",0,2023,592132.98459831
"drop_survey",0,2024,409199.88782952
"drop_survey",0,2025,418078.12494558
"drop_survey",1,1982,851666.86282567
"drop_survey",1,1983,1203753.52204904
"drop_survey",1,1984,2549933.76199791
"drop_survey",1,1985,1623846.57050574
"drop_survey",1,1986,285590.0226351
