"year","m27.5","m32.5","m37.5","m42.5","m47.5","m52.5","m57.5","m62.5","m67.5","m72.5","m77.5","m82.5","m87.5","m92.5","m97.5","m102.5","m107.5","m112.5","m117.5","m122.5","m127.5","m132.5"
1982,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
1983,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
1984,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
1985,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
1986,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
1987,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
1988,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
1989,0,0,0.0144680504160563,0.0328308766944395,0.0598995974697357,0.134557710536399,0.230799228394494,0.291191237101154,0.317477868889585,0.354301816647642,0.382102130440524,0.378621257477769,0.373911099275715,0.428022336689907,0.561073351573488,0.711979365578291,0.871162475447511,0.921108505988997,0.937184086476854,0.960363106860755,0.981330165851906,0.99251670793601
1990,0,0,0.0109516481481733,0.0187816309965719,0.0353123436876723,0.0755242731747132,0.140128632679132,0.186736954386041,0.236229248256759,0.329261771518148,0.372241503555132,0.373506791913167,0.361184566661092,0.391495689041148,0.476602610448979,0.609298787910721,0.75226142738863,0.824355448312361,0.852016140745851,0.887518194116353,0.927274226583414,0.936199059355472
1991,0,0,0.00877869318518907,0.02792600101921,0.0502342353798071,0.0929036798333457,0.14870710695645,0.1924413640294,0.227176612533403,0.272980267217916,0.315308354924398,0.331536976024255,0.325784721056056,0.347713755149993,0.470626412576594,0.682698567339315,0.84254099091195,0.892005015933427,0.907306767762299,0.935126637775029,0.960789158175287,0.975947401615574
