"year","m27.5","m32.5","m37.5","m42.5","m47.5","m52.5","m57.5","m62.5","m67.5","m72.5","m77.5","m82.5","m87.5","m92.5","m97.5","m102.5","m107.5","m112.5","m117.5","m122.5","m127.5","m132.5"
1992,0,0,0.0152327602971752,0.040301658863301,0.0886976198947621,0.158069397998705,0.246290622933634,0.297892290969021,0.325786210657512,0.397578992880712,0.440396855315319,0.457327249543113,0.470813141988787,0.515510101470495,0.635058591035609,0.79295778670018,0.907449534190733,0.946230400345295,0.958811747815262,0.968757373399638,0.981455654717213,0.986603534623759
1993,0,0,0.0185186409530928,0.0594253985380951,0.141957387508176,0.290088985002429,0.428192524870745,0.497236414403794,0.580964126919865,0.649456512272622,0.661945594446809,0.647339793849431,0.651387559531875,0.684429719526649,0.782330015719901,0.878476951647347,0.937497383403758,0.962262701994146,0.972715276932935,0.981174665437505,0.985348244211816,0.995795408748881
1994,0,0,0.0077357165534681,0.0209991947246931,0.0515664469289857,0.115344108411799,0.181878206494521,0.216586248947852,0.2511671508821,0.283266052195565,0.320769943897015,0.332543460985018,0.35933653917258,0.402145414019151,0.563586923162605,0.76933466060394,0.882080427085138,0.943134471008198,0.952071998234518,0.956679576129975,0.970822496260339,0.975322344840631
1995,0,0,0.00751430134000588,0.017516048438591,0.0474175061309266,0.133007045162867,0.223781466545216,0.293770564995046,0.355639712544078,0.401091753252508,0.422086523165447,0.407868456879346,0.389527371532224,0.484861920244501,0.594522461881293,0.77854773568752,0.901501620239027,0.963173255304351,0.97455731831167,0.984062506787111,0.991914817168061,0.992975996802415
1996,0,0,0.0202172561033906,0.0529494827143594,0.116286623977052,0.193074573204101,0.267320365153886,0.31933297557591,0.367485997591569,0.406148312844212,0.430336318887783,0.416490156886541,0.405204294073882,0.435946138078846,0.513078679546529,0.680539676442862,0.831488706161652,0.884655986336381,0.902854230844267,0.95995318531193,0.97206588473889,0.97876271595661
1997,0,0,0.0154425405380412,0.0301931603636523,0.023582910779582,0.0567784826979573,0.124821409090752,0.195024210616923,0.244127383054631,0.295537525480466,0.325838731073703,0.323605771335909,0.332059228330456,0.351697343325201,0.446993263111376,0.602354305008681,0.763625877262533,0.832451413255519,0.884467897522431,0.927618872837462,0.970586664519669,0.979545418652071
1998,0,0,0.04518730871895,0.0515454132926857,0.0500913113068363,0.0987844510261303,0.164598630647759,0.24078913075886,0.330204417102492,0.385183438778292,0.410004488756421,0.424672900775738,0.4329128595575,0.464355676071505,0.593063894058825,0.769094113290815,0.893456381475299,0.932173386917753,0.948989300889556,0.968840425105848,0.980176720687785,0.98730994685975
1999,0,0,0.0176790994235762,0.0202058187910429,0.0450800889924931,0.0994232340743002,0.170336950399937,0.225362011809591,0.281127755843818,0.327903066825162,0.4093942487493,0.409707051671469,0.430857189198886,0.511498164101188,0.648304881594423,0.793835659482664,0.912114505891152,0.929565425067625,0.943969233758673,0.951651206670519,0.959472709359885,0.973520925391983
2000,0,0,0.0189304270457546,0.0234747589879431,0.0478886220186107,0.104136745574074,0.184613152211454,0.253791200137631,0.315040439901154,0.358903861914973,0.402374574337861,0.41227382333977,0.456439476526774,0.541715568902103,0.707092452817825,0.863940674438867,0.956779426958751,0.973073014089953,0.978972130557306,0.985793562856776,0.991633795884335,0.993378482454249
2001,0,0,0.0119934122358766,0.0171353488674163,0.0374973299331562,0.0939211234232366,0.160688016571356,0.220642594015607,0.264756878702611,0.311218087689161,0.335379399976647,0.331802319193335,0.348658397878311,0.410925674999618,0.551805067752643,0.78794719649789,0.903166293536095,0.953165350682304,0.966996842737336,0.976595122678186,0.986033474638075,0.99920735918669
2002,0,0,0.0323659848537716,0.0462031513297493,0.0446764626634083,0.0637144081068352,0.116794122712425,0.178490631236903,0.229220642787808,0.290306143172571,0.333055197873319,0.352383547762434,0.365213143778806,0.433622806930206,0.586031129543348,0.767315265799331,0.900157369195386,0.94201531002571,0.963306271553999,0.983345371671221,0.988719639179504,0.987985137303848
2003,0,0,0.00542787259466592,0.0133587012562167,0.0328143080672397,0.06847965737609,0.111314988673782,0.174038900871445,0.20966047157419,0.265155149277283,0.273851404172123,0.26089879163889,0.270769822462042,0.319304000367754,0.437747715030001,0.67114198574399,0.832279737140043,0.893222366490769,0.919937176729764,0.938622927965663,0.972486942186989,0.976850639560641
2004,0,0,0.0179709208496055,0.028761153680714,0.0531050615932806,0.110055902804704,0.179689213182342,0.242347514317825,0.294338906951243,0.34588334883402,0.397172987033278,0.413493363193609,0.424715535277124,0.473824030027621,0.613700205989235,0.776246153690482,0.888050556299221,0.93034123257128,0.943852338013007,0.965302691500381,0.976948254793807,0.983471298209216
2005,0,0,0.0165665846768742,0.0372521470997649,0.123799699028277,0.216963712445852,0.242023637598622,0.29642047728635,0.364637785233545,0.443402991409705,0.490485608064048,0.500616109535928,0.508375147562571,0.551597567554096,0.692636836322389,0.856458572776394,0.935461180905887,0.966336977050579,0.974873876877366,0.985148701722818,0.990718763966417,0.995497065196448
2006,0,0,0.00674707324392085,0.0231862225957015,0.0757298525761201,0.173080189446486,0.20754610255353,0.281647054637196,0.343008263802915,0.358089283953933,0.407064436210224,0.431628531078875,0.501945775629679,0.58287349092026,0.676119158456949,0.815642979127751,0.926775534033453,0.962911765044657,0.969384175383995,0.987614115110382,0.987997060674034,0.973772946377155
2007,0,0,0.00849471688052905,0.0199220162111281,0.0624167647250304,0.139224659994071,0.244590622009801,0.328533271338079,0.398316854285405,0.406877556301171,0.418363664828378,0.409553649802357,0.406302953993169,0.461892439481943,0.597862794340169,0.792546432461283,0.901334938225268,0.948977910616892,0.96306784485557,0.971632193346842,0.987266842092319,0.994945545429419
2008,0,0,0.0146141486370752,0.0271551666877012,0.0714617049091884,0.150220530200882,0.24065718557838,0.308872954027543,0.355075264310402,0.398274819833163,0.434710354479634,0.460780746191063,0.501911531207235,0.564377146572711,0.668416579725027,0.799679724795468,0.89356388477623,0.929303568461754,0.949329382066235,0.961812571884871,0.973841954024847,0.979317270614202
2009,0,0,0.0120278168801199,0.0289307664697888,0.0694614907064771,0.156218112179361,0.244575199196937,0.299111113368244,0.33418792602981,0.367400715198762,0.38656123801462,0.37401257349966,0.352128722499593,0.382490291263604,0.483616285706441,0.690893414775151,0.849236281550715,0.910674497518695,0.928685633584146,0.941578122425436,0.960459811348252,0.971180878460729
2010,0,0,0.0159644848518595,0.035922360017839,0.0892441524560917,0.190296303944465,0.308418219205942,0.388477290507766,0.435611303191375,0.474989875110982,0.469973686307867,0.463285212967776,0.468308379352419,0.539463907201513,0.642456505546847,0.791797348165498,0.894231110309423,0.919492858885708,0.936129113736577,0.95278864813009,0.971315287707788,0.977410375048238
2011,0,0,0.0080844327641676,0.0263726224310242,0.0653906342493387,0.162628001858349,0.269168481474938,0.34601622020094,0.397980462496387,0.405955598357512,0.402412690914603,0.38812020329507,0.480398662587706,0.597967159811488,0.720731090162794,0.829082065354891,0.895281727513021,0.929416814335392,0.933697265503483,0.942054462115995,0.962029951522944,0.965000848963073
2012,0,0,0.0191305114237484,0.052560438588351,0.102389036869066,0.17099819495672,0.263810890634176,0.31489342446075,0.37471372695462,0.445907339446953,0.495014004930334,0.500703237294341,0.503980352605292,0.5383646586418,0.619884638914223,0.772411424881744,0.889680299399175,0.934096772264405,0.954795084471591,0.967583019424819,0.978959640682376,0.983918830199499
2013,0,0,0.0111140738650338,0.0321805801193455,0.0650409257265134,0.120358197668398,0.226527219406418,0.305149924672323,0.367779629827651,0.408919138610739,0.4236628348612,0.395745093568347,0.408826543682647,0.490903749491324,0.595839625951862,0.734555060908375,0.833394726299049,0.874327579812659,0.900110165146766,0.92157427868342,0.95481928861234,0.97685921847605
2014,0,0,0.0156209859579343,0.0436881468322078,0.107827891867856,0.195523440423441,0.295411569973301,0.358441459347258,0.405412357783196,0.468406073723558,0.503118981234655,0.516738617193671,0.525847945558197,0.558589360518982,0.64868481738473,0.794626283679964,0.892563117455549,0.932815738472845,0.950473117807902,0.964925307007469,0.975135282438542,0.980057637583035
2015,0,0,0.00795007362358398,0.0247435423458325,0.0557851644441768,0.119343452832574,0.201780257616284,0.255124002317979,0.29491515035075,0.357449999431327,0.420416211029159,0.42466419411715,0.463403094965028,0.501896677633674,0.646915292245514,0.803493449424946,0.889171324986273,0.925834687826083,0.923619444966149,0.934361059114352,0.957481267730779,0.969785711804208
2016,0,0,0.015065159695409,0.0454159390657857,0.0933517720745278,0.187720823656823,0.30135572721405,0.351952540415083,0.40658379006508,0.453877078925853,0.492828368956657,0.510668194865722,0.545188522893454,0.615617845155522,0.739036249418584,0.856878070000157,0.925163806494654,0.952851995563298,0.961643955794834,0.972791586609897,0.977281004673162,0.977411092994312
2017,0,0,0.0148494903383227,0.0343531703118502,0.0845413140021742,0.180258813479036,0.270374125773702,0.334266697690342,0.355715413055377,0.384010120145712,0.39945179188009,0.429169627731286,0.514732033045481,0.647996315764471,0.761586256003533,0.879125890548363,0.948394491465859,0.976224009621042,0.987900712243748,0.99064913716846,0.995992603531276,0.997420354775797
2018,0,0,0.0140065580302068,0.0362833199768086,0.0988308370934057,0.211002502356422,0.319548194335993,0.40399658971835,0.468134361253584,0.54983638558393,0.60878617511856,0.614500720171351,0.571560346176873,0.573123194744697,0.695582519733988,0.844952481757437,0.929368269010245,0.960448627014837,0.97983554141801,0.990513757476505,0.992892073617895,0.996359090145624
2019,0,0,0.161839828964477,0.0998317393848528,0.117045446524986,0.226476606979673,0.321481994532055,0.347623222103564,0.379636943099822,0.467642996025882,0.533013044152378,0.601736258950292,0.648535299582108,0.677328434522152,0.775193662693329,0.890588486830408,0.91641393574071,0.932343205024344,0.938558933406959,0.969000692388513,0.957791340560485,0.998435656349269
2020,0,0,0.0182363565769409,0.0339670274526514,0.0715176707369135,0.147509967445567,0.228791280413723,0.290332610380833,0.34015019784263,0.388712016447533,0.424489650407455,0.432190948806687,0.45012334994803,0.509367470149263,0.630260610064961,0.786658722818355,0.891883068536847,0.931956367273171,0.947622465644175,0.963515314526518,0.976602706496041,0.983010476544478
2021,0,0,0.0174917764437305,0.0594562302228492,0.0903882244698755,0.276968270463911,0.358966130313168,0.400999852398945,0.414680056895302,0.412995736755825,0.41922253842122,0.426453886452714,0.500641915263004,0.612129182322866,0.798982794463287,0.915981341912257,0.965390810330041,0.985715849866715,0.981717382583047,0.992126579415841,0.996865451796303,0.998665808535143
2022,0,0,0.0159687186130269,0.026824928831165,0.0429246732039639,0.084410676781594,0.148525672671447,0.206783838849656,0.295776540171958,0.350571133158725,0.42166605780247,0.441708820783297,0.473015223239699,0.568090699486758,0.715024021111397,0.86592651906393,0.926578539002965,0.960664456932518,0.97138847499559,0.98356569348551,0.987383268413957,0.998234303144235
2023,0,0,0.00799226803443603,0.0334109881039106,0.105849271110274,0.18202364519066,0.253385907091359,0.306625769144098,0.327186613519614,0.360157229836771,0.412105942986824,0.410548148394343,0.433338039505364,0.505024874382437,0.653206678592452,0.838363992724805,0.931765572563715,0.960257127894918,0.968219914300792,0.983762920262282,0.989480721666247,0.995368600398246
2024,0,0,0.00583847704092531,0.0204409793083321,0.0645012628312567,0.13877070871893,0.217616725146546,0.275578907857688,0.296507624409303,0.320952673613226,0.354770055542868,0.389974419494225,0.387155073893799,0.459148636274893,0.593791606904809,0.784972637130356,0.87477698580501,0.932839606496064,0.938570400505335,0.960505472760063,0.976012610933236,0.997859227413017
2025,0,0,0.00686418543102569,0.0257101982073858,0.0732847771592464,0.171191762732971,0.267289518037701,0.340604993845518,0.384969438054826,0.462166197761476,0.514476003854404,0.518860485768336,0.539750384738957,0.604472796191961,0.699078989105409,0.800579606545422,0.911713443685335,0.932584888908919,0.961529840882601,0.965484578150274,0.981207035876828,0.929996877529519
2026,0,0,0.0100991946936126,0.0215307143777946,0.0607810649062308,0.116326410767683,0.182269357425516,0.26551273573015,0.35432399119358,0.410285564572271,0.465755118880548,0.507524662221813,0.520443053792718,0.616179628639695,0.713378513777151,0.812108075551648,0.893800843723899,0.931333367170936,0.980492209418067,0.979188313692959,0.982310029526531,0.998497915210664
