"year","retained_male","discard_male","discard_female"
1990,149.072180273048,35.5465562095417,1.52265965863943
1991,143.018480206128,9.02779563294146,0.199924588417077
1992,104.66823413884,21.1834415760531,0.278295622421399
1993,67.944778543056,22.2701583523816,0.115559031110383
1994,34.159644749704,7.78206439591139,0.0781261884907289
1995,29.799258503416,14.7306237864452,0.021310661702215
1996,54.239421420376,23.2300353821624,0.100573669945353
1997,110.439909297432,7.10251374427153,0.0990138702161506
1998,88.151462997856,19.9104358073479,0.00760041904324053
1999,15.100687307648,4.12991982661068,0.00802050559609549
2000,11.456093731328,3.25339876525434,0.000918842468912956
2001,14.7986159190237,3.98488712651814,0.0159913694010944
2002,12.842016871808,4.50081981059033,0.00183588446377711
2003,10.860068853816,2.45292246349378,0.000821388761053258
2004,11.290870123776,3.58488762871696,0.0014784297972461
2005,16.77106071288,0.622698696502844,0.00353372220581866
2006,16.490631541208,4.17454493803792,0.00124945519313769
2007,28.589012905312,5.76824116559381,0.018368231087425
2008,26.556835923608,5.11393725356141,0.0173897965858076
2009,21.778806657688,4.28472161496942,0.0124123820381476
2010,24.6133534144,4.47376148288991,0.0100496404614937
2011,40.292873101984,3.72522673356899,0.190936000431846
2012,30.052523864576,5.52856629603888,0.0571378051879034
2013,24.486386663312,10.6144072270591,0.115653820913199
2014,30.817760330504,11.6187436042016,0.29894180440904
2015,18.421027014032,10.90202454883,0.114997309956948
2016,9.78439447668,4.51492759417163,0.0332320913502436
2017,8.601679645016,5.88232917956583,0.0280113038115586
2018,12.509270852448,8.62504001891633,0.0221893157567928
2019,15.433265044376,15.6077666701562,0.0214132915886582
2020,20.41217977448,6.11628564952941,0.000781629938578594
2021,2.516636370896,1.67668277088071,4.19381270647894e-05
2024,2.145272889432,0.663412970719551,1.96348908602834e-05
2025,4.125490000352,2.51774081844984,0.0302746524017602
