"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_2016_season_2","shared (fishing mortality)",40,0.57283689,0.58355041,0.0107135199999999,0.0167292709581708
"26_gmacs_update_newmat_plus_group","Log_fdov_Pot_Fishery_year_2006_season_2","female (F offsets)",40,-2.70396361,-2.69335239,0.0106112200000004,0.0165695284627993
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2010_season_2","shared (fishing mortality)",40,-0.87123886,-0.8606285,0.0106103599999999,0.0165681855640105
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2000_season_2","shared (fishing mortality)",40,0.4786426,0.489156,0.0105134,0.0164167815332061
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_1995_season_2","shared (fishing mortality)",40,0.57233259,0.5826752,0.0103426099999999,0.0161500912029554
"26_gmacs_update_newmat_plus_group","Sel_Trawl_Bycatch_male_base_Logistic_mean","male",40,4.84265811,4.85295697,0.0102988599999998,0.0160817751308874
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1989_male_base_class_17","male",40,-0.26351067,-0.25323648,0.01027419,0.0160432526737926
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_2015_season_2","shared (fishing mortality)",40,1.00659803,1.0166138,0.0100157700000001,0.0156397272030781
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1982_female_base_class_10","female",40,-0.9267177,-0.91676198,0.00995572,0.0155459585144455
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2007_season_2","shared (fishing mortality)",40,0.44259504,0.45251835,0.00992331000000002,0.0154953499682577
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_1993_season_2","shared (fishing mortality)",40,1.47075153,1.48059933,0.00984779999999996,0.0153774403316441
"26_gmacs_update_newmat_plus_group","Initial_logN_for_sex_female_mature_mature_newshell_class_10","female",40,10.09766366,10.10744232,0.00977866000000027,0.0152694775151241
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1982_male_base_class_15","male",40,-0.8049837,-0.79547082,0.00951287999999995,0.0148544593291994
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1982_male_base_class_13","male",40,-0.90078541,-0.89181492,0.00897049000000005,0.0140075118016827
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2015_season_2","shared (fishing mortality)",40,2.98377205,2.99259896,0.00882691000000024,0.0137833101644831
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_2009_season_2","shared (fishing mortality)",40,-0.62371241,-0.61499442,0.00871798999999995,0.0136132304714626
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_1990_season_2","shared (fishing mortality)",40,-0.58517059,-0.57649905,0.00867154000000003,0.0135406983218044
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_1998_season_2","shared (fishing mortality)",40,1.16874496,1.17720822,0.00846326000000008,0.0132154669734552
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_1995_season_2","shared (fishing mortality)",40,1.63761263,1.64603113,0.00841849999999988,0.0131455737760662
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_1990_season_2","shared (fishing mortality)",40,0.61316698,0.62146662,0.00829963999999994,0.0129599726714724
"26_gmacs_update_newmat_plus_group","Sel_Trawl_Bycatch_male_base_Logistic_cv","male",40,2.38051354,2.3887631,0.00824955999999988,0.0128817722397202
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_2003_season_2","shared (fishing mortality)",40,-0.29879336,-0.29096785,0.00782551000000004,0.0122196138314837
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_2007_season_2","shared (fishing mortality)",40,0.1464956,0.15424644,0.00775084000000001,0.0121030158634538
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1989_male_base_class_22","male",40,-0.05272943,-0.04506423,0.0076652,0.011969288128325
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_2005_season_2","shared (fishing mortality)",40,-0.75783613,-0.75029776,0.00753837000000002,0.0117712417872882
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2009_season_2","shared (fishing mortality)",40,0.24358281,0.25111791,0.00753509999999999,0.011766135648873
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2003_season_2","shared (fishing mortality)",40,0.13822015,0.14545534,0.00723518999999997,0.0112978231191848
"26_gmacs_update_newmat_plus_group","Initial_logN_for_sex_female_mature_mature_newshell_class_9","female",40,11.23630512,11.24342101,0.00711588999999968,0.0111115349500943
"26_gmacs_update_newmat_plus_group","Initial_logN_for_sex_female_mature_immature_newshell_class_11","female",40,-17.47377821,-17.46667527,0.00710293999999934,0.0110913133927616
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1989_female_base_class_7","female",40,-0.2678261,-0.26092303,0.00690307000000001,0.0107792143453525
"26_gmacs_update_newmat_plus_group","Log_fdev_Pot_Fishery_year_2002_season_2","shared (fishing mortality)",40,0.3082431,0.31506113,0.00681803000000003,0.0106464235163549
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2001_season_2","shared (fishing mortality)",40,0.49345279,0.49986164,0.00640885000000002,0.0100074847650702
"26_gmacs_update_newmat_plus_group","Log_fdev_Trawl_Bycatch_year_2004_season_2","shared (fishing mortality)",40,0.16973408,0.17592681,0.00619272999999998,0.00967001117660617
