"model","fit_source","gmacs_version","init_mode","m_dev_fixed","sexratio_sd","mean_sexratio_emphasis","npar","nll","max_abs_grad","BMSY","OFL_tot","Bcurr_BMSY","terminal_MMB","OFL_delta_vs_base","OFL_pct_change_vs_base"
"26_gmacs_update_newmat_plus_group","jitter promotion","## GMACS Version 2.20.34; ** AEP **; Compiled 2026-01-15",2,FALSE,"2.0","3",412,-23546.3457934121,0,144.9717089,85.64948435,1.32035027,141.53436861,0,0
"26_gmacs_stability","jitter promotion","## GMACS Version 2.20.34-recprop-sd1; ** AEP **; Compiled 2026-01-15",2,TRUE,"1.0","0",411,-23542.5056867846,0.00361817,156.76647777,89.53416164,1.25492329,150.41865285,3.88467729,4.53555245484674
"26_gmacs_initscaled","cold start","## GMACS Version 2.20.34; ** AEP **; Compiled 2026-01-15",3,FALSE,"2.0","3",412,-22882.4323256281,0.00708513,151.64758594,94.6970798,1.29057944,139.39084996,9.04759545,10.5635142098786
"26_gmacs_eqmdevs","jitter promotion","## GMACS Version 2.20.34-eqmdevs; ** AEP **; Compiled 2026-01-15",6,FALSE,"2.0","3",413,-23886.0106618511,0.00206646,151.9506502,90.64444751,1.30703684,146.5969309,4.99496316000001,5.83186600352254
"26_gmacs_combined","jitter promotion","## GMACS Version 2.20.34-combined; ** AEP **; Compiled 2026-01-15",6,TRUE,"1.0","0",412,-23886.0489996501,0.00227214,154.70695778,90.31152411,1.27457824,151.12119619,4.66203976,5.44316150340022
"26_gmacs_male_only","jitter promotion","## GMACS Version 2.20.34; ** AEP **; Compiled 2026-01-15",2,NA,"2.0","3",234,-14010.6635843467,0,131.34304359,76.99559436,1.22784236,115.90186419,-8.65388999,-10.103843654956
"26_gmacs_male_only_eqmdevs","jitter promotion","## GMACS Version 2.20.34-eqmdevs; ** AEP **; Compiled 2026-01-15",6,NA,"2.0","3",235,-14180.9137082125,0.00019205,135.23710809,78.7536779,1.20700006,117.64178449,-6.89580645,-8.05119435608137
