"model","n_optima","grad_screen","nll_window","class","total_range","n_parameters","mean_range","share_pct","total_range_all_classes"
"26_gmacs_eqmdevs",20,0.01,2,"sex allocation",25.07182686,44,0.569814246818182,50.9210640466152,49.23665153
"26_gmacs_eqmdevs",20,0.01,2,"female",11.85638847,91,0.130289983186813,24.0804118508666,49.23665153
"26_gmacs_eqmdevs",20,0.01,2,"shared (recruitment devs)",6.00295074,44,0.136430698636364,12.1920369348074,49.23665153
"26_gmacs_eqmdevs",20,0.01,2,"female (F offsets)",3.16651129,43,0.0736397974418604,6.43120763009369,49.23665153
"26_gmacs_eqmdevs",20,0.01,2,"male",1.75888923,101,0.0174147448514851,3.57231691299784,49.23665153
"26_gmacs_eqmdevs",20,0.01,2,"shared (fishing mortality)",1.29838315,88,0.0147543539772727,2.63702569052425,49.23665153
"26_gmacs_eqmdevs",20,0.01,2,"shared (other)",0.0817017899999986,2,0.0408508949999993,0.165936934095158,49.23665153
