"model","n_optima","grad_screen","nll_window","class","total_range","n_parameters","mean_range","share_pct","total_range_all_classes"
"26_gmacs_eqmdevs",29,0.01,2,"female",11.69202738,91,0.128483817362637,49.2069355870239,23.76093378
"26_gmacs_eqmdevs",29,0.01,2,"sex allocation",5.76794717,44,0.131089708409091,24.2749179110755,23.76093378
"26_gmacs_eqmdevs",29,0.01,2,"shared (recruitment devs)",2.50813835,44,0.0570031443181818,10.5557229914556,23.76093378
"26_gmacs_eqmdevs",29,0.01,2,"male",2.08905472,101,0.0206837100990099,8.79197231616543,23.76093378
"26_gmacs_eqmdevs",29,0.01,2,"female (F offsets)",1.38544889,43,0.032219741627907,5.83078469401803,23.76093378
"26_gmacs_eqmdevs",29,0.01,2,"shared (fishing mortality)",0.27584384,88,0.00313458909090909,1.16091329807999,23.76093378
"26_gmacs_eqmdevs",29,0.01,2,"shared (other)",0.0424734300000011,2,0.0212367150000006,0.178753202181607,23.76093378
