"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_3","male",63,-1.04213551,-0.26341609,0.77871942,20.9909886776509
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_1","male",63,-3.50201973,-3.13759558,0.36442415,9.82333689137039
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2019","shared (recruitment devs)",63,-1.65953732,-1.42136804,0.23816928,6.42003850352707
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_2","male",63,0.75653442,0.94262767,0.18609325,5.01628854168971
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_4","male",63,0.66402085,0.83642129,0.17240044,4.64718817987361
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2020","shared (recruitment devs)",63,0.63834402,0.75420771,0.11586369,3.12319603502485
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_3","male",63,-1.96085642,-1.8645501,0.0963063200000001,2.59601188924533
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1982","shared (recruitment devs)",63,1.22914456,1.28625595,0.05711139,1.53948201375908
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1983","shared (recruitment devs)",63,0.82419839,0.87707941,0.0528810200000001,1.4254490944667
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2001","shared (recruitment devs)",63,0.55473704,0.59934212,0.04460508,1.20236468386227
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2022","shared (recruitment devs)",63,1.55109572,1.5932217,0.04212598,1.13553861185965
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_9","male",63,0.88011973,0.91923781,0.0391180800000001,1.0544583238613
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2021","shared (recruitment devs)",63,0.97151635,1.00896907,0.03745272,1.00956724755526
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2000","shared (recruitment devs)",63,-1.58438342,-1.54743227,0.0369511499999999,0.996047037424825
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2003","shared (recruitment devs)",63,0.28203217,0.31875495,0.03672278,0.98989114614846
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2018","shared (recruitment devs)",63,-1.25494169,-1.21833757,0.03660412,0.986692573398741
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_13","male",63,0.74122974,0.77721856,0.03598882,0.970106682509622
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2002","shared (recruitment devs)",63,0.32880076,0.36253756,0.0337368,0.909401728828301
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_6","male",63,0.62849543,0.6616444,0.0331489700000001,0.893556313191458
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2005","shared (recruitment devs)",63,-0.8477605,-0.81538694,0.03237356,0.872654532508323
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_7","male",63,0.47438935,0.50312015,0.0287308,0.774461098581376
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_2","male",63,-2.63065372,-2.60376541,0.0268883100000004,0.724795345120807
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_5","male",63,-1.26326629,-1.237436,0.02583029,0.69627559170213
"26_gmacs_male_only_eqmdevs","Log(Rinitial)","shared (other)",63,13.23739871,13.26171633,0.0243176199999997,0.65550039330907
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_8","male",63,0.32108611,0.3436866,0.02260049,0.609213816318287
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_1","male",63,-0.40508517,-0.38253208,0.02255309,0.607936112388261
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2025_season_2","shared (fishing mortality)",63,1.43577589,1.45695253,0.02117664,0.570832830226179
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2025_season_2","shared (fishing mortality)",63,-0.70326215,-0.68292198,0.02034017,0.548285129670317
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2019_season_2","shared (fishing mortality)",63,0.82480869,0.84346073,0.01865204,0.502780270273844
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2023","shared (recruitment devs)",63,0.11482968,0.13317424,0.01834456,0.494491907311734
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2025","shared (recruitment devs)",63,-0.20025416,-0.1820816,0.01817256,0.489855513304049
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_10","male",63,0.53470989,0.55173639,0.0170264999999999,0.458962573092144
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1987","shared (recruitment devs)",63,0.37224775,0.38766094,0.01541319,0.415474545089016
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1999","shared (recruitment devs)",63,-1.13703556,-1.12164063,0.01539493,0.414982332562386
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2024","shared (recruitment devs)",63,-0.31177176,-0.29649862,0.01527314,0.411699388224038
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2019_season_2","shared (fishing mortality)",63,0.78340548,0.79851975,0.01511427,0.407416923596124
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_15","male",63,-0.23365864,-0.21885493,0.01480371,0.399045536834342
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_1982_season_2","shared (fishing mortality)",63,-1.8185741,-1.80400932,0.0145647799999999,0.392604992530525
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_1982_season_2","shared (fishing mortality)",63,-0.27205947,-0.25750458,0.01455489,0.392338399875086
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_4","male",63,-1.28989078,-1.27536737,0.01452341,0.391489831948562
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2013","shared (recruitment devs)",63,-0.32363772,-0.30932124,0.01431648,0.38591187257641
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1995","shared (recruitment devs)",63,-1.21322351,-1.19948204,0.01374147,0.370412030027812
