"","Catch: Pot retained M","Catch: Pot discarded M","Catch: Pot discarded F","Catch: Trawl bycatch","Index: NMFS 1982 F mature","Index: NMFS 1989 F mature","Index: NMFS 1982 M mature","Index: NMFS 1989 M mature","Size: Pot M retained","Size: Pot M total","Size: Pot F discarded","Size: Trawl F discarded","Size: Trawl M discarded","Size: NMFS 1982 F immature","Size: NMFS 1989 F immature","Size: NMFS 1982 M immature","Size: NMFS 1989 M immature","Size: NMFS 1982 F mature","Size: NMFS 1989 F mature","Size: NMFS 1982 M mature","Size: NMFS 1989 M mature","SRR","Tag","Growth","Penalties","Priors","Positive_growth_penalty","Total","Initial_size_structure"
"Model 25.3",120.98,377.21,-71.403,-54.106,51.839,7.6706,95.059,-12.509,-3645.2,-2639,-2528.8,-2605.7,-2543,-635.48,-3167.9,-581.38,-3002.6,-684.25,-3401.6,-575.55,-2976,185.42,7965.1,NA,760.35,386.98,NA,-19174,0
"Model 26.1",124.87,379.02,-71.403,-54.107,51.517,7.8005,88.219,-8.5433,-3679.6,-2669.8,-2527.5,-2606.5,-2592.9,-635.76,-3160.2,-585.29,-2992.1,-684.38,-3404.1,-583.95,-2940.9,192.18,0,7970.3,761.03,395.05,0,-19227,0
"Model 26.1a",129.18,310.35,-71.403,-54.092,48.042,6.3885,77.479,-4.7198,-3810.3,-2879.1,-2683.6,-2549.6,-2584.1,-630.06,-3191.4,-568.22,-2998.2,-685.05,-3396.7,-577.78,-2932.6,191.13,0,4881.5,754.13,382.7,0,-22836,0
"Model 26.1b",127.02,279,-73.144,-55.473,47.769,15.026,73.261,5.2917,-3899.9,-2957.8,-2757.2,-2622.6,-2665.6,-630.36,-3276.9,-567.77,-3070.4,-685.35,-3489.7,-577.64,-2988.9,197.76,0,4883.9,757.57,385.7,0,-23546,0
"Model 26.1c",69.271,107.3,-66.178,-47.147,47.736,-4.0551,48.005,-0.44214,-3425.4,-2644.8,-2502.2,-2151.1,-2158,-630.08,-2761.1,-561.7,-2562.5,-685.65,-2918.3,-576.44,-2495,170.26,0,4877.1,752.2,377.57,0,-19741,0
"Model 26.2",133.42,290.59,NA,-55.468,NA,NA,66.928,3.2291,-3892.1,-2942.8,NA,NA,-2672.7,NA,NA,-560.82,-3052.6,NA,NA,-577.91,-2995.3,123.64,0,1531.6,406.52,183.1,0,-14011,0
