"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only_eqmdevs","Sel_Trawl_Bycatch_male_base_Logistic_cv","male",62,2.3975677,2.39807916,0.000511459999999797,0.0137298216404951
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_14","male",62,-0.69856414,-0.6980785,0.000485639999999954,0.0130366999990069
"26_gmacs_male_only_eqmdevs","Sel_Pot_Fishery_male_base_Logistic_mean","male",62,4.68196946,4.68240317,0.000433709999999365,0.0116426718486153
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_19","male",62,-0.13677209,-0.13634197,0.000430120000000006,0.0115463005592073
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_12","male",62,-0.90170208,-0.90128201,0.000420069999999995,0.0112765146375572
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2006","shared (recruitment devs)",62,-1.09755753,-1.09714556,0.000411970000000039,0.0110590752380197
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_20","male",62,-0.09906801,-0.09866526,0.000402749999999993,0.0108115701437287
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_17","male",62,-0.23839255,-0.23799346,0.000399090000000019,0.0107133197483823
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_1990_season_2","shared (fishing mortality)",62,-0.61846207,-0.61808338,0.000378690000000015,0.0101656945939885
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_9","male",62,-0.8618639,-0.86149727,0.000366630000000034,0.00984195148800921
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_22","male",62,-0.05136324,-0.05101462,0.000348620000000001,0.00935848437866365
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_21","male",62,-0.19976105,-0.19941427,0.000346779999999991,0.0093090907372867
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_20","male",62,-0.29773524,-0.29739741,0.000337830000000039,0.0090688336229829
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_9","male",62,-1.06924267,-1.06896748,0.000275189999999981,0.00738730226654886
