"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2022_season_2","shared (fishing mortality)",29,-0.11035485,-0.10751589,0.00283896,0.0119480152854498
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2011_season_2","shared (fishing mortality)",29,-0.15760172,-0.15485715,0.00274457,0.0115507665877599
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_1997_season_2","shared (fishing mortality)",29,0.33307413,0.33581022,0.00273608999999997,0.0115150777546587
"26_gmacs_eqmdevs","Alpha_male","male",29,0.03560392,0.03833043,0.00272651,0.0114747594738678
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2018_season_2","shared (fishing mortality)",29,1.64991003,1.65263328,0.00272325000000007,0.0114610394743504
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_13","male",29,-0.893144,-0.89049157,0.00265243000000004,0.0111629872148907
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2019_season_2","shared (fishing mortality)",29,0.89188208,0.89453293,0.00265084999999998,0.0111563376445721
"26_gmacs_eqmdevs","Rec_dev_est_2006","shared (recruitment devs)",29,-1.62998191,-1.6273736,0.00260830999999984,0.0109773042766328
"26_gmacs_eqmdevs","Rec_dev_est_2004","shared (recruitment devs)",29,0.18338677,0.18586246,0.00247569,0.0104191612287722
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_mature_newshell_class_12","female",29,-0.16157594,-0.1591354,0.00244053999999999,0.0102712293321327
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_1997_season_2","shared (fishing mortality)",29,0.59579581,0.59815682,0.00236101,0.00993652026414594
"26_gmacs_eqmdevs","Rec_dev_est_1997","shared (recruitment devs)",29,-1.36735539,-1.36499923,0.00235615999999994,0.00991610860842162
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_1992_season_2","shared (fishing mortality)",29,0.68835229,0.69067217,0.00231988000000005,0.00976342100642836
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_1995_season_2","shared (fishing mortality)",29,1.66115542,1.66346979,0.0023143699999999,0.00974023168208964
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2008_season_2","shared (fishing mortality)",29,-0.11303751,-0.110725,0.00231250999999999,0.00973240370690511
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_5","male",29,-0.42703749,-0.42473647,0.00230102000000004,0.00968404702148891
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_1994_season_2","shared (fishing mortality)",29,0.27589411,0.27816792,0.00227380999999999,0.00956953131999338
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2023_season_2","shared (fishing mortality)",29,0.57333771,0.5756048,0.00226709000000003,0.00954124960319647
"26_gmacs_eqmdevs","Ret_Pot_Fishery_male_base_Logistic_cv","male",29,0.36384388,0.36605611,0.00221222999999998,0.00931036642112969
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_15","male",29,-0.7995224,-0.79733333,0.00218907000000002,0.00921289550431134
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2010_season_2","shared (fishing mortality)",29,-0.86037827,-0.85822528,0.00215299000000002,0.00906104962007946
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2007_season_2","shared (fishing mortality)",29,0.14723464,0.14938486,0.00215022000000001,0.00904939182907823
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2010_season_2","shared (fishing mortality)",29,-0.61394512,-0.61185498,0.00209013999999996,0.008796539813428
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2021_season_2","shared (fishing mortality)",29,-0.61025963,-0.60818776,0.00207187000000009,0.00871964889588647
"26_gmacs_eqmdevs","Rec_dev_est_2007","shared (recruitment devs)",29,0.00246411,0.00450699,0.00204288,0.00859764190631064
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2011_season_2","shared (fishing mortality)",29,-0.73273705,-0.73069711,0.00203993999999996,0.00858526865521176
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_19","male",29,-0.44915546,-0.44714938,0.00200608000000002,0.00844276583813627
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_14","male",29,-0.7740046,-0.77203283,0.00197177000000004,0.00829836915609652
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_19","male",29,-0.1424668,-0.14058173,0.00188507000000002,0.00793348450634846
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2003_season_2","shared (fishing mortality)",29,-0.28669886,-0.28482075,0.00187810999999999,0.00790419272823708
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2012_season_2","shared (fishing mortality)",29,0.24300223,0.24478713,0.00178489999999998,0.0075119101653419
"26_gmacs_eqmdevs","Sel_Trawl_Bycatch_male_base_Logistic_cv","male",29,2.3851418,2.38687638,0.00173457999999993,0.00730013397646837
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2007_season_2","shared (fishing mortality)",29,0.44306893,0.44478738,0.00171844999999998,0.00723224943897799
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_1999_season_2","shared (fishing mortality)",29,0.29240229,0.29411389,0.00171159999999998,0.00720342060563573
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2014_season_2","shared (fishing mortality)",29,1.75246283,1.75413348,0.00167064999999988,0.00703107889390315
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2008_season_2","shared (fishing mortality)",29,-0.18001273,-0.17837587,0.00163686000000002,0.00688887067804461
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_2013_season_2","shared (fishing mortality)",29,0.19837618,0.1999833,0.00160711999999999,0.0067637072468622
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2002_season_2","shared (fishing mortality)",29,0.32269842,0.32430023,0.00160181000000004,0.00674135964028614
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_1990_season_2","shared (fishing mortality)",29,-0.56005949,-0.55846389,0.00159560000000003,0.00671522430378168
"26_gmacs_eqmdevs","Log_fdev_Trawl_Bycatch_year_1994_season_2","shared (fishing mortality)",29,1.14352279,1.14509315,0.00157035999999988,0.00660899952223966
"26_gmacs_eqmdevs","Log_fdev_Pot_Fishery_year_2004_season_2","shared (fishing mortality)",29,-0.44120721,-0.43966521,0.00154200000000004,0.00648964394361459
