"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_16","male",31,11.79888753,11.80592025,0.00703271999999977,0.387014311476343
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2008_season_2","shared (fishing mortality)",31,-0.18142946,-0.17446764,0.00696181999999998,0.383112646873801
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2020_season_2","shared (fishing mortality)",31,1.23690415,1.24384086,0.00693670999999996,0.381730830256449
"26_gmacs_male_only","Rec_dev_est_1993","shared (recruitment devs)",31,-0.93794853,-0.93109434,0.00685418999999998,0.377189710891108
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2008_season_2","shared (fishing mortality)",31,-0.08726779,-0.08041468,0.00685311,0.37713027791832
"26_gmacs_male_only","Rec_dev_est_1984","shared (recruitment devs)",31,1.75673886,1.76338544,0.00664657999999996,0.36576482248298
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_18","male",31,10.2839553,10.29049325,0.00653795000000024,0.359786855969942
"26_gmacs_male_only","Log(Rbar)","shared (other)",31,12.99894949,13.00535278,0.0064032900000015,0.352376444751677
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2005_season_2","shared (fishing mortality)",31,-0.76495717,-0.75877948,0.00617769000000001,0.339961557102284
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2021_season_2","shared (fishing mortality)",31,-0.52929253,-0.52323471,0.00605781999999999,0.333365047427979
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2005_season_2","shared (fishing mortality)",31,-0.02228361,-0.01640547,0.00587814,0.323477161732818
"26_gmacs_male_only","Rec_dev_est_1983","shared (recruitment devs)",31,1.00109241,1.0068126,0.0057201899999999,0.314785089462384
"26_gmacs_male_only","Rec_dev_est_2008","shared (recruitment devs)",31,0.33345166,0.33915373,0.00570207,0.313787936252259
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2020_season_2","shared (fishing mortality)",31,1.27038416,1.27580995,0.00542578999999987,0.298584101324274
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_19","male",31,9.21378935,9.21909512,0.00530576999999965,0.291979337070404
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2003_season_2","shared (fishing mortality)",31,0.15463587,0.1596655,0.00502962999999998,0.276783206416694
"26_gmacs_male_only","Rec_dev_est_2014","shared (recruitment devs)",31,1.94751037,1.95250613,0.0049957599999999,0.274919322353383
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_20","male",31,8.18147573,8.18591029,0.00443455999999998,0.244036188715117
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2004_season_2","shared (fishing mortality)",31,0.17555478,0.17996549,0.00441071000000001,0.242723710566023
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2009_season_2","shared (fishing mortality)",31,-0.58759368,-0.58319914,0.00439454000000006,0.241833866890098
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_14","male",31,10.68588325,10.69005656,0.00417331000000054,0.229659462658488
"26_gmacs_male_only","Rec_dev_est_2010","shared (recruitment devs)",31,-1.03448375,-1.03032359,0.00416015999999986,0.228935811184211
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_5","male",31,-1.12068214,-1.11663889,0.00404325000000005,0.222502191879784
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2009_season_2","shared (fishing mortality)",31,0.25115702,0.25514638,0.00398936,0.219536596598658
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2003_season_2","shared (fishing mortality)",31,-0.2677339,-0.26377757,0.00395633000000001,0.217718938180854
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1982_season_2","shared (fishing mortality)",31,0.0329845,0.03691963,0.00393513,0.216552290937212
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_13","male",31,10.95498553,10.95871837,0.00373283999999963,0.205420164950582
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_21","male",31,7.34178256,7.34548845,0.00370588999999999,0.203937092157388
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_3","male",31,-1.79358273,-1.78989091,0.00369182000000001,0.203162812595218
"26_gmacs_male_only","Log_fbar_Trawl_Bycatch","shared (fishing mortality)",31,-4.58434402,-4.58066395,0.0036800699999997,0.202516203863466
"26_gmacs_male_only","Rec_dev_est_1997","shared (recruitment devs)",31,-0.69231021,-0.68863474,0.00367547000000001,0.202263063423826
"26_gmacs_male_only","Rec_dev_est_1986","shared (recruitment devs)",31,-0.44881677,-0.4452105,0.00360626999999997,0.198454950722882
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_22","male",31,6.9295817,6.9331286,0.00354689999999991,0.19518778813538
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2002_season_2","shared (fishing mortality)",31,0.13582058,0.13929229,0.00347171000000002,0.191050042557586
"26_gmacs_male_only","Rec_dev_est_1988","shared (recruitment devs)",31,-0.27285396,-0.26940331,0.00345065,0.189891099588194
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2004_season_2","shared (fishing mortality)",31,-0.42909198,-0.42566701,0.00342496999999997,0.188477915568537
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_1","male",31,13.74145276,13.74485659,0.00340382999999989,0.187314570156713
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2024_season_2","shared (fishing mortality)",31,0.47192563,0.47530486,0.00337923000000001,0.185960819109854
"26_gmacs_male_only","Rec_dev_est_1990","shared (recruitment devs)",31,1.76594721,1.76927308,0.00332587000000006,0.183024390009824
"26_gmacs_male_only","Rec_dev_est_2015","shared (recruitment devs)",31,0.40420468,0.40748454,0.00327986000000002,0.180492435307939
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_13","male",31,10.77846003,10.78172913,0.00326910000000069,0.179900306801298
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2017_season_2","shared (fishing mortality)",31,0.62676442,0.62987923,0.00311481000000002,0.171409646271951
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_16","male",31,-0.88844906,-0.88536061,0.00308845000000002,0.16995904149165
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_1982_season_2","shared (fishing mortality)",31,-1.57081148,-1.5678043,0.00300718,0.165486710289258
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_22","male",31,5.32042609,5.32337128,0.00294519000000015,0.162075367712223
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_21","male",31,5.42085617,5.42374863,0.00289245999999999,0.159173607846309
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_20","male",31,5.6147016,5.61748038,0.00277877999999987,0.15291773715493
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1983_season_2","shared (fishing mortality)",31,0.01062058,0.01328653,0.00266595,0.14670864241437
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_1996_season_2","shared (fishing mortality)",31,1.36787105,1.37053267,0.00266162000000003,0.146470360217911
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_immature_newshell_class_19","male",31,5.89482222,5.8974429,0.00262067999999971,0.144217410304938
"26_gmacs_male_only","Sel_NMFS_Trawl_1982_male_base_class_1","male",31,-2.52440241,-2.52179681,0.00260559999999987,0.143387549907112
