"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_eqmdevs","M_female_immature_block_group_1_block_2","female",32,1.8460358,9.92313484,8.07709904,25.2079664658724
"26_gmacs_eqmdevs","Logit_rec_prop_est_1991","sex allocation",32,0.17543629,1.35825917,1.18282288,3.69149361007545
"26_gmacs_eqmdevs","Logit_rec_prop_est_1993","sex allocation",32,-1.53352055,-0.49581411,1.03770644,3.23859705215894
"26_gmacs_eqmdevs","Logit_rec_prop_est_1989","sex allocation",32,-0.15315894,0.81341026,0.9665692,3.01658353573254
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_4","female",32,-1.38303925,-0.50547541,0.87756384,2.7388050760341
"26_gmacs_eqmdevs","Logit_rec_prop_est_1990","sex allocation",32,1.00497199,1.84396408,0.83899209,2.61842579434957
"26_gmacs_eqmdevs","Logit_rec_prop_est_1992","sex allocation",32,-2.49213126,-1.66984264,0.82228862,2.56629562861327
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_6","female",32,-0.08942691,0.69613657,0.78556348,2.45167946593038
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_3","male",32,-1.06495597,-0.33505004,0.72990593,2.27797679780356
"26_gmacs_eqmdevs","Rec_dev_est_1993","shared (recruitment devs)",32,-0.54106034,0.12231275,0.66337309,2.07033323774647
"26_gmacs_eqmdevs","Logit_rec_prop_est_2012","sex allocation",32,1.60159413,2.21590258,0.61430845,1.91720650330196
"26_gmacs_eqmdevs","Rec_dev_est_1992","shared (recruitment devs)",32,-0.52393322,-0.01544582,0.5084874,1.58694764841198
"26_gmacs_eqmdevs","Rec_dev_est_1991","shared (recruitment devs)",32,0.91428136,1.28281241,0.36853105,1.15015530997286
"26_gmacs_eqmdevs","Logit_rec_prop_est_2006","sex allocation",32,3.59794671,3.96315377,0.36520706,1.13978140864543
"26_gmacs_eqmdevs","Logit_rec_prop_est_1986","sex allocation",32,-3.46642251,-3.12255602,0.34386649,1.07317923251034
"26_gmacs_eqmdevs","Rec_dev_est_1986","shared (recruitment devs)",32,0.55096614,0.86934001,0.31837387,0.993618847413564
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1995_season_2","female (F offsets)",32,-0.91096136,-0.61682992,0.29413144,0.917960203206664
"26_gmacs_eqmdevs","Logit_rec_prop_est_2025","sex allocation",32,0.52689163,0.79571921,0.26882758,0.838988922654292
"26_gmacs_eqmdevs","Logit_rec_prop_est_1995","sex allocation",32,-1.21329087,-0.94658827,0.2667026,0.832357033616486
"26_gmacs_eqmdevs","Rec_dev_est_1989","shared (recruitment devs)",32,-0.74855964,-0.48496566,0.26359398,0.82265528447028
"26_gmacs_eqmdevs","Logit_rec_prop_est_1985","sex allocation",32,-0.31547684,-0.06441493,0.25106191,0.783543717465406
"26_gmacs_eqmdevs","Logit_rec_prop_est_2003","sex allocation",32,4.18145304,4.42422355,0.24277051,0.757666935204836
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_1","female",32,-4.74474917,-4.5240411,0.220708070000001,0.688811861753205
"26_gmacs_eqmdevs","Rec_dev_est_1990","shared (recruitment devs)",32,0.7709127,0.98197213,0.21105943,0.65869924429528
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_3","female",32,-3.29223034,-3.08611283,0.20611751,0.64327591557044
"26_gmacs_eqmdevs","Logit_rec_prop_est_2009","sex allocation",32,-1.9755125,-1.77053598,0.20497652,0.639714978962449
"26_gmacs_eqmdevs","Logit_rec_prop_est_2024","sex allocation",32,2.62331952,2.82578657,0.20246705,0.63188312803505
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1990_season_2","female (F offsets)",32,2.9309207,3.12943399,0.19851329,0.61954376596947
"26_gmacs_eqmdevs","Logit_rec_prop_est_1988","sex allocation",32,-0.34308693,-0.14842849,0.19465844,0.60751309393614
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_2","female",32,-3.85392453,-3.65954182,0.19438271,0.606652563124371
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1994_season_2","female (F offsets)",32,0.75503869,0.94009254,0.18505385,0.577537952930756
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1989_season_2","female (F offsets)",32,0.55669369,0.74017811,0.18348442,0.572639890072468
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_2","male",32,0.7412648,0.92387329,0.18260849,0.569906184077642
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_4","male",32,0.52187135,0.70387442,0.18200307,0.568016717700891
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1996_season_2","female (F offsets)",32,0.7531334,0.92160576,0.16847236,0.525788476812633
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1991_season_2","female (F offsets)",32,1.40398223,1.57181917,0.16783694,0.523805382885912
"26_gmacs_eqmdevs","Rec_dev_est_1988","shared (recruitment devs)",32,-0.47248596,-0.30478131,0.16770465,0.52339251659973
"26_gmacs_eqmdevs","Logit_rec_prop_est_2019","sex allocation",32,-2.45945911,-2.30150712,0.15795199,0.492955261216879
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_4","female",32,-1.98861661,-1.83137799,0.15723862,0.490728891706155
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_3","female",32,-3.74454184,-3.5921889,0.15235294,0.475481083428323
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_1","female",32,-5.05420523,-4.90292771,0.15127752,0.472124785435382
"26_gmacs_eqmdevs","Logit_rec_prop_est_2023","sex allocation",32,4.38939223,4.54056784,0.151175609999999,0.471806732648134
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_2","female",32,-4.11080759,-3.96322511,0.14758248,0.46059286736074
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_7","female",32,0.20324777,0.34966252,0.14641475,0.456948477396544
