crab_year,fishery,size,sex,shell,total,target_stock
1990,QO91,133,1,new,55,BSSC
1990,QO91,133,1,old,3,BSSC
1990,QO91,134,1,new,40,BSSC
1990,QO91,135,1,new,47,BSSC
1990,QO91,135,1,old,1,BSSC
1990,QO91,136,1,new,17,BSSC
1990,QO91,136,1,old,3,BSSC
1990,QO91,137,1,new,20,BSSC
1990,QO91,138,1,new,15,BSSC
1990,QO91,139,1,new,12,BSSC
1990,QO91,140,1,new,9,BSSC
1990,QO91,141,1,new,6,BSSC
1990,QO91,142,1,new,12,BSSC
1990,QO91,143,1,new,8,BSSC
1990,QO91,144,1,new,8,BSSC
1990,QO91,145,1,new,5,BSSC
1990,QO91,146,1,new,2,BSSC
1990,QO91,148,1,new,2,BSSC
1990,QO91,149,1,new,4,BSSC
1990,QO91,150,1,new,4,BSSC
1990,QO91,152,1,new,3,BSSC
1990,QO91,155,1,new,2,BSSC
1990,QO91,156,1,new,1,BSSC
1990,QO91,157,1,new,1,BSSC
1990,QO91,160,1,new,2,BSSC
1990,QO91,164,1,new,1,BSSC
1990,QO91,165,1,new,1,BSSC
1990,QO91,166,1,new,1,BSSC
1990,QO91,170,1,new,1,BSSC
1990,QO91,173,1,new,4,BSSC
1990,QO91,175,1,new,1,BSSC
1990,QO91,177,1,new,1,BSSC
1990,QO91,182,1,new,1,BSSC
1990,QO91,189,1,new,1,BSSC
1990,QO91,190,1,new,1,BSSC
1990,QO91,191,1,new,1,BSSC
1990,QO91,196,1,new,1,BSSC
1990,QO91,198,1,new,1,BSSC
1990,QO91,199,1,new,1,BSSC
1990,QO91,632,2,new,1,BSSC
1991,QO92,10,1,new,2,BSSC
1991,QO92,11,1,new,1,BSSC
1991,QO92,13,1,new,1,BSSC
1991,QO92,21,1,new,1,BSSC
1991,QO92,25,1,new,1,BSSC
1991,QO92,29,1,new,1,BSSC
1991,QO92,36,1,new,1,BSSC
1991,QO92,37,2,old,1,BSSC
1991,QO92,40,1,new,1,BSSC
1991,QO92,42,2,old,1,BSSC
1991,QO92,43,2,old,1,BSSC
1991,QO92,45,1,new,1,BSSC
1991,QO92,45,2,old,1,BSSC
1991,QO92,46,2,old,2,BSSC
1991,QO92,47,2,old,1,BSSC
1991,QO92,48,2,new,1,BSSC
1991,QO92,48,2,old,6,BSSC
1991,QO92,49,2,old,7,BSSC
1991,QO92,50,2,old,4,BSSC
1991,QO92,51,2,old,5,BSSC
1991,QO92,52,1,old,1,BSSC
1991,QO92,52,2,new,3,BSSC
1991,QO92,52,2,old,9,BSSC
1991,QO92,53,2,new,2,BSSC
1991,QO92,53,2,old,6,BSSC
1991,QO92,54,2,new,1,BSSC
1991,QO92,54,2,old,18,BSSC
1991,QO92,55,1,new,2,BSSC
1991,QO92,55,1,old,1,BSSC
1991,QO92,55,2,new,5,BSSC
1991,QO92,55,2,old,6,BSSC
1991,QO92,56,1,old,1,BSSC
1991,QO92,56,2,old,16,BSSC
1991,QO92,57,1,old,1,BSSC
1991,QO92,57,2,new,1,BSSC
1991,QO92,57,2,old,22,BSSC
1991,QO92,58,1,new,2,BSSC
1991,QO92,58,1,old,3,BSSC
1991,QO92,58,2,new,5,BSSC
1991,QO92,58,2,old,22,BSSC
1991,QO92,59,1,new,3,BSSC
1991,QO92,59,1,old,5,BSSC
1991,QO92,59,2,new,2,BSSC
1991,QO92,59,2,old,33,BSSC
1991,QO92,60,1,new,1,BSSC
1991,QO92,60,1,old,1,BSSC
1991,QO92,60,2,new,4,BSSC
1991,QO92,60,2,old,35,BSSC
1991,QO92,61,1,new,5,BSSC
1991,QO92,61,1,old,3,BSSC
1991,QO92,61,2,new,2,BSSC
1991,QO92,61,2,old,28,BSSC
1991,QO92,62,1,new,6,BSSC
1991,QO92,62,1,old,5,BSSC
1991,QO92,62,2,new,6,BSSC
1991,QO92,62,2,old,39,BSSC
1991,QO92,63,1,new,5,BSSC
1991,QO92,63,1,old,3,BSSC
1991,QO92,63,2,new,6,BSSC
1991,QO92,63,2,old,37,BSSC
1991,QO92,64,1,new,4,BSSC
1991,QO92,64,1,old,3,BSSC
1991,QO92,64,2,new,8,BSSC
1991,QO92,64,2,old,28,BSSC
1991,QO92,65,1,new,6,BSSC
1991,QO92,65,1,old,3,BSSC
1991,QO92,65,2,new,9,BSSC
1991,QO92,65,2,old,43,BSSC
1991,QO92,66,1,new,9,BSSC
1991,QO92,66,1,old,10,BSSC
1991,QO92,66,2,new,18,BSSC
1991,QO92,66,2,old,58,BSSC
1991,QO92,67,1,new,18,BSSC
1991,QO92,67,1,old,6,BSSC
1991,QO92,67,2,new,10,BSSC
1991,QO92,67,2,old,35,BSSC
1991,QO92,68,1,new,23,BSSC
1991,QO92,68,1,old,11,BSSC
1991,QO92,68,2,new,12,BSSC
1991,QO92,68,2,old,83,BSSC
1991,QO92,69,1,new,20,BSSC
1991,QO92,69,1,old,14,BSSC
1991,QO92,69,2,new,17,BSSC
1991,QO92,69,2,old,77,BSSC
1991,QO92,70,1,new,40,BSSC
1991,QO92,70,1,old,18,BSSC
1991,QO92,70,2,new,12,BSSC
1991,QO92,70,2,old,87,BSSC
1991,QO92,71,1,new,47,BSSC
1991,QO92,71,1,old,21,BSSC
1991,QO92,71,2,new,16,BSSC
1991,QO92,71,2,old,69,BSSC
1991,QO92,72,1,new,64,BSSC
1991,QO92,72,1,old,34,BSSC
1991,QO92,72,2,new,8,BSSC
1991,QO92,72,2,old,64,BSSC
1991,QO92,73,1,new,75,BSSC
1991,QO92,73,1,old,25,BSSC
1991,QO92,73,2,new,12,BSSC
1991,QO92,73,2,old,39,BSSC
1991,QO92,74,1,new,89,BSSC
1991,QO92,74,1,old,34,BSSC
1991,QO92,74,2,new,9,BSSC
1991,QO92,74,2,old,45,BSSC
1991,QO92,75,1,new,104,BSSC
1991,QO92,75,1,old,37,BSSC
1991,QO92,75,2,new,6,BSSC
1991,QO92,75,2,old,28,BSSC
1991,QO92,76,1,new,94,BSSC
1991,QO92,76,1,old,48,BSSC
1991,QO92,76,2,new,6,BSSC
1991,QO92,76,2,old,22,BSSC
1991,QO92,77,1,new,129,BSSC
1991,QO92,77,1,old,37,BSSC
1991,QO92,77,2,new,5,BSSC
1991,QO92,77,2,old,16,BSSC
1991,QO92,78,1,new,148,BSSC
1991,QO92,78,1,old,57,BSSC
1991,QO92,78,2,new,5,BSSC
1991,QO92,78,2,old,21,BSSC
1991,QO92,79,1,new,162,BSSC
1991,QO92,79,1,old,60,BSSC
1991,QO92,79,2,new,4,BSSC
1991,QO92,79,2,old,8,BSSC
1991,QO92,80,1,new,177,BSSC
1991,QO92,80,1,old,67,BSSC
1991,QO92,80,2,new,4,BSSC
1991,QO92,80,2,old,7,BSSC
1991,QO92,81,1,new,222,BSSC
1991,QO92,81,1,old,48,BSSC
1991,QO92,81,2,old,7,BSSC
1991,QO92,82,1,new,286,BSSC
1991,QO92,82,1,old,80,BSSC
1991,QO92,82,2,new,5,BSSC
1991,QO92,82,2,old,8,BSSC
1991,QO92,83,1,new,308,BSSC
1991,QO92,83,1,old,74,BSSC
1991,QO92,83,2,new,4,BSSC
1991,QO92,83,2,old,4,BSSC
1991,QO92,84,1,new,314,BSSC
1991,QO92,84,1,old,63,BSSC
1991,QO92,84,2,new,4,BSSC
1991,QO92,84,2,old,4,BSSC
1991,QO92,85,1,new,336,BSSC
1991,QO92,85,1,old,73,BSSC
1991,QO92,85,2,new,1,BSSC
1991,QO92,85,2,old,4,BSSC
1991,QO92,86,1,new,355,BSSC
1991,QO92,86,1,old,91,BSSC
1991,QO92,86,2,new,3,BSSC
1991,QO92,86,2,old,1,BSSC
1991,QO92,87,1,new,487,BSSC
1991,QO92,87,1,old,83,BSSC
1991,QO92,87,2,new,1,BSSC
1991,QO92,87,2,old,4,BSSC
1991,QO92,88,1,new,547,BSSC
1991,QO92,88,1,old,104,BSSC
1991,QO92,88,2,new,1,BSSC
1991,QO92,88,2,old,3,BSSC
1991,QO92,89,1,new,527,BSSC
1991,QO92,89,1,old,89,BSSC
1991,QO92,89,2,old,1,BSSC
1991,QO92,90,1,new,789,BSSC
1991,QO92,90,1,old,110,BSSC
1991,QO92,90,2,new,2,BSSC
1991,QO92,90,2,old,5,BSSC
1991,QO92,91,1,new,865,BSSC
1991,QO92,91,1,old,102,BSSC
1991,QO92,91,2,old,7,BSSC
1991,QO92,92,1,new,1074,BSSC
1991,QO92,92,1,old,134,BSSC
1991,QO92,92,2,old,2,BSSC
1991,QO92,93,1,new,1201,BSSC
1991,QO92,93,1,old,116,BSSC
1991,QO92,93,2,new,2,BSSC
1991,QO92,93,2,old,3,BSSC
1991,QO92,94,1,new,1369,BSSC
1991,QO92,94,1,old,166,BSSC
1991,QO92,94,2,new,1,BSSC
1991,QO92,94,2,old,6,BSSC
1991,QO92,95,1,new,1545,BSSC
1991,QO92,95,1,old,178,BSSC
1991,QO92,95,2,new,1,BSSC
1991,QO92,95,2,old,7,BSSC
1991,QO92,96,1,new,1749,BSSC
1991,QO92,96,1,old,167,BSSC
1991,QO92,97,1,new,1891,BSSC
1991,QO92,97,1,old,186,BSSC
1991,QO92,97,2,new,2,BSSC
1991,QO92,97,2,old,2,BSSC
1991,QO92,98,1,new,2146,BSSC
1991,QO92,98,1,old,200,BSSC
1991,QO92,98,2,old,2,BSSC
1991,QO92,99,1,new,2147,BSSC
1991,QO92,99,1,old,169,BSSC
1991,QO92,99,2,old,5,BSSC
1991,QO92,100,1,new,2815,BSSC
1991,QO92,100,1,old,201,BSSC
1991,QO92,100,2,old,2,BSSC
1991,QO92,101,1,new,2665,BSSC
1991,QO92,101,1,old,167,BSSC
1991,QO92,101,2,old,5,BSSC
1991,QO92,102,1,new,3087,BSSC
1991,QO92,102,1,old,193,BSSC
1991,QO92,102,2,new,3,BSSC
1991,QO92,103,1,new,3411,BSSC
1991,QO92,103,1,old,172,BSSC
1991,QO92,103,2,old,5,BSSC
1991,QO92,104,1,new,3559,BSSC
1991,QO92,104,1,old,167,BSSC
1991,QO92,104,2,old,4,BSSC
1991,QO92,105,1,new,3948,BSSC
1991,QO92,105,1,old,167,BSSC
1991,QO92,105,2,old,4,BSSC
1991,QO92,106,1,new,3977,BSSC
1991,QO92,106,1,old,157,BSSC
1991,QO92,106,2,old,1,BSSC
1991,QO92,107,1,new,4089,BSSC
1991,QO92,107,1,old,149,BSSC
1991,QO92,107,2,new,1,BSSC
1991,QO92,108,1,new,4207,BSSC
1991,QO92,108,1,old,173,BSSC
1991,QO92,108,2,new,1,BSSC
1991,QO92,109,1,new,4179,BSSC
1991,QO92,109,1,old,153,BSSC
1991,QO92,109,2,old,2,BSSC
1991,QO92,110,1,new,5054,BSSC
1991,QO92,110,1,old,171,BSSC
1991,QO92,110,2,old,1,BSSC
1991,QO92,111,1,new,4517,BSSC
1991,QO92,111,1,old,131,BSSC
1991,QO92,111,2,new,1,BSSC
1991,QO92,111,2,old,3,BSSC
1991,QO92,112,1,new,4932,BSSC
1991,QO92,112,1,old,139,BSSC
1991,QO92,112,2,old,2,BSSC
1991,QO92,113,1,new,4502,BSSC
1991,QO92,113,1,old,131,BSSC
1991,QO92,113,2,old,1,BSSC
1991,QO92,114,1,new,4314,BSSC
1991,QO92,114,1,old,135,BSSC
1991,QO92,115,1,new,4597,BSSC
1991,QO92,115,1,old,169,BSSC
1991,QO92,116,1,new,3907,BSSC
1991,QO92,116,1,old,123,BSSC
1991,QO92,117,1,new,3790,BSSC
1991,QO92,117,1,old,123,BSSC
1991,QO92,118,1,new,3729,BSSC
1991,QO92,118,1,old,121,BSSC
1991,QO92,119,1,new,3068,BSSC
1991,QO92,119,1,old,99,BSSC
1991,QO92,120,1,new,2959,BSSC
1991,QO92,120,1,old,103,BSSC
1991,QO92,121,1,new,2500,BSSC
1991,QO92,121,1,old,84,BSSC
1991,QO92,122,1,new,2232,BSSC
1991,QO92,122,1,old,81,BSSC
1991,QO92,123,1,new,1717,BSSC
1991,QO92,123,1,old,60,BSSC
1991,QO92,124,1,new,1546,BSSC
1991,QO92,124,1,old,49,BSSC
1991,QO92,125,1,new,1301,BSSC
1991,QO92,125,1,old,43,BSSC
1991,QO92,126,1,new,1085,BSSC
1991,QO92,126,1,old,34,BSSC
1991,QO92,127,1,new,865,BSSC
1991,QO92,127,1,old,30,BSSC
1991,QO92,128,1,new,701,BSSC
1991,QO92,128,1,old,15,BSSC
1991,QO92,129,1,new,573,BSSC
1991,QO92,129,1,old,18,BSSC
1991,QO92,130,1,new,449,BSSC
1991,QO92,130,1,old,10,BSSC
1991,QO92,131,1,new,337,BSSC
1991,QO92,131,1,old,9,BSSC
1991,QO92,132,1,new,273,BSSC
1991,QO92,132,1,old,8,BSSC
1991,QO92,133,1,new,209,BSSC
1991,QO92,133,1,old,3,BSSC
1991,QO92,134,1,new,147,BSSC
1991,QO92,134,1,old,2,BSSC
1991,QO92,135,1,new,107,BSSC
1991,QO92,135,1,old,1,BSSC
1991,QO92,136,1,new,95,BSSC
1991,QO92,136,1,old,2,BSSC
1991,QO92,137,1,new,61,BSSC
1991,QO92,137,1,old,1,BSSC
1991,QO92,138,1,new,62,BSSC
1991,QO92,138,1,old,3,BSSC
1991,QO92,139,1,new,35,BSSC
1991,QO92,139,1,old,1,BSSC
1991,QO92,140,1,new,27,BSSC
1991,QO92,140,1,old,1,BSSC
1991,QO92,141,1,new,15,BSSC
1991,QO92,142,1,new,28,BSSC
1991,QO92,142,1,old,1,BSSC
1991,QO92,143,1,new,13,BSSC
1991,QO92,143,1,old,2,BSSC
1991,QO92,144,1,new,15,BSSC
1991,QO92,145,1,new,7,BSSC
1991,QO92,146,1,new,5,BSSC
1991,QO92,147,1,new,4,BSSC
1991,QO92,148,1,new,11,BSSC
1991,QO92,149,1,new,2,BSSC
1991,QO92,150,1,new,4,BSSC
1991,QO92,151,1,new,4,BSSC
1991,QO92,152,1,new,1,BSSC
1991,QO92,153,1,new,1,BSSC
1991,QO92,155,1,new,2,BSSC
1991,QO92,156,1,new,1,BSSC
1991,QO92,159,1,new,3,BSSC
1991,QO92,160,1,new,1,BSSC
1991,QO92,161,1,new,1,BSSC
1991,QO92,195,1,new,1,BSSC
1992,QO93,41,1,new,1,BSSC
1992,QO93,47,2,old,1,BSSC
1992,QO93,48,2,old,2,BSSC
1992,QO93,49,2,old,4,BSSC
1992,QO93,50,2,old,14,BSSC
1992,QO93,51,2,old,10,BSSC
1992,QO93,52,1,new,1,BSSC
1992,QO93,52,2,old,15,BSSC
1992,QO93,53,2,old,19,BSSC
1992,QO93,54,1,old,1,BSSC
1992,QO93,54,2,old,30,BSSC
1992,QO93,55,1,new,1,BSSC
1992,QO93,55,1,old,5,BSSC
1992,QO93,55,2,old,31,BSSC
1992,QO93,56,1,old,3,BSSC
1992,QO93,56,2,old,16,BSSC
