crab_year,fishery,size,sex,shell,total,target_stock
1990,QO91,2,1,new,1,BSSC
1990,QO91,3,1,new,1,BSSC
1990,QO91,5,1,new,2,BSSC
1990,QO91,8,1,new,2,BSSC
1990,QO91,14,1,new,1,BSSC
1990,QO91,16,1,new,1,BSSC
1990,QO91,20,1,new,4,BSSC
1990,QO91,21,1,new,2,BSSC
1990,QO91,22,2,old,2,BSSC
1990,QO91,23,1,new,1,BSSC
1990,QO91,25,1,new,2,BSSC
1990,QO91,25,2,old,1,BSSC
1990,QO91,26,1,new,1,BSSC
1990,QO91,27,1,new,1,BSSC
1990,QO91,27,2,old,1,BSSC
1990,QO91,29,1,new,1,BSSC
1990,QO91,29,2,old,6,BSSC
1990,QO91,30,1,new,2,BSSC
1990,QO91,31,1,new,2,BSSC
1990,QO91,31,2,new,1,BSSC
1990,QO91,31,2,old,3,BSSC
1990,QO91,32,2,new,1,BSSC
1990,QO91,32,2,old,1,BSSC
1990,QO91,33,1,new,1,BSSC
1990,QO91,33,2,new,1,BSSC
1990,QO91,33,2,old,3,BSSC
1990,QO91,35,2,new,1,BSSC
1990,QO91,35,2,old,5,BSSC
1990,QO91,36,1,new,1,BSSC
1990,QO91,36,2,new,2,BSSC
1990,QO91,36,2,old,2,BSSC
1990,QO91,37,2,old,6,BSSC
1990,QO91,38,1,new,1,BSSC
1990,QO91,38,2,new,4,BSSC
1990,QO91,38,2,old,7,BSSC
1990,QO91,39,2,new,6,BSSC
1990,QO91,39,2,old,10,BSSC
1990,QO91,40,1,new,2,BSSC
1990,QO91,40,2,new,3,BSSC
1990,QO91,40,2,old,1,BSSC
1990,QO91,41,2,new,6,BSSC
1990,QO91,41,2,old,18,BSSC
1990,QO91,42,1,new,4,BSSC
1990,QO91,42,2,new,5,BSSC
1990,QO91,42,2,old,12,BSSC
1990,QO91,43,1,new,2,BSSC
1990,QO91,43,2,new,9,BSSC
1990,QO91,43,2,old,12,BSSC
1990,QO91,44,2,new,7,BSSC
1990,QO91,44,2,old,6,BSSC
1990,QO91,45,1,new,1,BSSC
1990,QO91,45,1,old,2,BSSC
1990,QO91,45,2,new,3,BSSC
1990,QO91,45,2,old,10,BSSC
1990,QO91,46,1,new,2,BSSC
1990,QO91,46,1,old,1,BSSC
1990,QO91,46,2,new,8,BSSC
1990,QO91,46,2,old,12,BSSC
1990,QO91,47,1,new,5,BSSC
1990,QO91,47,2,new,15,BSSC
1990,QO91,47,2,old,37,BSSC
1990,QO91,48,1,new,1,BSSC
1990,QO91,48,2,new,26,BSSC
1990,QO91,48,2,old,58,BSSC
1990,QO91,49,1,new,3,BSSC
1990,QO91,49,2,new,44,BSSC
1990,QO91,49,2,old,90,BSSC
1990,QO91,50,1,new,1,BSSC
1990,QO91,50,2,new,26,BSSC
1990,QO91,50,2,old,88,BSSC
1990,QO91,51,1,new,7,BSSC
1990,QO91,51,2,new,50,BSSC
1990,QO91,51,2,old,150,BSSC
1990,QO91,52,1,new,5,BSSC
1990,QO91,52,1,old,3,BSSC
1990,QO91,52,2,new,48,BSSC
1990,QO91,52,2,old,198,BSSC
1990,QO91,53,1,new,3,BSSC
1990,QO91,53,1,old,1,BSSC
1990,QO91,53,2,new,68,BSSC
1990,QO91,53,2,old,219,BSSC
1990,QO91,54,1,new,6,BSSC
1990,QO91,54,1,old,1,BSSC
1990,QO91,54,2,new,81,BSSC
1990,QO91,54,2,old,243,BSSC
1990,QO91,55,1,new,10,BSSC
1990,QO91,55,1,old,1,BSSC
1990,QO91,55,2,new,108,BSSC
1990,QO91,55,2,old,314,BSSC
1990,QO91,56,1,new,7,BSSC
1990,QO91,56,1,old,1,BSSC
1990,QO91,56,2,new,99,BSSC
1990,QO91,56,2,old,279,BSSC
1990,QO91,57,1,new,12,BSSC
1990,QO91,57,1,old,5,BSSC
1990,QO91,57,2,new,95,BSSC
1990,QO91,57,2,old,302,BSSC
1990,QO91,58,1,new,11,BSSC
1990,QO91,58,1,old,6,BSSC
1990,QO91,58,2,new,129,BSSC
1990,QO91,58,2,old,320,BSSC
1990,QO91,59,1,new,22,BSSC
1990,QO91,59,1,old,8,BSSC
1990,QO91,59,2,new,133,BSSC
1990,QO91,59,2,old,297,BSSC
1990,QO91,60,1,new,17,BSSC
1990,QO91,60,1,old,11,BSSC
1990,QO91,60,2,new,125,BSSC
1990,QO91,60,2,old,319,BSSC
1990,QO91,61,1,new,34,BSSC
1990,QO91,61,1,old,19,BSSC
1990,QO91,61,2,new,138,BSSC
1990,QO91,61,2,old,315,BSSC
1990,QO91,62,1,new,51,BSSC
1990,QO91,62,1,old,18,BSSC
1990,QO91,62,2,new,166,BSSC
1990,QO91,62,2,old,359,BSSC
1990,QO91,63,1,new,64,BSSC
1990,QO91,63,1,old,29,BSSC
1990,QO91,63,2,new,180,BSSC
1990,QO91,63,2,old,357,BSSC
1990,QO91,64,1,new,43,BSSC
1990,QO91,64,1,old,26,BSSC
1990,QO91,64,2,new,182,BSSC
1990,QO91,64,2,old,290,BSSC
1990,QO91,65,1,new,49,BSSC
1990,QO91,65,1,old,39,BSSC
1990,QO91,65,2,new,207,BSSC
1990,QO91,65,2,old,377,BSSC
1990,QO91,66,1,new,40,BSSC
1990,QO91,66,1,old,28,BSSC
1990,QO91,66,2,new,163,BSSC
1990,QO91,66,2,old,300,BSSC
1990,QO91,67,1,new,59,BSSC
1990,QO91,67,1,old,31,BSSC
1990,QO91,67,2,new,175,BSSC
1990,QO91,67,2,old,292,BSSC
1990,QO91,68,1,new,102,BSSC
1990,QO91,68,1,old,69,BSSC
1990,QO91,68,2,new,127,BSSC
1990,QO91,68,2,old,271,BSSC
1990,QO91,69,1,new,102,BSSC
1990,QO91,69,1,old,49,BSSC
1990,QO91,69,2,new,99,BSSC
1990,QO91,69,2,old,212,BSSC
1990,QO91,70,1,new,126,BSSC
1990,QO91,70,1,old,80,BSSC
1990,QO91,70,2,new,79,BSSC
1990,QO91,70,2,old,215,BSSC
1990,QO91,71,1,new,179,BSSC
1990,QO91,71,1,old,99,BSSC
1990,QO91,71,2,new,75,BSSC
1990,QO91,71,2,old,171,BSSC
1990,QO91,72,1,new,224,BSSC
1990,QO91,72,1,old,111,BSSC
1990,QO91,72,2,new,38,BSSC
1990,QO91,72,2,old,140,BSSC
1990,QO91,73,1,new,192,BSSC
1990,QO91,73,1,old,84,BSSC
1990,QO91,73,2,new,44,BSSC
1990,QO91,73,2,old,91,BSSC
1990,QO91,74,1,new,257,BSSC
1990,QO91,74,1,old,106,BSSC
1990,QO91,74,2,new,25,BSSC
1990,QO91,74,2,old,83,BSSC
1990,QO91,75,1,new,326,BSSC
1990,QO91,75,1,old,149,BSSC
1990,QO91,75,2,new,19,BSSC
1990,QO91,75,2,old,66,BSSC
1990,QO91,76,1,new,327,BSSC
1990,QO91,76,1,old,147,BSSC
1990,QO91,76,2,new,10,BSSC
1990,QO91,76,2,old,37,BSSC
1990,QO91,77,1,new,306,BSSC
1990,QO91,77,1,old,159,BSSC
1990,QO91,77,2,new,14,BSSC
1990,QO91,77,2,old,32,BSSC
1990,QO91,78,1,new,421,BSSC
1990,QO91,78,1,old,193,BSSC
1990,QO91,78,2,new,8,BSSC
1990,QO91,78,2,old,21,BSSC
1990,QO91,79,1,new,354,BSSC
1990,QO91,79,1,old,136,BSSC
1990,QO91,79,2,new,3,BSSC
1990,QO91,79,2,old,11,BSSC
1990,QO91,80,1,new,414,BSSC
1990,QO91,80,1,old,192,BSSC
1990,QO91,80,2,new,8,BSSC
1990,QO91,80,2,old,11,BSSC
1990,QO91,81,1,new,460,BSSC
1990,QO91,81,1,old,158,BSSC
1990,QO91,81,2,new,5,BSSC
1990,QO91,81,2,old,10,BSSC
1990,QO91,82,1,new,544,BSSC
1990,QO91,82,1,old,197,BSSC
1990,QO91,82,2,new,2,BSSC
1990,QO91,82,2,old,7,BSSC
1990,QO91,83,1,new,621,BSSC
1990,QO91,83,1,old,217,BSSC
1990,QO91,83,2,new,1,BSSC
1990,QO91,83,2,old,5,BSSC
1990,QO91,84,1,new,664,BSSC
1990,QO91,84,1,old,164,BSSC
1990,QO91,84,2,new,2,BSSC
1990,QO91,84,2,old,4,BSSC
1990,QO91,85,1,new,900,BSSC
1990,QO91,85,1,old,218,BSSC
1990,QO91,85,2,new,1,BSSC
1990,QO91,85,2,old,4,BSSC
1990,QO91,86,1,new,968,BSSC
1990,QO91,86,1,old,174,BSSC
1990,QO91,86,2,new,1,BSSC
1990,QO91,86,2,old,2,BSSC
1990,QO91,87,1,new,1186,BSSC
1990,QO91,87,1,old,182,BSSC
1990,QO91,87,2,new,1,BSSC
1990,QO91,87,2,old,5,BSSC
1990,QO91,88,1,new,1469,BSSC
1990,QO91,88,1,old,232,BSSC
1990,QO91,88,2,old,4,BSSC
1990,QO91,89,1,new,1657,BSSC
1990,QO91,89,1,old,207,BSSC
1990,QO91,89,2,new,1,BSSC
1990,QO91,90,1,new,2204,BSSC
1990,QO91,90,1,old,266,BSSC
1990,QO91,90,2,new,1,BSSC
1990,QO91,90,2,old,4,BSSC
1990,QO91,91,1,new,2488,BSSC
1990,QO91,91,1,old,264,BSSC
1990,QO91,91,2,new,1,BSSC
1990,QO91,92,1,new,2939,BSSC
1990,QO91,92,1,old,295,BSSC
1990,QO91,92,2,old,3,BSSC
1990,QO91,93,1,new,3123,BSSC
1990,QO91,93,1,old,299,BSSC
1990,QO91,93,2,old,1,BSSC
1990,QO91,94,1,new,3494,BSSC
1990,QO91,94,1,old,274,BSSC
1990,QO91,94,2,old,4,BSSC
1990,QO91,95,1,new,4399,BSSC
1990,QO91,95,1,old,404,BSSC
1990,QO91,95,2,new,1,BSSC
1990,QO91,95,2,old,1,BSSC
1990,QO91,96,1,new,4323,BSSC
1990,QO91,96,1,old,373,BSSC
1990,QO91,96,2,new,1,BSSC
1990,QO91,96,2,old,3,BSSC
1990,QO91,97,1,new,4798,BSSC
1990,QO91,97,1,old,327,BSSC
1990,QO91,98,1,new,4865,BSSC
1990,QO91,98,1,old,372,BSSC
1990,QO91,98,2,old,2,BSSC
1990,QO91,99,1,new,4846,BSSC
1990,QO91,99,1,old,316,BSSC
1990,QO91,99,2,old,1,BSSC
1990,QO91,100,1,new,6339,BSSC
1990,QO91,100,1,old,420,BSSC
1990,QO91,101,1,new,5474,BSSC
1990,QO91,101,1,old,332,BSSC
1990,QO91,101,2,old,2,BSSC
1990,QO91,102,1,new,5921,BSSC
1990,QO91,102,1,old,337,BSSC
1990,QO91,103,1,new,6145,BSSC
1990,QO91,103,1,old,375,BSSC
1990,QO91,104,1,new,5375,BSSC
1990,QO91,104,1,old,314,BSSC
1990,QO91,105,1,new,5846,BSSC
1990,QO91,105,1,old,363,BSSC
1990,QO91,106,1,new,5248,BSSC
1990,QO91,106,1,old,322,BSSC
1990,QO91,107,1,new,4717,BSSC
1990,QO91,107,1,old,297,BSSC
1990,QO91,108,1,new,4491,BSSC
1990,QO91,108,1,old,249,BSSC
1990,QO91,109,1,new,4304,BSSC
1990,QO91,109,1,old,239,BSSC
1990,QO91,109,2,new,1,BSSC
1990,QO91,110,1,new,4839,BSSC
1990,QO91,110,1,old,285,BSSC
1990,QO91,111,1,new,3828,BSSC
1990,QO91,111,1,old,181,BSSC
1990,QO91,112,1,new,4391,BSSC
1990,QO91,112,1,old,186,BSSC
1990,QO91,113,1,new,3875,BSSC
1990,QO91,113,1,old,198,BSSC
1990,QO91,114,1,new,3391,BSSC
1990,QO91,114,1,old,190,BSSC
1990,QO91,115,1,new,3452,BSSC
1990,QO91,115,1,old,169,BSSC
1990,QO91,116,1,new,2948,BSSC
1990,QO91,116,1,old,158,BSSC
1990,QO91,117,1,new,2631,BSSC
1990,QO91,117,1,old,134,BSSC
1990,QO91,118,1,new,2423,BSSC
1990,QO91,118,1,old,123,BSSC
1990,QO91,119,1,new,1967,BSSC
1990,QO91,119,1,old,103,BSSC
1990,QO91,120,1,new,2040,BSSC
1990,QO91,120,1,old,87,BSSC
1990,QO91,121,1,new,1533,BSSC
1990,QO91,121,1,old,78,BSSC
1990,QO91,122,1,new,1390,BSSC
1990,QO91,122,1,old,72,BSSC
1990,QO91,123,1,new,1024,BSSC
1990,QO91,123,1,old,56,BSSC
1990,QO91,124,1,new,799,BSSC
1990,QO91,124,1,old,37,BSSC
1990,QO91,125,1,new,750,BSSC
1990,QO91,125,1,old,38,BSSC
1990,QO91,126,1,new,555,BSSC
1990,QO91,126,1,old,27,BSSC
1990,QO91,127,1,new,436,BSSC
1990,QO91,127,1,old,34,BSSC
1990,QO91,128,1,new,318,BSSC
1990,QO91,128,1,old,9,BSSC
1990,QO91,129,1,new,269,BSSC
1990,QO91,129,1,old,16,BSSC
1990,QO91,130,1,new,220,BSSC
1990,QO91,130,1,old,12,BSSC
1990,QO91,131,1,new,139,BSSC
1990,QO91,131,1,old,6,BSSC
1990,QO91,132,1,new,83,BSSC
1990,QO91,132,1,old,4,BSSC
