"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_eqmdevs","M_female_immature_block_group_1_block_2","female",20,1.84109089,9.68685449,7.8457636,15.9348033552192
"26_gmacs_eqmdevs","Logit_rec_prop_est_2018","sex allocation",20,-2.05814335,4.8879332,6.94607655,14.1075323649248
"26_gmacs_eqmdevs","Logit_rec_prop_est_2006","sex allocation",20,1.583318,3.89076145,2.30744345,4.68643455291445
"26_gmacs_eqmdevs","Logit_rec_prop_est_2012","sex allocation",20,1.54753555,3.33531917,1.78778362,3.6310016307886
"26_gmacs_eqmdevs","Logit_rec_prop_est_1991","sex allocation",20,0.12287775,1.34512145,1.2222437,2.48238590972273
"26_gmacs_eqmdevs","Logit_rec_prop_est_1993","sex allocation",20,-1.59278053,-0.50480175,1.08797878,2.20969287348286
"26_gmacs_eqmdevs","Logit_rec_prop_est_2003","sex allocation",20,3.33508539,4.26658183,0.93149644,1.89187609444245
"26_gmacs_eqmdevs","Logit_rec_prop_est_1996","sex allocation",20,3.25620512,4.16597805,0.90977293,1.84775548647063
"26_gmacs_eqmdevs","Logit_rec_prop_est_1989","sex allocation",20,-0.06539441,0.80376587,0.86916028,1.7652708967636
"26_gmacs_eqmdevs","Logit_rec_prop_est_1990","sex allocation",20,0.99673199,1.84012974,0.84339775,1.71294700957907
"26_gmacs_eqmdevs","Rec_dev_est_1993","shared (recruitment devs)",20,-0.5556164,0.15112934,0.70674574,1.43540577605969
"26_gmacs_eqmdevs","Rec_dev_est_2018","shared (recruitment devs)",20,-1.55794814,-0.92771614,0.630232,1.28000580952585
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_4","female",20,-1.37679461,-0.82531948,0.55147513,1.12005002952726
"26_gmacs_eqmdevs","Logit_rec_prop_est_2019","sex allocation",20,-2.83346549,-2.28518341,0.54828208,1.11356492158272
"26_gmacs_eqmdevs","Logit_rec_prop_est_2023","sex allocation",20,3.96183553,4.50537628,0.54354075,1.10393524561438
"26_gmacs_eqmdevs","Logit_rec_prop_est_2017","sex allocation",20,-3.03141653,-2.50646868,0.52494785,1.06617292948963
"26_gmacs_eqmdevs","Logit_rec_prop_est_1992","sex allocation",20,-2.14756311,-1.62290463,0.52465848,1.0655852168995
