Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
1982,221.2470952,221.9157,223.0929,557.4028,199.233,218.9,214.3,184.6,232,246
1983,327.5410494,250.2449,246.1342,525.5881,216.664,212.2,229.5,198.6,245.3,215.4
1984,388.7592796,276.3051,268.9152,503.9768,206.269,193.9,221.8,194.1,240.8,200.3
1985,396.7586693,293.7435,286.5503,458.0821,173.226,171.2,191.2,170.6,214.4,215
1986,393.9214657,330.6086,325.7383,412.7678,147.455,161.9,159.6,143.3,180.1,249.3
1987,404.7652208,384.2364,389.8156,386.8629,144.24,170.5,146.1,131.1,155.5,356.4
1988,448.2821641,454.3419,479.4677,410.8713,172.725,210.7,169.1,150.9,155.6,391.4
1989,447.6265447,469.3157,563.4255,449.0477,217.208,253.4,214.3,190.4,187.8,448.9
1990,385.0904771,422.9176,504.4494,418.0625,201.139,235.7,209.2,187,192.4,434.7
1991,367.231747,381.4383,423.2309,370.8113,177.601,203.8,192.4,171.3,178.1,376.7
1992,329.7659811,377.6234,335.9665,290.8072,162.753,147.7,175.4,158.4,164.3,321.3
1993,308.5235949,384.5925,342.6058,253.9117,155.574,127.9,168.2,154.8,160.2,386.2
1994,302.1609413,374.1123,419.2301,252.0933,150.38,127.8,167.2,152,158.6,443.6
1995,337.6363087,420.782,476.1101,292.9586,176.553,155.3,197.8,176.6,186.4,421.4
1996,359.8746319,442.8756,547.5337,356.2329,240.623,198.8,263,239.7,251.5,359.6
1997,325.8645057,392.7748,494.4009,354.7114,240.303,193.5,258.9,239.8,249.8,294.7
1998,246.0573767,335.2247,386.729,290.7024,175.702,144.6,186.3,172.2,185.4,240.5
1999,215.8089399,293.1457,326.1177,249.5541,146.663,124.5,153.8,145.8,160.6,209.6
2000,175.8215011,233.5508,266.0423,200.1087,118.187,93.13,121.2,117.3,130.7,198.8
2001,140.9361843,184.5264,216.2047,161.7619,98.1434,67.75,96.18,93.65,105.3,180.8
2002,124.810042,162.1856,193.7488,156.1341,99.3523,68.09,92.41,89.93,99.73,156.9
2003,127.5589529,155.6425,178.4676,168.5836,112.117,79.21,100,98.38,107,141.7
2004,145.6187316,164.3813,162.99,165.3512,116.986,77.46,99.84,99.05,107.2,148.1
2005,163.3654545,166.3966,175.18,156.7918,113.274,70.01,91.42,89.72,96.79,178.6
2006,185.7840809,205.6906,200.2648,175.8924,128.537,83.24,99.31,94.97,99.09,190.3
2007,213.7048431,252.4667,244.3432,208.8233,153.352,102.8,117,109.8,109.8,189.8
2008,233.8502349,282.6422,282.435,235.9625,182.992,125.3,143.5,134.7,135,170.5
2009,223.2864502,269.9922,295.9148,240.1488,202.332,141.5,159.9,150.8,152.3,145
2010,272.8977555,312.0483,270.454,217.5705,192.431,134.8,150.5,142.2,142.8,140.3
2011,209.9051087,237.3773,259.875,158.6112,139.03,89.63,107,101.3,104.5,144.5
2012,181.4765463,208.0012,218.5339,118.4943,99.3915,61.98,76.14,71.49,77.57,137.6
2013,177.0903479,211.2061,204.798,104.5214,82.7889,54.34,65.68,62.54,75.44,135.3
2014,150.0239923,182.0915,186.9992,91.4061,66.2475,41.65,52.45,53.47,76.94,138.9
2015,132.8563493,166.5398,158.0081,84.7849,57.3278,31.32,42.57,50.22,83.27,137
2016,138.8767013,171.545,157.4255,100.2071,59.4547,29.79,42.88,58.33,96.97,
2017,228.5146713,268.9945,192.5118,149.5781,86.1129,48.04,62.45,85.84,,
2018,188.4990398,181.7036,136.9238,99.6619,71.1886,101.1,111.4,,,
2019,267.0852615,293.4668,309.4115,29.8804,33.7608,207.2,,,,
2020,191.088981,206.2971,205.4237,19.0638,26.7439,,,,,
2021,164.4187193,160.4468,160.8392,41.2092,,,,,,
2022,134.373652,124.2768,128.1123,,,,,,,
2023,116.1660357,106.5241,,,,,,,,
2024,137.4593369,,,,,,,,,
2025,,,,,,,,,,
