Premolt,Sex,Molt Inc,CV
33.3,2,8.04,0.03
28.9,1,7.05,0.03
28.5,2,7.63,0.03
29.3,2,6.34,0.03
28.3,2,6.44,0.03
28.3,2,7.24,0.03
25.8,1,4.9,0.03
26.5,2,6.19,0.03
28.7,2,6.76,0.03
28,2,6.8,0.03
31.7,2,7.35,0.03
27.6,2,5.14,0.03
31,2,6.5,0.03
25.7,1,5.47,0.03
26.7,2,5.7,0.03
27.7,2,5.81,0.03
30.6,2,6.15,0.03
29.8,2,7.38,0.03
30.9,2,6.6,0.03
29.6,2,5.88,0.03
20.8,2,5.82,0.03
21,2,5.66,0.03
69.05,1,20.67,0.03
67.1,1,16.74,0.03
69.06,1,15.05,0.03
63.37,1,20.62,0.03
64.59,1,19.2,0.03
66.01,1,15.5,0.03
64.21,1,19.03,0.03
62.15,1,19.03,0.03
63.75,1,15.92,0.03
62.28,1,14.5,0.03
62.72,1,16.99,0.03
61.94,1,17.02,0.03
59.86,1,14.75,0.03
73.89,1,19.77,0.03
64.01,1,16.54,0.03
68.86,1,19.66,0.03
67.34,1,16.47,0.03
84.6,1,20.13,0.03
71.2,1,20.37,0.03
76.31,1,21.82,0.03
67.23,1,18.33,0.03
78.05,1,21.3,0.03
79.61,1,21.33,0.03
75.35,1,20.39,0.03
57.42,1,16.56,0.03
56.07,1,15.92,0.03
80.88,1,18.23,0.03
73.41,1,21.45,0.03
72.53,1,15.7,0.03
75.66,1,18.98,0.03
63.89,1,15.2,0.03
75.54,1,17.67,0.03
69.36,1,17.91,0.03
67.05,1,17.45,0.03
69.03,1,16.55,0.03
69.69,1,17.44,0.03
75.71,1,15.11,0.03
72.19,1,16.38,0.03
73.27,1,18.17,0.03
65.02,1,15.07,0.03
72.4,1,18.54,0.03
76.81,1,17.28,0.03
65.97,1,17.13,0.03
65.76,1,16.12,0.03
69.8,1,17.27,0.03
78.53,1,19.58,0.03
67.86,1,16.64,0.03
68.75,1,17.95,0.03
60.62,1,18.51,0.03
87.29,1,22.7,0.03
61.09,1,19.86,0.03
60.6,1,16.49,0.03
67.44,1,16.9,0.03
64.37,1,18.02,0.03
72.53,1,15.91,0.03
77.22,1,20.94,0.03
73.19,1,17.15,0.03
83.12,1,21.36,0.03
66.52,1,19.72,0.03
63.81,1,15.49,0.03
65.85,1,18.38,0.03
75.19,1,20.88,0.03
73.54,1,17.55,0.03
74.06,1,18.78,0.03
74.97,1,19.7,0.03
71.71,1,21.25,0.03
57.44,1,18.13,0.03
70.19,1,21.96,0.03
61.59,1,18.43,0.03
67.88,1,19.73,0.03
63.09,1,18.22,0.03
80.7,1,14.18,0.03
80.85,1,22.16,0.03
60.86,1,18.14,0.03
53.56,1,12.14,0.03
65.79,1,17.23,0.03
73.97,1,18.41,0.03
74.01,1,19.55,0.03
72.26,1,18.82,0.03
67.66,1,20.98,0.03
62.78,1,17.11,0.03
65.42,1,15.41,0.03
71.04,1,27.79,0.03
71.4,1,18.98,0.03
80.14,1,20.19,0.03
56.95,1,13.08,0.03
54.84,1,13.11,0.03
60.82,1,18.14,0.03
58.47,1,16.29,0.03
70.25,1,9.9,0.03
78.72,1,17.39,0.03
56.5,1,15.74,0.03
70.87,1,19,0.03
65.94,1,17.1,0.03
66.04,1,18.42,0.03
75.72,1,17.96,0.03
62.57,1,17.38,0.03
71.71,1,9.65,0.03
75.43,1,20.28,0.03
73.61,1,18.48,0.03
66.37,1,16.64,0.03
60.48,1,16.67,0.03
78.21,1,17.75,0.03
82.89,1,21.87,0.03
73.89,1,15.82,0.03
61.45,1,16,0.03
72.37,1,17.49,0.03
69.57,1,17.28,0.03
78.1,1,19.17,0.03
77.1,1,20.36,0.03
75.98,1,20.66,0.03
