crab_year,fishery,group,count,obs_effort,ft_effort,cpue,avg_wt,total_catch_n,total_catch_wt
1990,QP90,female,0,10,26264,0,6.950440312134111e-5,0,0
1990,QP90,sublegal_male,1,10,26264,0.1,2.8290690534405144e-4,2626.4,0.7430266961956167
1990,QP90,legal_male,3,10,26264,0.3,4.097320176137411e-4,7879.2,3.2283605131821886
1990,TR90,female,0,140,262761,0,2.606128456723377e-4,0,0
1990,TR90,sublegal_male,0,140,262761,0,2.540044799270552e-4,0,0
1990,TR90,legal_male,3,140,262761,0.02142857142857143,5.118979435066526e-4,5630.592857142858,2.882288904294676
1991,QO91,female,29026,2308,1278502,12.576256499133448,8.755040637624624e-5,16078769.086655112,1407.7027675664806
1991,QO91,sublegal_male,12497,2308,1278502,5.414644714038128,2.1319513783642384e-4,6922634.096187175,1475.8719303277521
1991,QO91,legal_male,629660,2308,1278502,272.8162911611785,4.851103225270173e-4,348796173.88214904,169204.62440815894
1991,QP91,female,0,125,37104,0,6.950440312134111e-5,0,0
1991,QP91,sublegal_male,14,125,37104,0.112,4.212174574423679e-4,4155.648,1.7504314845854612
1991,QP91,legal_male,8,125,37104,0.064,9.646699211732541e-4,2374.656,2.290759216333595
1991,QT91,female,95,180,140050,0.5277777777777778,1.1807082557509979e-4,73915.27777777778,8.72723786983505
1991,QT91,sublegal_male,109,180,140050,0.6055555555555555,4.6940206777956663e-4,84808.05555555555,39.80907664214214
1991,QT91,legal_male,20354,180,140050,113.07777777777778,6.085294039310341e-4,15836542.777777778,9637.001936889435
1991,TR91,female,0,272,227555,0,2.606128456723377e-4,0,0
1991,TR91,sublegal_male,4,272,227555,0.014705882352941176,4.337462911909267e-4,3346.3970588235293,1.4514873131169312
1991,TR91,legal_male,12,272,227555,0.04411764705882353,6.454745383980199e-4,10039.19117647059,6.480042290521828
1991,TT91,female,39,355,360864,0.10985915492957747,2.0551712784783603e-4,39644.214084507046,8.147565014432617
1991,TT91,sublegal_male,185,355,360864,0.5211267605633803,3.0632015810480595e-4,188055.88732394367,57.60530913760999
1991,TT91,legal_male,2037,355,360864,5.738028169014084,6.682410023144383e-4,2070647.7971830985,1383.6917594298175
1992,QB92,female,0,15,0,0,1.2709921329813478e-4,0,0
1992,QB92,sublegal_male,0,15,0,0,1.5394862405409404e-4,0,0
1992,QB92,legal_male,8,15,0,0.5333333333333333,7.241554311584599e-4,0,0
1992,QO92,female,1628,1217,969209,1.3377156943303206,1.1680030403285487e-4,1296526.0903861956,151.43464154363633
1992,QO92,sublegal_male,1663,1217,969209,1.3664749383730486,1.8968681288943168e-4,1324399.808545604,251.22117867438917
1992,QO92,legal_male,256416,1217,969209,210.6951520131471,5.627486409521737e-4,204207637.5875103,114917.57052442543
1992,QP92,female,0,71,56630,0,6.950440312134111e-5,0,0
1992,QP92,sublegal_male,0,71,56630,0,1.99015090591588e-4,0,0
1992,QP92,legal_male,37,71,56630,0.5211267605633803,4.0610270430447963e-4,29511.408450704224,11.98466277966506
1992,QT92,female,70,216,166670,0.32407407407407407,1.2433022635222768e-4,54013.42592592593,6.715501471429653
1992,QT92,sublegal_male,230,216,166670,1.0648148148148149,2.1790244377617476e-4,177472.6851851852,38.67173180537158
1992,QT92,legal_male,5184,216,166670,24,5.477278519574063e-4,4000080,2190.955226057782
1992,TR92,female,0,289,206815,0,2.606128456723377e-4,0,0
1992,TR92,sublegal_male,0,289,206815,0,7.933706634555405e-4,0,0
1992,TR92,legal_male,18,289,206815,0.06228373702422145,8.878003532488891e-4,12881.211072664359,11.43594374058492
1992,TT92,female,91,812,508922,0.11206896551724138,2.2154771778305413e-4,57034.36206896552,12.635832751591701
1992,TT92,sublegal_male,183,812,508922,0.22536945812807882,3.26934606495069e-4,114695.47536945813,37.49792010667867
1992,TT92,legal_male,2887,812,508922,3.5554187192118225,6.764913842570116e-4,1809430.805418719,1224.0643502749888
1993,QO93,female,2927,1151,716524,2.5430060816681146,1.1291237380057652e-4,1822124.8896611643,205.74044665275562
1993,QO93,sublegal_male,2597,1151,716524,2.2562988705473503,1.7639214549833898e-4,1616692.2919200696,285.171821982408
1993,QO93,legal_male,271296,1151,716524,235.70460469157254,5.49212393401331e-4,168888006.1720243,92755.38608651624
1993,QP93,female,5,84,58647,0.05952380952380952,7.166010463299726e-5,3490.892857142857,0.2501577474054399
1993,QP93,sublegal_male,60,84,58647,0.7142857142857143,1.1658836050605298e-4,41890.71428571429,4.883969698998921
1993,QP93,legal_male,136,84,58647,1.619047619047619,3.8039960521756943e-4,94952.28571428571,36.11981200022014
1993,QR93,female,0,55,NA,0,9.770101010344495e-5,0,0
1993,QR93,sublegal_male,7,55,NA,0.12727272727272726,3.1548139708739497e-4,NA,NA
1993,QR93,legal_male,714,55,NA,12.981818181818182,5.517455506801941e-4,NA,NA
1993,TR93,female,4,559,254389,0.007155635062611807,2.779349529038161e-4,1820.314847942755,0.5059291215330868
1993,TR93,sublegal_male,6,559,254389,0.01073345259391771,5.780203719785243e-4,2730.4722719141323,1.5782685982888531
1993,TR93,legal_male,34,559,254389,0.06082289803220036,6.385699022841802e-4,15472.676207513417,9.880385333906602
1993,TT93,female,45,1008,286620,0.044642857142857144,1.091775343657083e-4,12795.535714285714,1.3969850401740764
1993,TT93,sublegal_male,105,1008,286620,0.10416666666666667,1.6553690636519124e-4,29856.25,4.942311260665741
1993,TT93,legal_male,3388,1008,286620,3.361111111111111,5.185563207516881e-4,963361.6666666666,499.55728141988084
1994,QO94,female,3991,2479,507603,1.609923356192013,1.0017698326834623e-4,817201.9253731343,81.8648236049648
1994,QO94,sublegal_male,16000,2479,507603,6.45421540943929,1.7478633205022398e-4,3276179.104477612,572.6313288112293
1994,QO94,legal_male,596995,2479,507603,240.82089552238807,5.181371929528642e-4,122241409.02985075,63337.820537329775
1994,QP94,female,0,203,60860,0,6.950440312134111e-5,0,0
1994,QP94,sublegal_male,1,203,60860,0.0049261083743842365,4.704537493359728e-4,299.8029556650246,0.14104342455461727
1994,QP94,legal_male,10,203,60860,0.04926108374384237,3.7105865856572166e-4,2998.0295566502464,1.1124448256310258
1994,TT94,female,0,417,228254,0,2.7905000449540793e-4,0,0
1994,TT94,sublegal_male,27,417,228254,0.06474820143884892,2.0666015399808507e-4,14779.035971223022,3.0542378497561886
1994,TT94,legal_male,88,417,228254,0.21103117505995203,7.262126296367161e-4,48168.70983213429,34.980725433402185
1995,QO95,female,2039,1530,520685,1.3326797385620914,1.1549060647435624e-4,693906.3496732026,80.13966516016488
1995,QO95,sublegal_male,35420,1530,520685,23.15032679738562,1.6531361229608506e-4,12054027.908496732,1992.6948962714177
1995,QO95,legal_male,264394,1530,520685,172.8065359477124,4.560008547492299e-4,89977771.16993463,41029.94056192081
1995,QP95,female,0,47,48560,0,6.950440312134111e-5,0,0
1995,QP95,sublegal_male,1,47,48560,0.02127659574468085,1.6443520837506882e-4,1033.191489361702,0.16989305784453917
1995,QP95,legal_male,3,47,48560,0.06382978723404255,2.9692258050622623e-4,3099.574468085106,0.9203336495350433
1995,QR95,female,75,34,NA,2.2058823529411766,9.770101010344495e-5,NA,NA
1995,QR95,sublegal_male,802,34,NA,23.58823529411765,1.5107829449669316e-4,NA,NA
1995,QR95,legal_male,1235,34,NA,36.3235294117647,3.461704591523208e-4,NA,NA
1995,TT95,female,364,421,201988,0.8646080760095012,1.3518328191344957e-4,174640.45605700713,23.608470004647796
1995,TT95,sublegal_male,565,421,201988,1.342042755344418,1.8148292787717267e-4,271076.5320665083,49.195762718220216
1995,TT95,legal_male,1514,421,201988,3.5961995249406176,3.91555916324665e-4,726389.1496437055,284.4219690970353
1996,QO96,female,563,1394,754140,0.40387374461979914,1.0133891431168487e-4,304577.3457675753,30.86553754402073
1996,QO96,sublegal_male,14873,1394,754140,10.669296987087519,1.6605878438868824e-4,8046143.629842181,1336.13283018838
1996,QO96,legal_male,264015,1394,754140,189.39383070301292,4.4220025428797784e-4,142829463.48637018,63159.225073488335
1996,QP96,female,10,96,91085,0.10416666666666667,6.944859303246385e-5,9488.020833333334,0.6589296975377053
1996,QP96,sublegal_male,2702,96,91085,28.145833333333332,1.5477194655021955e-4,2563663.2291666665,396.7831482773466
1996,QP96,legal_male,1308,96,91085,13.625,2.6074790053250526e-4,1241033.125,323.59678183504417
1996,TR96,female,0,84,77081,0,2.606128456723377e-4,0,0
1996,TR96,sublegal_male,1,84,77081,0.011904761904761904,2.0134574804342862e-4,917.6309523809523,0.18476109053494666
1996,TR96,legal_male,0,84,77081,0,5.865701297637795e-4,0,0
1996,TT96,female,2,134,64989,0.014925373134328358,9.239052114811368e-5,969.9850746268656,0.08961742655066805
1996,TT96,sublegal_male,212,134,64989,1.5820895522388059,1.4979712473595097e-4,102818.41791044775,15.401903372884476
1996,TT96,legal_male,6155,134,64989,45.93283582089552,5.545892492154818e-4,2985129.067164179,1655.5204881698935
1997,QO97,female,2408,1733,930794,1.3894979803808425,9.597859792643205e-5,1293336.383150606,124.13261270203787
1997,QO97,sublegal_male,8381,1733,930794,4.836122331217542,1.6651182454771604e-4,4501433.649163301,749.5419300026648
1997,QO97,legal_male,390036,1733,930794,225.06405077899595,4.5285016443600423e-4,209488268.08078477,94866.79664779712
1997,QP97,female,2,133,81117,0.015037593984962405,7.297446925785482e-5,1219.8045112781954,0.08901458680886329
1997,QP97,sublegal_male,321,133,81117,2.4135338345864663,2.0590455279435245e-4,195778.62406015038,40.31171003379892
1997,QP97,legal_male,380,133,81117,2.857142857142857,3.5477496161454534e-4,231762.85714285716,82.22365874653451
1997,TR97,female,2,604,91085,0.0033112582781456954,2.1277576076038357e-4,301.60596026490066,0.06417443764523026
1997,TR97,sublegal_male,41,604,91085,0.06788079470198675,1.496687715185889e-4,6182.922185430463,0.9253903678884063
1997,TR97,legal_male,69,604,91085,0.11423841059602649,4.5355700377858107e-4,10405.405629139073,4.7194446002531
1998,QO98,female,4965,3851,945533,1.2892755128538043,8.250812674529436e-5,1219052.5434951962,100.5817417678751
1998,QO98,sublegal_male,13846,3851,945533,3.5954297585042845,1.6342747087668062e-4,3399597.4858478317,555.5876191108332
1998,QO98,legal_male,965586,3851,945533,250.7364320955596,5.013004863077817e-4,237079570.84861076,118848.10416004875
1998,QP98,female,11,304,181326,0.03618421052631579,1.1526493627158014e-4,6561.138157894738,0.7562691716387696
1998,QP98,sublegal_male,177,304,181326,0.5822368421052632,1.6237222076951772e-4,105574.67763157895,17.142394864065402
1998,QP98,legal_male,1800,304,181326,5.921052631578948,4.786385974480099e-4,1073640.7894736843,513.8859216366583
1998,TR98,female,0,592,145689,0,2.606128456723377e-4,0,0
1998,TR98,sublegal_male,8,592,145689,0.013513513513513514,3.2843944829520297e-4,1968.7702702702704,0.6466218213875653
1998,TR98,legal_male,50,592,145689,0.08445945945945946,4.333723351267129e-4,12304.814189189188,5.332566058469229
1999,QO99,female,214,2291,182634,0.09340899170667831,8.605421802822191e-5,17059.657791357487,1.4680555110643319
1999,QO99,sublegal_male,3534,2291,182634,1.5425578350065474,1.6350258189606383e-4,281723.50763858575,46.06252087972423
1999,QO99,legal_male,415857,2291,182634,181.5176778699258,5.06113698778425e-4,33151299.58009603,16778.326849794048
1999,TR99,female,1,441,151212,0.0022675736961451248,2.711883317932249e-4,342.8843537414966,0.09298623588915449
1999,TR99,sublegal_male,31,441,151212,0.07029478458049887,1.4919430853915298e-4,10629.414965986396,1.5858482160260645
1999,TR99,legal_male,149,441,151212,0.3378684807256236,5.037154817250843e-4,51089.768707482996,25.734707455712933
