"","pre","sex","inc","cv"
"851",26.3,2,6.5,0.03
"861",25.9,2,6.7,0.03
"871",28,2,7,0.03
"881",28.5,2,7.5,0.03
"891",27.2,2,7.3,0.03
"901",27.6,1,5.4,0.03
"911",28.9,2,5.9,0.03
"921",29.6,2,6.6,0.03
"931",27.1,2,6.3,0.03
"941",26.2,2,7,0.03
"951",29.2,2,7.6,0.03
"961",28.6,2,6.9,0.03
"971",29.1,1,7,0.03
"981",26.1,1,5.4,0.03
"991",28.6,2,6.8,0.03
"1001",25.7,2,4.2,0.03
"1011",31.8,2,7.8,0.03
"1021",27.1,2,6.2,0.03
"1031",27.1,1,5.5,0.03
"1041",26.7,2,4.5,0.03
"1051",28.1,2,6.3,0.03
"1061",28.7,2,5.8,0.03
"1071",27.1,2,5.6,0.03
"1081",26.9,2,6.2,0.03
"1091",27.6,2,5.3,0.03
"1101",29,2,6.9,0.03
"1111",30.3,2,6.7,0.03
"112",27.2,1,6.1,0.03
"113",28.8,1,6.8,0.03
"114",30,2,6.08,0.03
"115",29.1,2,7.5,0.03
"116",25.4,1,6.4,0.03
"117",29.1,2,2.7,0.03
"118",28.9,2,6.8,0.03
"119",25.5,2,5.72,0.03
"120",25.7,1,7.57,0.03
"1211",30.4,2,6.8,0.03
"122",27.2,2,6.3,0.03
"123",29,1,6.9,0.03
"124",26.3,2,3.9,0.03
"125",29.1,2,4.82,0.03
"126",33.3,2,8.04000000000001,0.03
"127",28.9,1,7.05,0.03
"128",28.5,2,7.63,0.03
"129",29.3,2,6.34,0.03
"130",28.3,2,6.44,0.03
"1311",28.3,2,7.24,0.03
"132",25.8,1,4.9,0.03
"133",26.5,2,6.19,0.03
"134",28.7,2,6.76,0.03
"135",28,2,6.8,0.03
"136",31.7,2,7.35,0.03
"137",27.6,2,5.14,0.03
"138",31,2,6.5,0.03
"139",25.7,1,5.47,0.03
"140",26.7,2,5.7,0.03
"1411",27.7,2,5.81,0.03
"142",30.6,2,6.15,0.03
"143",29.8,2,7.38,0.03
"144",30.9,2,6.6,0.03
"145",29.6,2,5.88,0.03
"146",20.8,2,5.82,0.03
"147",21,2,5.66,0.03
"148",69.05,1,20.67,0.03
"149",67.1,1,16.74,0.03
"150",69.06,1,15.05,0.03
"151",63.37,1,20.62,0.03
"152",64.59,1,19.2,0.03
"153",66.01,1,15.5,0.03
"154",64.21,1,19.03,0.03
"155",62.15,1,19.03,0.03
"156",63.75,1,15.92,0.03
"157",62.28,1,14.5,0.03
"158",62.72,1,16.99,0.03
"159",61.94,1,17.02,0.03
"160",59.86,1,14.75,0.03
"1611",73.89,1,19.77,0.03
"162",64.01,1,16.54,0.03
"163",68.86,1,19.66,0.03
"164",67.34,1,16.47,0.03
"165",84.6,1,20.13,0.03
"166",71.2,1,20.37,0.03
"167",76.31,1,21.82,0.03
"168",67.23,1,18.33,0.03
"169",78.05,1,21.3,0.03
"170",79.61,1,21.33,0.03
"1711",75.35,1,20.39,0.03
"172",57.42,1,16.56,0.03
"173",56.07,1,15.92,0.03
"174",80.88,1,18.23,0.03
"175",73.41,1,21.45,0.03
"176",72.53,1,15.7,0.03
"177",75.66,1,18.98,0.03
"178",63.89,1,15.2,0.03
"179",75.54,1,17.67,0.03
"180",69.36,1,17.91,0.03
"1811",67.05,1,17.45,0.03
"182",69.03,1,16.55,0.03
"183",69.69,1,17.44,0.03
"184",75.71,1,15.11,0.03
"185",72.19,1,16.38,0.03
"186",73.27,1,18.17,0.03
"187",65.02,1,15.07,0.03
"188",72.4,1,18.54,0.03
"189",76.81,1,17.28,0.03
"190",65.97,1,17.13,0.03
"1911",65.76,1,16.12,0.03
"192",69.8,1,17.27,0.03
"193",78.53,1,19.58,0.03
"194",67.86,1,16.64,0.03
"195",68.75,1,17.95,0.03
"196",60.62,1,18.51,0.03
"197",87.29,1,22.7,0.03
"198",61.09,1,19.86,0.03
"199",60.6,1,16.49,0.03
"200",67.44,1,16.9,0.03
"2011",64.37,1,18.02,0.03
"202",72.53,1,15.91,0.03
"203",77.22,1,20.94,0.03
"204",73.19,1,17.15,0.03
"205",83.12,1,21.36,0.03
"206",66.52,1,19.72,0.03
"207",63.81,1,15.49,0.03
"208",65.85,1,18.38,0.03
"209",75.19,1,20.88,0.03
"2101",73.54,1,17.55,0.03
"2111",74.06,1,18.78,0.03
"212",74.97,1,19.7,0.03
"213",71.71,1,21.25,0.03
"214",57.44,1,18.13,0.03
"215",70.19,1,21.96,0.03
"216",61.59,1,18.43,0.03
"217",67.88,1,19.73,0.03
"218",63.09,1,18.22,0.03
"219",80.7,1,14.18,0.03
"220",80.85,1,22.16,0.03
"2211",60.86,1,18.14,0.03
"222",53.56,1,12.14,0.03
"223",65.79,1,17.23,0.03
"224",73.97,1,18.41,0.03
"225",74.01,1,19.55,0.03
"226",72.26,1,18.82,0.03
"227",67.66,1,20.98,0.03
"228",62.78,1,17.11,0.03
"229",65.42,1,15.41,0.03
"230",71.04,1,27.79,0.03
"2311",71.4,1,18.98,0.03
"232",80.14,1,20.19,0.03
"233",56.95,1,13.08,0.03
"234",54.84,1,13.11,0.03
"235",60.82,1,18.14,0.03
"236",58.47,1,16.29,0.03
"237",70.25,1,9.90000000000001,0.03
"238",78.72,1,17.39,0.03
"239",56.5,1,15.74,0.03
"240",70.87,1,19,0.03
"2411",65.94,1,17.1,0.03
"242",66.04,1,18.42,0.03
"243",75.72,1,17.96,0.03
"244",62.57,1,17.38,0.03
"245",71.71,1,9.65000000000001,0.03
"246",75.43,1,20.28,0.03
"247",73.61,1,18.48,0.03
"248",66.37,1,16.64,0.03
"249",60.48,1,16.67,0.03
"250",78.21,1,17.75,0.03
"2511",82.89,1,21.87,0.03
"252",73.89,1,15.82,0.03
"253",61.45,1,16,0.03
"254",72.37,1,17.49,0.03
"255",69.57,1,17.28,0.03
"256",78.1,1,19.17,0.03
"257",77.1,1,20.36,0.03
"258",75.98,1,20.66,0.03
