"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
18,-14172.1507090217,0.00102750425315129,20260839,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/018",235,NA,NA,74.55804456,74.24045612,0.31758844,20.13246859,20.13246859,FALSE,113.29073049,365669.65539246,2025,20260839,134,20.1,TRUE,"",TRUE,FALSE,"E"
19,-14178.2686547681,0.0120661967063314,20260840,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/019",235,NA,NA,74.3506064,74.03368791,0.31691849,20.25060723,20.25060723,FALSE,113.04941485,365415.13783443,2025,20260840,134,21.6,TRUE,"",FALSE,FALSE,NA
20,-14178.2686547688,0.00337452253271194,20260841,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/020",235,NA,NA,74.35061271,74.0336942,0.31691851,20.25060355,20.25060355,FALSE,113.04942944,365415.15371848,2025,20260841,134,20.8,TRUE,"",TRUE,FALSE,"A"
21,-14178.268654767,0.0196462139619629,20260842,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/021",235,NA,NA,74.35060956,74.03369106,0.3169185,20.25060692,20.25060692,FALSE,113.04942139,365415.10187172,2025,20260842,134,19.5,TRUE,"",FALSE,FALSE,NA
22,-14177.9493429381,0.00822902542102493,20260843,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/022",235,NA,NA,71.30667969,70.99824735,0.30843234,20.2286699,20.2286699,FALSE,110.630662,374679.6373994,2025,20260843,134,21,TRUE,"",TRUE,FALSE,"B"
23,-14178.2686547685,0.00138632418667252,20260844,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/023",235,NA,NA,74.35060993,74.03369143,0.3169185,20.25060354,20.25060354,FALSE,113.04942463,365415.1225857,2025,20260844,134,20.7,TRUE,"",TRUE,FALSE,"A"
24,-14178.2686547669,0.0118704125670744,20260845,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/024",235,NA,NA,74.35060808,74.03368957,0.31691851,20.25060625,20.25060625,FALSE,113.04942082,365415.1113284,2025,20260845,134,20.5,TRUE,"",FALSE,FALSE,NA
25,-14178.2686547682,0.00192051595804186,20260846,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/025",235,NA,NA,74.35061066,74.03369215,0.31691851,20.25060507,20.25060507,FALSE,113.0494236,365415.11551844,2025,20260846,134,20.2,TRUE,"",TRUE,FALSE,"A"
26,-14178.2686547678,0.00322783883666614,20260847,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/026",235,NA,NA,74.35061307,74.03369455,0.31691852,20.25060214,20.25060214,FALSE,113.04942622,365415.14568567,2025,20260847,134,21,TRUE,"",TRUE,FALSE,"A"
27,-14174.714680181,0.00024633445569226,20260848,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/027",235,NA,NA,74.26003065,73.94332067,0.31670998,20.29289138,20.29289138,FALSE,112.97242584,365072.54126105,2025,20260848,134,20.1,TRUE,"",TRUE,TRUE,"C"
