crab_year,fishery,size,shell,total
1994,QO94,70,new,17
1994,QO94,71,new,9
1994,QO94,72,new,13
1994,QO94,73,new,8
1994,QO94,74,new,21
1994,QO94,75,new,27
1994,QO94,76,new,32
1994,QO94,76,old,1
1994,QO94,77,new,39
1994,QO94,77,old,2
1994,QO94,78,new,46
1994,QO94,78,old,1
1994,QO94,79,new,63
1994,QO94,79,old,2
1994,QO94,80,new,115
1994,QO94,80,old,2
1994,QO94,81,new,99
1994,QO94,81,old,5
1994,QO94,82,new,104
1994,QO94,82,old,6
1994,QO94,83,new,122
1994,QO94,83,old,4
1994,QO94,84,new,149
1994,QO94,84,old,14
1994,QO94,85,new,190
1994,QO94,85,old,5
1994,QO94,86,new,194
1994,QO94,86,old,10
1994,QO94,87,new,196
1994,QO94,87,old,22
1994,QO94,88,new,282
1994,QO94,88,old,26
1994,QO94,89,new,290
1994,QO94,89,old,21
1994,QO94,90,new,428
1994,QO94,90,old,30
1994,QO94,91,new,452
1994,QO94,91,old,46
1994,QO94,92,new,633
1994,QO94,92,old,49
1994,QO94,93,new,771
1994,QO94,93,old,76
1994,QO94,94,new,925
1994,QO94,94,old,60
1994,QO94,95,new,1222
1994,QO94,95,old,99
1994,QO94,96,new,1544
1994,QO94,96,old,119
1994,QO94,97,new,1781
1994,QO94,97,old,157
1994,QO94,98,new,2570
1994,QO94,98,old,258
1994,QO94,99,new,2515
1994,QO94,99,old,284
1994,QO94,100,new,3870
1994,QO94,100,old,337
1994,QO94,101,new,3796
1994,QO94,101,old,372
1994,QO94,102,new,4670
1994,QO94,102,old,460
1994,QO94,103,new,5191
1994,QO94,103,old,484
1994,QO94,104,new,6293
1994,QO94,104,old,609
1994,QO94,105,new,6667
1994,QO94,105,old,553
1994,QO94,106,new,6810
1994,QO94,106,old,573
1994,QO94,107,new,6413
1994,QO94,107,old,564
1994,QO94,108,new,7360
1994,QO94,108,old,567
1994,QO94,109,new,6585
1994,QO94,109,old,545
1994,QO94,110,new,7877
1994,QO94,110,old,608
1994,QO94,111,new,6793
1994,QO94,111,old,529
1994,QO94,112,new,7501
1994,QO94,112,old,541
1994,QO94,113,new,6750
1994,QO94,113,old,493
1994,QO94,114,new,6655
1994,QO94,114,old,461
1994,QO94,115,new,7001
1994,QO94,115,old,433
1994,QO94,116,new,5794
1994,QO94,116,old,389
1994,QO94,117,new,5806
1994,QO94,117,old,336
1994,QO94,118,new,5419
1994,QO94,118,old,293
1994,QO94,119,new,4451
1994,QO94,119,old,260
1994,QO94,120,new,4707
1994,QO94,120,old,266
1994,QO94,121,new,3484
1994,QO94,121,old,196
1994,QO94,122,new,3351
1994,QO94,122,old,178
1994,QO94,123,new,2662
1994,QO94,123,old,117
1994,QO94,124,new,2298
1994,QO94,124,old,105
1994,QO94,125,new,1905
1994,QO94,125,old,105
1994,QO94,126,new,1485
1994,QO94,126,old,83
1994,QO94,127,new,1168
1994,QO94,127,old,54
1994,QO94,128,new,1001
1994,QO94,128,old,42
1994,QO94,129,new,620
1994,QO94,129,old,34
1994,QO94,130,new,624
1994,QO94,130,old,16
1994,QO94,131,new,317
1994,QO94,131,old,11
1994,QO94,132,new,299
1994,QO94,132,old,7
1994,QO94,133,new,179
1994,QO94,133,old,8
1994,QO94,134,new,142
1994,QO94,135,new,112
1994,QO94,135,old,5
1994,QO94,136,new,56
1994,QO94,136,old,2
1994,QO94,137,new,51
1994,QO94,137,old,1
1994,QO94,138,new,34
1994,QO94,139,new,24
1994,QO94,140,new,10
1994,QO94,141,new,10
1994,QO94,141,old,1
1994,QO94,142,new,7
1994,QO94,143,new,6
1994,QO94,144,new,6
1994,QO94,146,new,1
1994,QO94,150,new,15
1995,QO95,41,old,1
1995,QO95,43,old,1
1995,QO95,51,new,1
1995,QO95,52,old,1
1995,QO95,54,new,1
1995,QO95,55,old,1
1995,QO95,61,new,2
1995,QO95,65,old,1
1995,QO95,66,new,1
1995,QO95,67,new,1
1995,QO95,68,new,5
1995,QO95,69,new,1
1995,QO95,70,new,8
1995,QO95,70,old,1
1995,QO95,71,new,13
1995,QO95,72,new,19
1995,QO95,73,new,16
1995,QO95,73,old,1
1995,QO95,74,new,31
1995,QO95,74,old,2
1995,QO95,75,new,42
1995,QO95,76,new,43
1995,QO95,76,old,1
1995,QO95,77,new,58
1995,QO95,78,new,68
1995,QO95,78,old,1
1995,QO95,79,new,102
1995,QO95,79,old,2
1995,QO95,80,new,141
1995,QO95,80,old,5
1995,QO95,81,new,128
1995,QO95,81,old,5
1995,QO95,82,new,148
1995,QO95,82,old,2
1995,QO95,83,new,157
1995,QO95,83,old,3
1995,QO95,84,new,190
1995,QO95,84,old,6
1995,QO95,85,new,223
1995,QO95,85,old,6
1995,QO95,86,new,239
1995,QO95,86,old,11
1995,QO95,87,new,231
1995,QO95,87,old,8
1995,QO95,88,new,274
1995,QO95,88,old,13
1995,QO95,89,new,326
1995,QO95,89,old,28
1995,QO95,90,new,501
1995,QO95,90,old,25
1995,QO95,91,new,445
1995,QO95,91,old,52
1995,QO95,92,new,653
1995,QO95,92,old,62
1995,QO95,93,new,748
1995,QO95,93,old,62
1995,QO95,94,new,1079
1995,QO95,94,old,107
1995,QO95,95,new,1366
1995,QO95,95,old,142
